category,datetime,headline,id,image,related,source,summary,url
company,1768260600,AbbVie and Trump Administration Reach Agreement to Improve Access and Affordability for Americans,138083219,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,AbbVie (NYSE: ABBV) today announced a voluntary agreement with the Trump administration to further advance access and affordability for Americans while protecting and investing in U.S. pharmaceutical innovation.,https://finnhub.io/api/news?id=e7a4c515bc5f792a4bd6c50b7546cb03065b7cb09461d4f698b817ffff7269a5
company,1768244580,"AbbVie Strikes $100 Billion Investment Deal With Trump, Will Lower Medicaid Prices",138124226,,ABBV,DowJones,"AbbVie Strikes $100 Billion Investment Deal With Trump, Will Lower Medicaid Prices",https://finnhub.io/api/news?id=0de5d602ff3c05efedb8d96f4ea560fd0ff12948965e587f6c6136ac838f6dfa
company,1768240904,"What $6,500 a Month Really Looks Like in Retirement at 67",138078048,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"Retiring at 67 with $6,500 in monthly income places you solidly in middle-class territory, but the financial reality behind that figure is more nuanced than it appears. With average Social Security benefits at $2,017 per month in 2026, a retiree targeting $6,500 needs to generate roughly $4,483 monthly—or $53,796 annually—from personal savings and investments. The ... What $6,500 a Month Really Looks Like in Retirement at 67",https://finnhub.io/api/news?id=6893e956b6faae41cdb1adaa3ed4f00fff9f2f71cae9fb0f95d173a221eb60ef
company,1768238940,Health Care Roundup: Market Talk,138078034,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"Find insight on U.S. pharmaceutical companies’ cash positions, the Thai health-care sector and more in the latest Market Talks covering the health care sector.",https://finnhub.io/api/news?id=eda3cf4f73b150dab1efe606ce157882d4fca763716cba74b6697431d4686de4
company,1768236418,JPM26: AbbVie and RemeGen kick off deals with $5.6bn oncology agreement,138076447,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"AbbVie and RemeGen are the first companies to announce a deal at the J.P Morgan Healthcare Conference 2026, with more deals expected in the coming days.",https://finnhub.io/api/news?id=2666d71eb4ac821fad49b14306d7d3f30e001038b23e3e442277f973faaf74a5
company,1768225860,AbbVie Down 3% in a Month: Why Holding the Stock Still Makes Sense,138075196,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"ABBV stock falls 3% in a month amid takeover rumor denials, but Skyrizi and Rinvoq momentum and a deep pipeline support staying invested.",https://finnhub.io/api/news?id=58765a627d9be58ce6cb0cd8fcb045fda1cc5bb353794f942837148ac1ed4ae8
company,1768222478,JPM26: Revolution Medicines in spotlight as industry gears up for dealmaking spree,138071377,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"Multiple big pharma companies are reported to be circling Revolution, a cancer biotech with a market cap of $23bn.",https://finnhub.io/api/news?id=5f6bd37f57ed8d6e8d3e5d332da6a3b5814c6751e9510a1bd927294c52241b7b
company,1768221000,AbbVie and RemeGen Announce Exclusive Licensing Agreement to Develop A Novel Bispecific Antibody for Advanced Solid Tumors,138071378,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"AbbVie (NYSE: ABBV) and RemeGen today announced an exclusive licensing agreement for the development, manufacturing and commercialization of RC148, a novel investigational Programmed Cell Death-1 (PD-1)/Vascular Endothelial Growth Factor (VEGF)-targeted bispecific antibody. RC148 is currently being developed by RemeGen as a monotherapy and in combination regimens across multiple advanced solid tumors.",https://finnhub.io/api/news?id=28ce3a61ff49f7fccac6a70d57e5d80a6192b11d5a462a9ae71f21549ad3b635
company,1768217040,AbbVie buys into PD-1/VEGF sweepstakes; Alnylam and Vertex set expectations,138075441,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"AbbVie is paying $650 million for a dual-targeting immunotherapy from China’s RemeGen. Elsewhere, Alnylam missed an earnings target and the FDA flipped its position on a cell therapy from Atara.",https://finnhub.io/api/news?id=4c5cd43b9789dda93c2e7019c0a76364351620a7132db313a44e9fefec4c074b
company,1768215600,"AbbVie to Acquire Arizona Manufacturing Facility, Further Strengthening Manufacturing Capabilities in the United States",138071380,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABBV,Yahoo,"AbbVie (NYSE: ABBV) and West Pharmaceutical Services (NYSE: WST) announced today a definitive agreement for AbbVie to acquire a device manufacturing facility in Tempe, Arizona and associated intellectual property from West. The acquisition of the manufacturing site will significantly expand AbbVie's drug delivery device manufacturing capabilities and capacity.",https://finnhub.io/api/news?id=ac8939b079978297f76c5203c80b3d85f43c27989f0f3359a46d90ef9f10ea61
