category,datetime,headline,id,image,related,source,summary,url
company,1768256121,"Stock Market Today: Dow, S&P 500 Close At Highs; Alphabet Hits $4 Trillion Mark (Live Coverage)",138082636,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AKAM,Yahoo,Nasdaq composite outperforms the Dow and the S&P 500. Alphabet crosses above $4 trillion market cap.,https://finnhub.io/api/news?id=866ea64d9dd0140eb46de9387b46fc7b9e9a1db878996952ca413fd389766df1
company,1768244280,Akamai Stock Is Rising. Something Rare Just Happened.,138078094,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AKAM,Yahoo,"Morgan Stanley, who just double-upgraded Akamai, dubbed the tech company its ‘top value idea’ for 2026.",https://finnhub.io/api/news?id=289195a66b0e92fb8e338592a0a3cebfbb65ec105c6b48a51a532e08c3b425e3
company,1768242659,"Akamai Technologies (AKAM) Shares Skyrocket, What You Need To Know",138078296,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AKAM,Yahoo,Shares of cloud technology company Akamai Technologies (NASDAQ:AKAM) jumped 5.6% in the afternoon session after Morgan Stanley upgraded the company's stock from 'Underweight' to 'Overweight' and raised its price target to $115 from $83.,https://finnhub.io/api/news?id=ce5d3e82eb7a3eb847978cd017cd54557abbe4aad36632fc85f7274f3341a0e4
company,1768237080,"Akamai Technologies Positioned for Broad-Based Growth, Morgan Stanley Says",138076769,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AKAM,Yahoo,Akamai Technologies' (AKAM) outlook after transitioning from content delivery to cloud and security,https://finnhub.io/api/news?id=a5873255794c12ae7a9ea5271c2520d788cbac040c4b70004e738859d66b9d6f
company,1768235463,"Stock Market Today: Dow Falls, Weighed Down By American Express; China Names Outperform (Live Coverage)",138075492,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AKAM,Yahoo,The Dow Jones index falls on the investigation into Fed Chair Powell. Credit card names fall while Palantir climbs and Nvidia dips.,https://finnhub.io/api/news?id=31efcca415c269f0f8c60087300c8979ccbcfefe9685b67fbd82dde3d1b59f92
company,1768222680,"Stock Market Today: Dow Falls 350 Points On Powell Investigation; Nvidia, Tesla Slide (Live Coverage)",138071244,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AKAM,Yahoo,The Dow Jones index dropped 350 points on the investigation into Fed Chair Powell. Nvidia and Tesla declined.,https://finnhub.io/api/news?id=9c4be4ff4f57e4820c9c50be2d2007bbcb5e1190327b7991d6d812ab90700fae
company,1768229843,Stocks Retreat on Concerns Over Fed Independence,138076427,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AKAM,Yahoo,"The S&P 500 Index ($SPX ) (SPY ) today is down -0.23%, the Dow Jones Industrials Index ($DOWI ) (DIA ) is down -0.58%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) is down -0.27%. March E-mini S&P futures (ESH26 ) are down -0.22%, and March E-mini Nasdaq futures...",https://finnhub.io/api/news?id=f89bdba84a98048dc37e653ccf7a093926817a7be67993f59197b2652067cee5
company,1768223241,"Here Are Monday’s Top Wall Street Analyst Research Calls: Airbnb, Akamai, Applied Materials, CoreWeave, CrowdStrike, Datadog, NetFlix, Snowflake, and More",138072316,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AKAM,Yahoo,"Pre-Market Stock Futures: The futures are trading lower on Monday morning after a strong finish to the week on Friday, completing a winning week for investors as all three of the major indices closed at all-time highs. The news that Jay Powell, the Chairman of the Federal Reserve, is under criminal investigation by the Department ... Here Are Monday’s Top Wall Street Analyst Research Calls: Airbnb, Akamai, Applied Materials, CoreWeave, CrowdStrike, Datadog, NetFlix, Snowflake, and More",https://finnhub.io/api/news?id=73ad8fd72b9d17c3e0ef1c05a88403b9b314443ae7cbfb13e8887886239d73f4
company,1768219873,"Stocks making the biggest moves midday: Citigroup, Abercrombie, Vistra, Duolingo and more",138075805,https://image.cnbcfm.com/api/v1/image/108228553-1763579411007-gettyimages-2230841002-1010_32_ghi-plexi01988.jpeg?v=1768235608&w=1920&h=1080,AKAM,CNBC,These are some of the stocks posting the largest moves in midday trading.,https://finnhub.io/api/news?id=e43056ed836c8984329ea32b572720333ff2c0f34fac75e0ad2b9cb968b8e684
company,1768201460,"Stocks making the biggest moves premarket: Capital One, Affirm, Walmart, Akamai, Sun Country & more",138075808,https://image.cnbcfm.com/api/v1/image/108227671-17634925752025-11-18t184810z_420172654_rc25zhaw3gya_rtrmadp_0_usa-fdic-capital-one-fin.jpeg?v=1768219922&w=1920&h=1080,AKAM,CNBC,These are the stocks posting the largest moves before the bell.,https://finnhub.io/api/news?id=ea000c3cc606daca8601e52faf487e81c6112ba19afd09293e5508b9f7b0c2bf
