category,datetime,headline,id,image,related,source,summary,url
company,1768254112,"S&P 500, Dow Clinch New Peaks as Traders Shrug Off Fed Independence Concerns",138083189,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BK,Yahoo,The S&P 500 and the Dow Jones Industrial Average notched fresh highs on Monday as traders appeared t,https://finnhub.io/api/news?id=6dfb99f1ee5e0661728a871eb187520b922556fb5c85f8ac14cba3eb4569badf
company,1768246058,Equities Rise Intraday Amid Probe Into Fed Chair Powell,138078019,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BK,Yahoo,"US benchmark equity indexes were higher intraday, while gold prices hit new records as markets react",https://finnhub.io/api/news?id=9a264eff65ac87f1bb67b0065bdb575ee5b15227a65975302c90cf655805aea7
company,1768244210,Tuesday's big stock stories: What’s likely to move the market in the next trading session,138085700,https://image.cnbcfm.com/api/v1/image/108225847-1763075603404-gettyimages-2246002365-AFP_83YT9HJ.jpeg?v=1768260101&w=1920&h=1080,BK,CNBC,The Dow Industrials and the S&P 500 rose to new records Monday as investors shrugged off news of the Justice Department's investigation into Fed Chair Powell.,https://finnhub.io/api/news?id=1e8f110e5578ca9fdfeb16ae452cc62a6112dd0362c07ff491fcf5a7d4b22c2d
company,1768243200,Traders Are Moving Past Powell's Investigation: U.S. Stock Index Outlook And Pre-CPI Trading Levels,138079125,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2214651343/image_2214651343.jpg?io=getty-c-w1536,BK,SeekingAlpha,"Stocks caught a bid immediately after the open as participants shrugged off the headlines, using the early drop as yet another buying opportunity.",https://finnhub.io/api/news?id=5ad658b45921686f6dfbf79f7abb28c54a99fb07c656cf4dc1b6ae8ee1c0509c
company,1768242600,Bank earnings: What to expect in 2026 amid capital market changes,138078025,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BK,Yahoo,"Earnings season starts for major banks JPMorgan Chase (JPM), Bank of America (BAC), Citigroup (C), Morgan Stanley (MS), Wells Fargo (WFC), and Goldman Sachs (GS) this week, all of these major financial stocks set to report fourth quarter earnings results throughout the week. RBC Capital Markets analyst Gerard Cassidy shares her outlook on the investment banking sector for 2026, referencing US real GDP (gross domestic product) forecasts. Also hear Gerard Cassidy explain why President Trump's suggested 10% cap on credit card rates would have ""real negative repercussions"" for borrowers. To watch more expert insights and analysis on the latest market action, check out more Market Catalysts.",https://finnhub.io/api/news?id=3a334fd5480f07ea78de4b9e3009c5cda33dafed726a1e1ef71ee9e1b4002087
company,1768241520,"Rise in Fee Income, NII Likely to Aid BNY Mellon's Q4 Earnings",138078152,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BK,Yahoo,Rising fee income and higher net interest income are expected to lift BK's Q4 earnings.,https://finnhub.io/api/news?id=7e4035ef48888fb12551f5e38639dab570499115dbe396c7cd568888db8a3026
company,1768241280,PNC Financial's Q4 Earnings on the Deck: Here's What to Expect,138078149,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BK,Yahoo,"PNC is set to report Q4 and full-year 2025 earnings on Jan. 16, with higher NII expected on rate cuts and steady loan demand.",https://finnhub.io/api/news?id=723349285505d3fc391a2def33ddf06184e115b48a212ef02811cffd27e06097
company,1768236900,FRN Variable Rate Fix,138076659,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BK,Yahoo,"LONDON, January 12, 2026-- As Agent Bank, please be advised of the following rate determined on: 1/12/2026Issue",https://finnhub.io/api/news?id=b5e1b57420cddcccadd5565077bd5f5b0d7579e49094f3d3690b083b1d210059
company,1768236060,Bank of New York Mellon Corp. stock outperforms competitors on strong trading day,138128872,,BK,MarketWatch,Bank of New York Mellon Corp. stock outperforms competitors on strong trading day,https://finnhub.io/api/news?id=25888affc227be44888273d56ce4aa45a6d315ce0cbc4dea017a68162b75106a
company,1768235280,"Banks Enter Earnings Season on Firmer Footing, Though Risks Linger",138083521,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BK,Yahoo,"U.S. banks are entering the new year on solid footing after a strong 2025, and analysts say that momentum should continue, barring any unforeseen shocks.",https://finnhub.io/api/news?id=d1f0c52f2e93b9765f1007278ca61b53a10d46c3f2ea9b1d4d6987fed1d7cbf2
company,1768222035,Stocks Fall Pre-Bell as Fed Chair Powell Faces Department of Justice Probe,138071319,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BK,Yahoo,The benchmark US stock measures were tracking in the red before the opening bell Monday amid Federal,https://finnhub.io/api/news?id=dc954fbc0276d687ba5f759a9f5a19458cb9e6ac646bc4250440abbdd840b7f0
company,1768186912,Earnings To Watch: BNY (BK) Reports Q4 Results Tomorrow,138069188,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BK,Yahoo,Global financial services company BNY NYSE:BK) will be reporting results this Tuesday before market hours. Here’s what you need to know.,https://finnhub.io/api/news?id=7040cc5991d05eec8055f0e655c0ee00befd9a7e185e2f6393400f3ddb323b9a
