category,datetime,headline,id,image,related,source,summary,url
company,1768257154,"Stock Market Today, Jan. 12: Walmart Jumps on Nasdaq 100 Inclusion",138082779,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,"Today, Jan. 12, 2026, the retail giant’s Nasdaq-100 debut and new Google Gemini tie-up are reshaping its tech-driven narrative.",https://finnhub.io/api/news?id=b245728cbdc47f9edb34970ebb0e6a12a32d4fdc9ff223e16babed78c6ab8210
company,1768250520,PriceSmart’s Base-Case Calls for $45 in Upside—Bull-Case Is Better,138091135,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,"PriceSmart is a retail winner from 2025 that is already winning in 2026, positioned to continue driving its stock price higher as the year progresses.",https://finnhub.io/api/news?id=f691a6dd6d1967baae7003acfc2f4222e91ac8607a258a5142362789d55c8418
company,1768240077,Jim Cramer Says Dollar Stores Like Dollar General Are “Wall Street Faves”,138076432,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,"Dollar General Corporation (NYSE:DG) is one of the stocks from different market sectors that Jim Cramer commented on. Cramer discussed the stock while showing optimism around dollar stores, as he remarked: “How about the plight of the consumer staples cohort? This was the second worst group in the market last year, was up just 1.3%. […]",https://finnhub.io/api/news?id=706d5e47218be2f8abf9d46d08e5e63fa921a3cf158b88209751ca87a325cafa
company,1768235460,Costco Wholesale Corp. stock outperforms competitors on strong trading day,138124167,,COST,MarketWatch,Costco Wholesale Corp. stock outperforms competitors on strong trading day,https://finnhub.io/api/news?id=57e081e47f3c790715016b3f6a59e6150053cfb3b04441405188bbd311405cc6
company,1768235220,The Best Dividend Stocks to Buy and Hold Forever,138075377,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,You already know some of the best stocks to own for the long haul. It's time to connect the dots.,https://finnhub.io/api/news?id=1977025a2791d61b18ea08006f53aa70ba84e24c1eb2b2f0f0d9fc599c11ce13
company,1768228295,Why the nickel may vanish just like the penny,138072327,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,"First the penny gets put out to pasture, and now the nickel's days look numbered.",https://finnhub.io/api/news?id=abcb4d279702c7c148dd635cbc7754725e1b3ce28bdb57582ae6dab715acd8b3
company,1768217700,Where Will Costco Be in 5 Years?,138071371,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,"One of the leaders in the retail sector, this stock has crushed the market since early 2021.",https://finnhub.io/api/news?id=cb12fa5a87498e17e5454fcd3310d8b6bf0e6e587ae60738b73007abdc1fe7db
company,1768211121,"Trending tickers: Walmart, Alibaba, Novo Nordisk, BE Semiconductor and British Land",138071268,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,The latest investor updates on stocks that are trending on Monday.,https://finnhub.io/api/news?id=498996c39d074a50c04f73af2405447b24c85312cd9479006692b34b430e7426
company,1768211101,Discount grocer Aldi plans to open more than 180 stores in U.S. this year as customers across incomes seek value ,138075861,https://image.cnbcfm.com/api/v1/image/108140299-1746219129144-gettyimages-2213107780-083a0006_p4m5acbx.jpeg?v=1746219190&w=1920&h=1080,COST,CNBC,Aldi's growth reflects the fiercer competition with traditional players as discounters lure away shoppers and win more of their weekly grocery runs.,https://finnhub.io/api/news?id=c27137a4e42e026718d59b92cf2673aee593aea0879acdd1bab125cbac61a251
company,1768207500,Best Stock to Buy Right Now: Costco vs. Home Depot,138071373,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,Both of these retail powerhouses have seen their share prices soar since their respective initial public offerings.,https://finnhub.io/api/news?id=e6b5543390001f381847af190967ee82d77958c662aa146a8be25125c062ed36
company,1768204800,Prediction Markets Face a New Test This Earnings Season,138071269,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COST,Yahoo,Event contracts are giving investors more direct ways to trade on corporate results this earnings season. The most popular bets may surprise you.,https://finnhub.io/api/news?id=80d10c795a29d4c2bb997dc5cb78df01b964509557a325c4d786197ddefc2279
company,1768202100,"If I Were Starting A Dividend Portfolio In 2026, Here's How I Would Invest",138070955,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2216381991/image_2216381991.jpg?io=getty-c-w1536,COST,SeekingAlpha,Dividend investing is increasingly vital amid higher rates and inflation. Click here to read about how I'd put together a portfolio.,https://finnhub.io/api/news?id=32f4909f469af6dff4c17103f9119e7f14fce514a3beabf244b99a535852eee7
