category,datetime,headline,id,image,related,source,summary,url
company,1768261024,GM CEO Mary Barra tells automotive press she has 'no regrets' over EVs,138083553,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GM,Yahoo,"Barra, who addressed the Automotive Press Association from the company's new HQ, said GM’s electric vehicles remain the company's North Star.",https://finnhub.io/api/news?id=3ce74b4fe299e4d18d34009356035de899d51b4b5246c5be40949bdbf196112a
company,1768259700,GM Vs Ford: Which Automaker is the Better Investment for 2026?,138082635,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GM,Yahoo,"GM stock has spiked 65% in the last year to new all-time highs of over $80 a share, with Ford shares up more than 40% and near a 52-week peak of $14.",https://finnhub.io/api/news?id=a7e0520c05e1b24eb5934181223d82057eee743945d5b58fb66d2a270ca9978a
company,1768258633,GM CEO says EVs still the 'end game' despite industry pullback,138083555,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GM,Yahoo,"DETROIT, Jan 12 (Reuters) - General Motors CEO Mary Barra said the Trump administration’s push to loosen fuel-economy rules has affected the automaker’s business ​even more than its fast-changing trade policies. Speaking at an Automotive Press Association event ahead of ‌this week’s Detroit auto show, Barra said the administration’s regulatory shifts, such as killing a $7,500 electric-vehicle tax credit and moving ‌to roll back tailpipe-emissions rules, prompted GM to rapidly adapt its product",https://finnhub.io/api/news?id=afed253201dc10d41f050357142d68a7a28025a3b568384867c12d817e498f77
company,1768240074,Jim Cramer Calls Ralph Lauren a “Terrifically Well-Run” Company,138076547,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GM,Yahoo,"Ralph Lauren Corporation (NYSE:RL) is one of the stocks from different market sectors that Jim Cramer commented on. Cramer mentioned the company during the episode and said: “Next, both of the main consumer sectors were soft last year. The stronger consumer discretionary group put up just 5.3%. That’s a gain in the aggregate. So, you […]",https://finnhub.io/api/news?id=a960f3fb9c10eaa769267face838d1540deaf4d2422f42e09b0ef7fa38fb9f4a
company,1768239180,GM puts $6 billion price tag on EV mistake,138076669,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GM,Yahoo,"For months, General Motors has been making it clear just how much its electric vehicle business is struggling. In October, the country's largest automaker by volume said that its board of directors approved third-quarter charges of $1.6 billion in GM North America for a “planned strategic ...",https://finnhub.io/api/news?id=34cf4e8b9eacbea80b2ffdea49a2701dd5ee25225c622f255d1a0f86f9866af8
company,1768237202,What Makes General Motors (GM) a Strong Momentum Stock: Buy Now?,138078158,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GM,Yahoo,Does General Motors (GM) have what it takes to be a top stock pick for momentum investors? Let's find out.,https://finnhub.io/api/news?id=598c87709224f3dacacbbecc940fa4e88f07302f61497f3cda3df5cd4b444ef5
company,1768232770,"Dr. Oz Says If The Average American Delayed Their Retirement And Worked One Year Longer, It Would Increase The GDP By Trillions Of Dollars",138076670,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GM,Yahoo,"Dr. Mehmet Oz made the case that improving Americans’ health through better diets could transform both the nation's economy and healthcare spending. One More Year On The Job, Trillions For The Economy Oz, the administrator of the Centers for Medicare & Medicaid Services, connected the dots between improved public health and workforce participation during a White House press conference this week. If Americans could stay healthy enough to work just one additional year beyond the current average re",https://finnhub.io/api/news?id=d1988827afb6d8f8fe9fa05d964384945cda78fc10834739761987517efc01cd
company,1768229400,"Zacks Value Trader Highlights: Borg Warner, General Motors, Phillips 66, Adient and Sirius XM",138075464,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GM,Yahoo,"Borg Warner leads a fresh list of classic value picks for 2026, as low valuations and earnings growth put beaten-down stocks back in focus.",https://finnhub.io/api/news?id=67a41bb8de3efcef5db43b5e83e35f72a000c6cbd68c98b1bd32a00cb22761a0
company,1768227480,"Company News for Jan 12, 2026",138075150,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GM,Yahoo,"Companies in The News Are: VST,META,INTC,GM,KBH",https://finnhub.io/api/news?id=44de66c2c980f4ad58e0164ab32cfefe86ce69bccaad7d2dbeabd69fc0c8eb80
company,1768227323,"Ford’s Headquarters Skips Detroit, as GM Remains",138075333,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GM,Yahoo,"Both Ford and General Motors recently moved their headquarters. The latter remained in Detroit, while the former stayed in nearby Dearborn, Michigan.",https://finnhub.io/api/news?id=c8f94f11f7990cb1d13368d76af0dbbe44e0e25a9c30cb2312996f5dd42f1311
