category,datetime,headline,id,image,related,source,summary,url
company,1768257548,44th Annual J.P. Morgan Healthcare Conference,138080081,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,MRK,SeekingAlpha,"2026-01-12. The following slide deck was published by Merck & Co., Inc.",https://finnhub.io/api/news?id=1422dc51e401e537a95a8f4fc135cc52bfad19fede939b03809f7338b5ba8401
company,1768256758,"Merck & Co., Inc. (MRK) Presents at 44th Annual J.P. Morgan Healthcare Conference Transcript",138080001,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,MRK,SeekingAlpha,"Merck & Co., Inc. (MRK) 44th Annual J.P.",https://finnhub.io/api/news?id=ea31819580b4a87d20e0e69e4d93ea6de142daeb79099ee24118c97aa6cac41b
company,1768242932,Tempus Shares Jump After Strong Preliminary 2025 Results,138078087,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,Investors Eye 2026 Guidance as Tempus AI Tops $1.1B in Contract Value,https://finnhub.io/api/news?id=686979a1fb16905d5efaf87fbfd2069526ea76d5517eb4566138dbd0b9d79802
company,1768239621,Gilead Sciences: From All-Time Highs To Higher Highs,138078945,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1958960897/image_1958960897.jpg?io=getty-c-w1536,MRK,SeekingAlpha,"Gileadâs Yeztugo launch, rising margins, and CAR-T pipeline progress (anito-cel, KITE-753/363) support a 2026 bull caseâread the outlook now.",https://finnhub.io/api/news?id=98acfd77875786e8d559978005ee16a3b1a789ed2a121272d2d0fcf0342e906a
company,1768238940,Health Care Roundup: Market Talk,138078034,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"Find insight on U.S. pharmaceutical companies’ cash positions, the Thai health-care sector and more in the latest Market Talks covering the health care sector.",https://finnhub.io/api/news?id=eda3cf4f73b150dab1efe606ce157882d4fca763716cba74b6697431d4686de4
company,1768235460,Merck & Co. Inc. stock underperforms Monday when compared to competitors,138124824,,MRK,MarketWatch,Merck & Co. Inc. stock underperforms Monday when compared to competitors,https://finnhub.io/api/news?id=ad8bd96021c2d1543f56c1b2badff9db3a595458bf067267f6cb9cca40eb26c3
company,1768228205,Wall Street Bulls Look Optimistic About Merck (MRK): Should You Buy?,138076510,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"The average brokerage recommendation (ABR) for Merck (MRK) is equivalent to a Buy. The overly optimistic recommendations of Wall Street analysts make the effectiveness of this highly sought-after metric questionable. So, is it worth buying the stock?",https://finnhub.io/api/news?id=3182241f3f5aa3eb41e41f94584b9c0bc073dc2edc90a4b6536771bea21e52f2
company,1768225860,AbbVie Down 3% in a Month: Why Holding the Stock Still Makes Sense,138075196,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"ABBV stock falls 3% in a month amid takeover rumor denials, but Skyrizi and Rinvoq momentum and a deep pipeline support staying invested.",https://finnhub.io/api/news?id=58765a627d9be58ce6cb0cd8fcb045fda1cc5bb353794f942837148ac1ed4ae8
company,1768205100,3 Dividend Stocks to Hold for the Next 10 Years,138071427,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,All three companies are in better shape than most investors are (understandably) presuming.,https://finnhub.io/api/news?id=638a5185f3076e418d0527f97bbde662ef62b56a30f6549456d8add65a3ac0ab
company,1768192642,1 Momentum  Stock Worth Your Attention and 2 Facing Headwinds,138071428,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"The stocks in this article are all trading near their 52-week highs. This strength often reflects positive developments such as new product launches, favorable industry trends, or improved financial performance.",https://finnhub.io/api/news?id=7753ca64c0c87384f5e0376cdad6ec392dcbff2b8f4f1beb787ff00ef714765e
