category,datetime,headline,id,image,related,source,summary,url
company,1768262340,Expect a Busy Year in Obesity Drugs as New Pills Hit the Market,138083152,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,Pill versions of the successful GLP1 drugs from Novo Nordisk and Eli Lilly will likely be on the market in 2026’s first half.,https://finnhub.io/api/news?id=40c24df00f5efbf8d7171df5dcf3eea07c86f5c4cea3dee2415c94c22231f989
company,1768261373,Pfizer CEO plans for soaring consumer market for obesity drugs akin to Viagra,138083153,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"SAN FRANCISCO, Jan 12 (Reuters) - Pfizer is preparing for a consumer market for obesity drugs on par with the booming business it saw after it launched erectile dysfunction drug ​Viagra in 1998, CEO Albert Bourla said on Monday. Bourla said that even when the drugmaker was ‌negotiating its purchase of weight-loss drugmaker Metsera, initially announced in September 2025, Pfizer did not expect the cash-pay market for obesity drugs ‌currently dominated by Eli Lilly and Co and Novo Nordisk to get s",https://finnhub.io/api/news?id=2ff3ae28adae91f65d16f401f9209e3fa2754a638c0be742b604745aaf5aad66
company,1768257900,"3 retail trends to watch in 2026, according to NRF 2026",138083155,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"The National Retail Federation (NRF) is hosting its Retail's Big Show conference in New York City this week. Attending the event, Yahoo Finance Senior Reporter Brooke DiPalma sat down with KPMG US consumer & retail sector leader Duleep Rodrigo and PwC partner and US consumer markets industry leader Alison Furman to hear how retailers will be employing AI applications and how companies are expected to adjust to the adoption of GLP-1 weight-loss drugs and more active lifestyles by consumers. To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend.",https://finnhub.io/api/news?id=e261a78afe0448a6a014b8603623160e9f19945582b1b7c38974d9853bd8c535
company,1768238940,Health Care Roundup: Market Talk,138078034,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"Find insight on U.S. pharmaceutical companies’ cash positions, the Thai health-care sector and more in the latest Market Talks covering the health care sector.",https://finnhub.io/api/news?id=eda3cf4f73b150dab1efe606ce157882d4fca763716cba74b6697431d4686de4
company,1768255226,UBS Likes Pfizer’s MTSR Obesity Deal but Stays Neutral on PFE,138083459,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"Pfizer Inc. (NYSE:PFE) is included among the 13 Best Dividend Stocks Paying Over 6%. On January 7, UBS initiated coverage of Pfizer Inc. (NYSE:PFE) with a Neutral rating and a $25 price target. The firm pointed to lingering uncertainty around Pfizer’s revenue outlook, with roughly $15 billion to $20 billion tied to major drugs expected […]",https://finnhub.io/api/news?id=926ee8ffad41e9c3b90aa2ee47b31e6df7482898ff67b9ea255bd95d22cf82d1
company,1768243022,"JPM Preannouncements: Why Alnylam And Sarepta Lost, But Day One Won",138078023,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,Alnylam stock slipped Monday after its fourth-quarter preannouncement ahead of the J.P. Morgan Healthcare Conference.,https://finnhub.io/api/news?id=7d06c927eaadf8f0888bcb67eceeb5786d758e8a3ef1c73fd175c9246e4664ec
company,1768242932,Tempus Shares Jump After Strong Preliminary 2025 Results,138078087,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,Investors Eye 2026 Guidance as Tempus AI Tops $1.1B in Contract Value,https://finnhub.io/api/news?id=686979a1fb16905d5efaf87fbfd2069526ea76d5517eb4566138dbd0b9d79802
company,1768241298,Tempus AI's Pharma Momentum Accelerates,138078032,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,Contract value passes $1.1 billion milestone,https://finnhub.io/api/news?id=ff38bcbc57cd472afc636a8380f0ee88a6ef9e41608fd3600c0ae3a53b8bd375
company,1768238280,"JPM26: US biotech’s ‘Sputnik moment,’ Pfizer’s obesity ambitions and Bristol Myers’ big year",138083158,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"Four recent deals fueled more angst about China’s biotech progress, while Pfizer, Bristol Myers and Sarepta all worked to appease jittery investors.",https://finnhub.io/api/news?id=5814654a2adf7efd498096cf5d5f02dadfe655ac4a15f57e45b21d1726bfa8fd
company,1768235880,‘Biotech Super Bowl’ Lands With a Thud. Stocks Slide on Lack of Deal News.,138076408,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"Monday is the first day of  J.P. Morgan’s  annual healthcare investor conference, which draws thousands of investors, analysts, and executives to San Francisco each year.  There is ample precedent: Last year,  Johnson & Johnson  announced a $14.6 billion deal to acquire Intra-Cellular Therapeutics on the first day of the gathering.  The Wall Street Journal reported last week that Merck was in talks to buy the biotech Revolution Medicines for roughly $30 billion, but as of late morning, no such agreement had been announced.",https://finnhub.io/api/news?id=a8e42fa0176125b6d61a239d1fc7e9d3ac654534ef8fe6ce6ee1a22fdfcc0ed8
