category,datetime,headline,id,image,related,source,summary,url
company,1768251900,PagerDuty Appoints Chris Ferro as Chief Legal Officer,138083622,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"SAN FRANCISCO, January 12, 2026--PagerDuty, Inc. (NYSE:PD), a leader in digital operations management, today announced that Chris Ferro has joined the company as Chief Legal Officer. Ferro will oversee all legal functions at PagerDuty, including corporate, compliance, employment and product matters, with a focus on advancing business objectives while mitigating legal and regulatory risk.",https://finnhub.io/api/news?id=911e823b9857be2be08f4187eb223aa43a1084e77b33964d67e4466790f542f3
company,1768250770,"With AI-Driven Shopping a 'Major 2026 Theme,' Experts Like This Pair of Stocks",138083167,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"Artificial intelligence stands to transform online shopping as consumers know it, presenting revenue upside for fintech companies.",https://finnhub.io/api/news?id=3eb189a0d1e00ff7a9026ebcf1c1b978c75beb772efeb0e191c539590199ef04
company,1768238689,"Some Credit Card Issuers' Revenue May Halve Due to Trump's Rate Cap Proposal, RBC Says",138076404,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,Some credit card issuers may see their revenue slashed by more than half as a result of a 10% intere,https://finnhub.io/api/news?id=733404bfd74c2a26ad21a01e71a22dad90732959256877e590dc818ef4fbfa76
company,1768234800,PayPal's Agentic Commerce Expansion: Will it Boost Top-Line Growth?,138076355,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"PYPL deepens its push into agentic commerce with Copilot Checkout, linking AI-driven shopping, branded checkout and payments inside Microsoft's Copilot.",https://finnhub.io/api/news?id=393c5ed8a08bb6fa3100f630a48312ecf5e0d96e084f132fac0c86f9f9763da9
company,1768231860,2 Stocks That Will Benefit From Trump’s Call to Cap Credit-Card Interest Rates,138124665,,PYPL,MarketWatch,2 Stocks That Will Benefit From Trump’s Call to Cap Credit-Card Interest Rates,https://finnhub.io/api/news?id=4377cb4a18a94ab2f9c95c9ff2c4e66a820526a0cd712b6e939bedaf2c2c208d
company,1768228740,"How Home Depot, Wayfair executives are preparing for an agentic AI future",138078072,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"The technology is redefining how customers interact with brands, but at least some parts of shopping will remain a human experience, executives said Sunday at NRF.",https://finnhub.io/api/news?id=e003db163a1d125bdc0ae7e83af28532238083f5ed16c3c80e53f8e9f674346e
company,1768226402,"PayPal Holdings, Inc. (PYPL) is Attracting Investor Attention: Here is What You Should Know",138075372,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"Recently, Zacks.com users have been paying close attention to Paypal (PYPL). This makes it worthwhile to examine what the stock has in store.",https://finnhub.io/api/news?id=3b3f9adb1a38905715bb4b852e522d90eb6ff14a76f434a91758124cf07d37b3
company,1768225260,Why Affirm and SoFi Are Winners From Trump’s Call to Cap Credit Card Interest Rates,138072356,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"Mizuho Securities says fintech companies like SoFi, Affirm, and Block could benefit from Trump’s proposed cap on interest rates.",https://finnhub.io/api/news?id=62dc8af0b509c61b417c008cd94255dabbe33dd90fb1e74667451abbaac98c7e
company,1768221465,Latest News In Digital Payment - Euronet Expands Through Strategic CrediaBank Partnership,138071347,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"Euronet Worldwide, Inc. has entered into a strategic partnership agreement with Greece's CrediaBank to acquire its merchant acquiring business, signaling significant developments in the digital payment sector. This transaction, anticipated to close in the third quarter of 2026 pending regulatory approvals, will consolidate Euronet's standing in Greek merchant services by merging with CrediaBank's portfolio. Additionally, the collaboration includes the provision of financial services to...",https://finnhub.io/api/news?id=a80fd83da78d5f30d43512e15e0dd3fa414afc813a8457c405db530fc1f1c884
company,1768212000,"Most big cryptocurrencies decrease on Avalanche, Sui drops",138131782,,PYPL,MarketWatch,"Most big cryptocurrencies decrease on Avalanche, Sui drops",https://finnhub.io/api/news?id=4571dbab6bb748fb4cf6b8418761134093d7eccfbc13286979e1d97de71d1607
company,1768199385,Here’s What to Expect From PayPal Holdings’ Next Earnings Report,138071554,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PYPL,Yahoo,"PayPal is expected to release its fiscal fourth-quarter earnings in early February, and analysts project a modest earnings increase.",https://finnhub.io/api/news?id=ead5a31a266e38c53b447596a5e7dc4964b14c9da1738376aa8bbbbdefa5a40b
company,1768193544,"Capital One drops 7%, other banks hit after Trump calls for credit card rate cap",138075811,https://image.cnbcfm.com/api/v1/image/108251054-1768220028983-gettyimages-2233929081-McGregor250908NYCbusinesses03.jpeg?v=1768220098&w=1920&h=1080,PYPL,CNBC,"Posting on Truth Social, Trump said he would ""no longer let the American Public be 'ripped off' by Credit Card Companies.""",https://finnhub.io/api/news?id=93d09c15e3ce8038dbbe92e42209219061b49bd550ef01eb9c35297aa184e20c
