category,datetime,headline,id,image,related,source,summary,url
company,1768257154,"Stock Market Today, Jan. 12: Walmart Jumps on Nasdaq 100 Inclusion",138082779,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"Today, Jan. 12, 2026, the retail giant’s Nasdaq-100 debut and new Google Gemini tie-up are reshaping its tech-driven narrative.",https://finnhub.io/api/news?id=b245728cbdc47f9edb34970ebb0e6a12a32d4fdc9ff223e16babed78c6ab8210
company,1768249500,Target’s Stores Become an ICE Battleground in Hometown Minneapolis,138132165,,TGT,DowJones,Target’s Stores Become an ICE Battleground in Hometown Minneapolis,https://finnhub.io/api/news?id=6b3d2352a99f4174c087bed3a6189bfc38ce953571c73c1938211bd7f56ca450
company,1768248780,Target bets on a strategy that hasn't fixed declining sales,138078176,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"Some may agree with the saying that ""you can't teach an old dog new tricks,"" and in Target's case, that sentiment may be difficult to ignore. Target says it is acting with renewed ""urgency,"" as it has been ""far from satisfied"" with its recent financial performance. The retailer insists it will not ...",https://finnhub.io/api/news?id=ccacd6c95ef1066eb902e7bcb5e8fecb0ee9e888d62e6d005390c00a74399572
company,1768240079,Jim Cramer Highlights Procter & Gamble’s Recent Rally,138076479,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"The Procter & Gamble Company (NYSE:PG) is one of the stocks from different market sectors that Jim Cramer commented on. Cramer mentioned the stock while discussing the performance of consumer packaged goods companies, as he commented: “The packaged food stocks were mostly lower, with some huge names down… the big ones just down horribly, and […]",https://finnhub.io/api/news?id=f09d9cba9c8dedad91f4b25ece1f433c68fac4dc8de9afe52f8bb6be8924d15d
company,1768235940,The Bullish Technical Case for Consumer Staples Stocks in 2026,138076511,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"This type of price action reflects strong buying pressure, likely institutional participation, and resulted in a bullish candlestick.  Each occurrence marked a point of support and was followed by a bullish candlestick formation.  In June 2018, a bullish morning star pattern launched a six-month winning streak.",https://finnhub.io/api/news?id=f563c053afc399689b6514fad120d3ead42f626e3b267400c8fbf274c8b2261e
company,1768235220,The Best Dividend Stocks to Buy and Hold Forever,138075377,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,You already know some of the best stocks to own for the long haul. It's time to connect the dots.,https://finnhub.io/api/news?id=1977025a2791d61b18ea08006f53aa70ba84e24c1eb2b2f0f0d9fc599c11ce13
company,1768234860,Can AI-Driven Trend Forecasting Restore Target's Merchandising Edge?,138076713,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"TGT is betting on GenAI tools like Trend Brain to sharpen cultural insight, speed merchandising decisions and reignite discretionary growth.",https://finnhub.io/api/news?id=1ac424300b17ef84e332fbfe968c4e0745ef1fab1e1f90b21a09af43f67b1bb6
company,1768226405,Target Corporation (TGT) is Attracting Investor Attention: Here is What You Should Know,138075378,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"Recently, Zacks.com users have been paying close attention to Target (TGT). This makes it worthwhile to examine what the stock has in store.",https://finnhub.io/api/news?id=a3903c727b27244497912db7b9b6c2496b2a21bf800eb2051b75539f7a4e309c
company,1768225500,Walmart's Sam's Membership Grows: Will Renewal Strength Last?,138075184,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"WMT's Sam's Club membership income climbs in Q3 as renewals stay strong, digital tools gain traction, and Plus penetration rises.",https://finnhub.io/api/news?id=c43d6fe05120d16c3d8b75bed55a37cabd647b48f5537a88e1700666fcf6d4dd
company,1768205326,Simply Good Foods (SMPL) Is Up 13.6% After Q1 Beat And Bigger Buyback Plan - Has The Bull Case Changed?,138071365,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TGT,Yahoo,"In early January 2026, The Simply Good Foods Company reported fiscal first‑quarter 2026 results with net sales of US$340.2 million, lower net income of US$25.27 million, and reaffirmed full‑year guidance for net sales to be between a 2% decline and 2% growth year over year. Alongside this, the company completed a long‑running repurchase of 11.42% of its shares for US$275.96 million and expanded its buyback authorization to US$500 million, while Quest and OWYN brands continued to grow and new...",https://finnhub.io/api/news?id=f1e9aa9a92c1b2fb7f65ed6c0852a2f50bfa2e6d18dc8dc63fe272916cf97932
