category,datetime,headline,id,image,related,source,summary,url
company,1768431002,"Airbnb, Inc. (ABNB) Sees a More Significant Dip Than Broader Market: Some Facts to Know",138116748,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABNB,Yahoo,"In the closing of the recent trading day, Airbnb, Inc. (ABNB) stood at $132.79, denoting a -5.2% move from the preceding trading day.",https://finnhub.io/api/news?id=ef46cf4d3d7dddb77c56d11b8f27c062b07c8b841f54ff092f21253172a4e3d0
company,1768425298,"Intuitive Surgical slips, Airbnb hires Meta's former GenAI chief",138115492,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABNB,Yahoo,"Market Domination Host Josh Lipton tracks several of the day's top trending stock tickers, including Intuitive Surgical (ISRG) and Airbnb (ABNB), as well as metals like gold (GC=F), silver (SI=F), and copper (HG=F), which are seeing their prices rise. To watch more expert insights and analysis on the latest market action, check out more Market Domination.",https://finnhub.io/api/news?id=1fb534f0ac6f020ad318f2844e53071b43edc46b1a4470e1c470d9c6e3cc9e00
company,1768415604,Travel stocks sink: Expedia leads decline following US visa processing freeze,138114743,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABNB,Yahoo,"Investing.com -- Expedia Group (NASDAQ:EXPE) stock fell 5% Wednesday, leading a broader decline in travel stocks after the US State Department announced plans to suspend visa processing for individuals from 75 countries.",https://finnhub.io/api/news?id=99003c879b497fcc6100c52d68dbc5b7043710d417a706088ddd676a3ec4975b
company,1768408318,"Airbnb Hotel Rollout Limited, Madrid May Boost Stock, RBC Says",138113328,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABNB,Yahoo,Airbnb's (ABNB) hotel rollout is not expected to drive near-term financials but modest market-level,https://finnhub.io/api/news?id=52b2bd43c001b1dd7040ffa3945f089ae673cadada96515caa79bb420c1518a9
company,1768408200,"Airbnb Inc. Cl A stock falls Wednesday, underperforms market",138131194,,ABNB,MarketWatch,"Airbnb Inc. Cl A stock falls Wednesday, underperforms market",https://finnhub.io/api/news?id=f169007864c9b38fd087539af8ed85dea29422b650b3cba1a4d9a4197ad8a61a
company,1768398660,Airbnb Appoints Former Meta AI Executive CTO,138111803,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABNB,Yahoo,"Airbnb named Ahmad Al-Dahle, a former leader of AI at Meta, as the company’s new chief technology officer.",https://finnhub.io/api/news?id=e54e1b8b87edf5a7a4f2103a3fe2977c96295641e675b1b50416d8a87017eb70
company,1768398040,Airbnb Taps Meta GenAI Leader as CTO,138111008,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABNB,Yahoo,Ahmad Al-Dahle joins as Airbnb sharpens its AI push,https://finnhub.io/api/news?id=7d0b6b1003eb6163bbc31c47870e0d6f9c9280597dfcb1cbf9bcd51532552372
company,1768395693,Airbnb Nabs Former Meta Exec to Lead AI Efforts,138111129,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ABNB,Yahoo,Airbnb Inc. has hired a former Meta Platforms Inc. executive as its new chief technology officer to help lead its artificial intelligence effort. Ahmad Al-Dahle speaks next to CEO Brian Chesky.,https://finnhub.io/api/news?id=a1f94971719a2ed39648c860ef4e184da3f92bc25dd35f78e13b2ac9503614c3
company,1768393081,"Stocks making the biggest moves midday: Biogen, Rivian, Bank of America, Airbnb & more ",138112671,https://image.cnbcfm.com/api/v1/image/108062769-1731535090661-gettyimages-2184630861-mt1_9326_wa00nqkc.jpeg?v=1768405647&w=1920&h=1080,ABNB,CNBC,These are the stocks posting the largest moves in midday trading. ,https://finnhub.io/api/news?id=e59a5f7b8922a0fbb9cbf25344e9a77e22a3d37d98012c7cf3604eaa5c472caf
company,1768379261,Airbnb CEO Brian Chesky on new CTO: We have an opportunity to do AI right for travel and e-commerce,138112953,https://image.cnbcfm.com/api/v1/image/108252239-17683968491768396847-43492137595-1080pnbcnews.jpg?v=1768396849&w=1920&h=1080,ABNB,CNBC,"Airbnb CEO Brian Chesky joins 'Squawk Box' to discuss the hiring of Meta’s former head of GenAI, Ahmad Al-Dahle, as its new Chief Technology Officer, how the move came about, what it means for the company's AI ambitions, his thoughts on the CA wealth tax, and more.",https://finnhub.io/api/news?id=12ed83c059d2d29e4cafbed82f5a3e42c98d9140251489af76db36d07661920c
company,1768377863,Airbnb poaches former Meta GenAI leader to be new technology chief,138112565,https://image.cnbcfm.com/api/v1/image/108251993-1768341465977-Ahmad_Al_Dahle-48.jpg?v=1768341552&w=1920&h=1080,ABNB,CNBC,"The new appointment comes amid Airbnb's massive app redesign, which added catering and personal training. ",https://finnhub.io/api/news?id=7a7029d829b5086d42ce05501dca250ad33c87beeee4fa0e77de09f60c18a2fc
