category,datetime,headline,id,image,related,source,summary,url
company,1768413220,"Goldman Sachs Assumes Coverage of Adobe (ADBE) With Sell Rating, $290 PT",138113400,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"Adobe Inc. (NASDAQ:ADBE) is one of the cheap S&P 500 stocks to invest in now. On January 12, Goldman Sachs assumed coverage of Adobe with a Sell rating and $290 price target. This announcement was made as Goldman Sachs initiated coverage on 12 software names. The firm gave Adobe a Sell rating and warned that […]",https://finnhub.io/api/news?id=562e9f97861af8ab3714dc31dec350f565853444511f1be788b8f3ebc646d95d
company,1768410968,‘Sickening and greedy’: California millionaire slams Larry Page and Sergey Brin for cutting ties with the state to avoid wealth tax,138115445,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"As billionaires flee the state to avoid the proposed wealth tax, other high earners support the one-time tax.",https://finnhub.io/api/news?id=5c6bd55accab4d14af04ba7be7d40b2cc93903709c3a6b8665ff8bd19af86654
company,1768409732,Apple aims to capture creator market with software bundle,138113059,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,Apple is launching its Creator Studio later this month.,https://finnhub.io/api/news?id=b73e6f281a60066dce6d2c95d90095460e57635bc143034da2d1754fd60275a5
company,1768406400,"Strategy, Other Stocks to Buy Amid Software Selloff: Technical Analysis",138113070,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"Trends can persist longer than many expect, and some of the megacap software leaders will need to start pulling their weight if the group is to regain leadership.  Microsoft  the largest holding in the iShares software ETF at nearly 9%, is still working through the aftermath of a four-week skid into late November that erased nearly 100 points from the stock.  As 2026 begins, selective software names are showing pockets of resilience and relative strength, finding potential support and suggesting that leadership within the group may be narrow, but not absent.",https://finnhub.io/api/news?id=f046015ef7906ee894f76cdeab3f98a8f354fe54f4dfca78a1912a1aae7dc93d
company,1768399200,Veteran Technology Executive Eric Cox Joins Restaurant365 as Chief Operating Officer,138111271,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"Restaurant365, the leading all-in-one restaurant management platform, today announced that go-to-market and operations executive Eric Cox has joined the company as Chief Operating Officer. Cox will focus on driving company growth, ensuring customers are getting full value from the platform, and strengthening Restaurant365's internal operations.",https://finnhub.io/api/news?id=7a9d03be7bd0695338ea734488b59dee4d1cf4d8a3c8ecd88e55d3169778b40f
company,1768394758,AI challenging software incumbents,138153609,https://image.cnbcfm.com/api/v1/image/108252488-17684125821768412580-43495446303-1080pnbcnews.jpg?v=1768412582&w=1920&h=1080,ADBE,CNBC,"CNBC’s Seema Mody looks at the sharp selloff in software names like Salesforce and Adobe as competing products hit the market, raising concerns around competition.",https://finnhub.io/api/news?id=770b578809555a96e4f584f2182ce3da427e9501ca124f4221c7bc142ad3ad15
company,1768387590,India's Infosys beats Q3 revenue view; ups annual forecast range,138110495,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,ADBE,Yahoo,"BENGALURU, Jan 14 (Reuters) - Infosys (INFY) reported better-than-expected third-quarter revenue on Wednesday, helped by a pickup in tech demand from ​its financial services clients.",https://finnhub.io/api/news?id=119d2831d6e072b6a7a9f0a4beeef2f14d750f8bfdf8a0e84f2ad18f98e4cd77
company,1768382160,"Adobe’s stock is at a multiyear low, but the pummeling may not be done yet",138210130,,ADBE,MarketWatch,"Adobe’s stock is at a multiyear low, but the pummeling may not be done yet",https://finnhub.io/api/news?id=72ce2b3bf2f6041d9f11cdb39bc8601e59aee16f66d73a1cad5de1bbea94ee00
company,1768377898,Adobe: Another Step In The Wrong Direction,138110892,,ADBE,SeekingAlpha,,https://finnhub.io/api/news?id=201025215b3caa7654491b65862ae274b0a52c19c21fe8bf7057a5b5674f74f9
company,1768357323,Figma: Insider Sales Are A Risk,138101267,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2240708285/image_2240708285.jpg?io=getty-c-w1536,ADBE,SeekingAlpha,Figma reached over $1.0B in annualized revenue in Q3 and has strong customer retention trends. Click here to read why FIG stock is a Sell.,https://finnhub.io/api/news?id=e971898f9719d2fd930a8764dcc1c4d4e3cb7ea33dfa356ccaf266614b963ca5
