category,datetime,headline,id,image,related,source,summary,url
company,1768432423,Does Earnings Beat And Higher Margin Targets Change The Bull Case For Bank of New York Mellon (BK)?,138116200,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BK,Yahoo,"The Bank of New York Mellon Corporation recently reported fourth-quarter 2025 results, with net income of US$1,461 million and diluted EPS of US$2.02, alongside Board approval of a US$0.53 common dividend and a range of preferred dividends payable in early 2026. The company also completed a share repurchase program totaling 44,905,818 shares for about US$4.16 billion and raised its medium-term profitability targets, underlining management’s focus on efficiency, AI-enabled operations, and...",https://finnhub.io/api/news?id=8d118f59dbea559858ac6e307f2fa843e027d18f978e672821cd5a0829344255
company,1768410000,Q4 Earnings Approaching: Sector ETFs Under Pressure,138114627,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BK,Yahoo,"Q4 earnings are near for some sectors facing pressure. Autos, Transportation and Staples ETFs CARZ, IYT, XLP look vulnerable.",https://finnhub.io/api/news?id=7ace96d6dae073e55b6f4487888c2433ed6766e8f85a9dec90edcd1859bfc2a0
company,1768408920,FRN Variable Rate Fix,138113281,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BK,Yahoo,"LONDON, January 14, 2026-- As Agent Bank, please be advised of the following rate determined on: 1/14/2026Issue",https://finnhub.io/api/news?id=263aea7f1c455f330a6496506dcaeca41daf63161602e7cf4592886727cb3688
company,1768408860,Bank of New York Mellon Corp. stock outperforms competitors on strong trading day,138128864,,BK,MarketWatch,Bank of New York Mellon Corp. stock outperforms competitors on strong trading day,https://finnhub.io/api/news?id=54b01abad7a9c1a0b5dbf476324930ff7457b28e019be747cbd38488c6552150
company,1768400700,"Company News for Jan 14, 2026",138111919,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BK,Yahoo,"Companies in The News Are: BK,LHX,PAR,PZZA,GS",https://finnhub.io/api/news?id=0f01a25c585e84c6bb266d13eb2d5d1adde4f50f2160d335894276e0555a96ba
company,1768399680,"With Markets on Edge, Defensive ETFs Deserve a Second Look",138111991,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BK,Yahoo,"Rising geopolitical risks, Fed uncertainty and credit card policy debates make defensive ETFs worth a look.",https://finnhub.io/api/news?id=22bbb3ec3d3e5bccfabc3ad39acd38676c9f2ae0343463abc9a83d60d1a248e1
company,1768393809,Bank earnings: What else to expect as JPMorgan comes under pressure,138111142,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BK,Yahoo,"While JPMorgan Chase (JPM) kicks off earnings season for Big Banks this week, HSBC Head of US Financials Research Saul Martinez talks about his earnings forecast for other banking institutions this week. Also watch Saul Martinez discuss JPMorgan's latest earnings release and what President Trump's proposed 10% cap on credit card rates could mean for credit lenders. To watch more expert insights and analysis on the latest market action, check out more Market Catalysts.",https://finnhub.io/api/news?id=42a47d18a46a6f5c364d02296be33f8fd96ea4b0b2b23805cd44be434ae4085e
company,1768377600,Bank of New York Mellon: Q4 Earnings Show Strong Business At Fair Value,138110898,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/494976960/image_494976960.jpg?io=getty-c-w1536,BK,SeekingAlpha,"Bank of New York Mellon delivered record net income in 2025, driven by digital platform and AI-driven cost efficiencies. Learn more about BK stock here.",https://finnhub.io/api/news?id=30b6663be8da62d24e7cdd7423e019878266029ee12100632f9044b133887d30
company,1768368649,"BK Q4 Deep Dive: BNY Leverages AI, Expands Digital Offerings, and Raises Margin Targets",138110525,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BK,Yahoo,"Global financial services company BNY NYSE:BK) reported revenue ahead of Wall Streets expectations in Q4 CY2025, with sales up 6.8% year on year to $5.18 billion. Its non-GAAP profit of $2.08 per share was 4.9% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=b5676610a43d02857c93527e29a20b179459e078f8229ee0ad4ab9bf18336df1
company,1768366860,BNY Assets Growth Strengthens Case for Market Optimism,138110526,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BK,Yahoo,BNY says it works with 92% of the Fortune 100 companies and 94% of the top 100 investment managers worldwide.,https://finnhub.io/api/news?id=c7e30787a6d960a2e957861c30f5c328c911734b1905751c23cdddc203f03432
