category,datetime,headline,id,image,related,source,summary,url
company,1768413216,Bristol-Myers Squibb Reports Positive Phase 3 SCOUT-HCM Results for Camzyos in Adolescent Patients,138113418,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BMY,Yahoo,"Bristol-Myers Squibb Company (NYSE:BMY) is one of the cheap S&P 500 stocks to invest in now. On January 12, Bristol-Myers Squibb announced positive topline results from its Phase 3 SCOUT-HCM clinical trial. This study evaluated Camzyos (mavacamten), which is a cardiac myosin inhibitor/CMI, in adolescent patients aged 12 to under 18 years suffering from symptomatic […]",https://finnhub.io/api/news?id=8781d7314da09a319d949e516f3d29f220e573c999915e2bdd213ee5456e8b25
company,1768410360,Will Positive Data on Camzyos Strengthen BMY's Cardiovascular Portfolio?,138114642,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BMY,Yahoo,"BMY reports positive late-stage data for Camzyos in adolescents with oHCM, expanding its cardiovascular outlook amid pipeline setbacks and rising competition.",https://finnhub.io/api/news?id=7ce1b1792f772789e4085bcc16c3acfd003ce3da153685f709c20b9d286d902b
company,1768408740,Bristol Myers Squibb Co. stock underperforms Wednesday when compared to competitors despite daily gains,138127773,,BMY,MarketWatch,Bristol Myers Squibb Co. stock underperforms Wednesday when compared to competitors despite daily gains,https://finnhub.io/api/news?id=2e7ed4f150631084739a8aae625c23fc355a20ac643941497f2029d4e3dab7b2
company,1768407600,"Central Nervous System Therapeutic Market Report 2025-2033: Key Drivers, Regional Nuances, Competitive Dynamics | Astute Analytica",138113266,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BMY,Yahoo,"The global Central Nervous System (CNS) therapeutic market is projected to reach US$ 235.87 billion by 2033. This growth is propelled by a combination of unprecedented financial investment, a rich pipeline of novel therapies, and expanding treatment infrastructure across key geographies.Chicago, Jan. 14, 2026 (GLOBE NEWSWIRE) -- The global central nervous system therapeutic market was valued at 129.38 billion in 2024 and is expected to reach US$ 235.87 billion by 2033, growing at a CAGR of 6.90%",https://finnhub.io/api/news?id=6de1e97cf2344c5f408bf70fc7eb296fe705d2f21bf10c347690dab37113104f
company,1768401300,Will Keytruda Continue to Aid Merck's Top Line in Q4 Earnings?,138113196,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BMY,Yahoo,"Keytruda drives over half of MRK's pharma revenues, but softer Q3 sales put investor focus on whether the blockbuster drug can lift Q4 sales performance.",https://finnhub.io/api/news?id=19b420a6dcda08e7f1429426a51ffa66c23cb562ee2f1217ac826e48545073b7
company,1768400174,Bristol Myers price target raised to $60 from $54 at Leerink,138111976,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BMY,Yahoo,"Leerink analyst David Risinger raised the firm’s price target on Bristol Myers (BMY) to $60 from $54 and keeps an Outperform rating on the shares. The firm sees significant pipeline optionality in 2026 and thus room for additional stock upside potential. Leerink notes the company provided an overview of its pipeline readouts to watch in 2026 and beyond at a conference on January 12, 2026. The company has 12 registrational data readouts from 8 assets anticipated in 2026, most of which represent s",https://finnhub.io/api/news?id=9aabed667a8972794bed90a2a9f2a724d5cbc9d70d25aa52301cd6acd9e872fe
company,1768395617,Bristol-Myers Squibb (NYSE:BMY) Has A Pretty Healthy Balance Sheet,138111282,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BMY,Yahoo,"The external fund manager backed by Berkshire Hathaway's Charlie Munger, Li Lu, makes no bones about it when he says...",https://finnhub.io/api/news?id=491648959a4e1baa2e2f6f7f2db0e3ce23310c59445f1372e7f51ab67e588052
company,1768395600,BioCT Appoints Four Distinguished Life Sciences Leaders to Board of Directors,138111283,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BMY,Yahoo,"NEW HAVEN, Conn., January 14, 2026--BioCT, Connecticut’s life sciences trade organization, is pleased to announce the appointment of four distinguished executives to its Board of Directors. The organization has elected Ranjit Bindra, MD, PhD, Harvey and Kate Cushing Professor of Therapeutic Radiology and Professor of Pathology at Yale School of Medicine and serial bioscience entrepreneur; Angela Cacace, PhD, Chief Scientific Officer, Arvinas; Jennifer Good, Co-Founder, President, and Chief Execu",https://finnhub.io/api/news?id=f6769e5dbb8542c0a325632af1758ea08125dc81b167cd98b39b17abb2a10e83
company,1768394359,"XLV Vs. BME: Total Return Or Income, Which Healthcare Strategy Wins?",138113004,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2194222153/image_2194222153.jpg?io=getty-c-w1536,BMY,SeekingAlpha,"Explore why Health Care may mean-revert in 2026. Compare XLV vs BME yields, valuation and NAV discount, plus key risks.",https://finnhub.io/api/news?id=318d9b4b3675a3baea4b15c447112727402dbe4585fb6b8510c5c27f681f97dc
company,1768392531,"Healthy Returns: Novo Nordisk CEO on GLP-1 pricing, and more insights from the JPM conference",138112555,https://image.cnbcfm.com/api/v1/image/108222573-17624550972025-11-06t184628z_1673660215_rc25rhas1dn5_rtrmadp_0_usa-trump.jpeg?v=1762455130&w=1920&h=1080,BMY,CNBC,Novo Nordisk's CEO spoke about GLP-1 pricing and Pfizer's CEO spoke about the company's obesity ambitions while at the JPMorgan Healthcare Conference.,https://finnhub.io/api/news?id=d6f8d00d213e88039b110411652e19cc7093e8ec9df7d4de80999607d7c8eb25
company,1768379400,"[Latest] Global T-Cell Engagers Market Size/Share Worth USD 18.8 Billion by 2034 at a 21.2% CAGR: Custom Market Insights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth Rate, Value, SWOT Analysis)",138109921,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BMY,Yahoo,"[220+ Pages Latest Report] According to a market research study published by Custom Market Insights, the demand analysis of Global T-Cell Engagers Market size & share revenue was valued at approximately USD 2.4 Billion in 2024 and is expected to reach USD 2.5 Billion in 2025 and is expected to reach around USD 18.8 Billion by 2034, at a CAGR of 21.2% between 2025 and 2034. The key market players listed in the report with their sales, revenues and strategies are Amgen, Genmab, Roche/Genentech, Ma",https://finnhub.io/api/news?id=72b1b717a0b8023b92ef414d0e6b32b7c767eef89d6ce78d4a8e2368c22b7281
company,1768365179,3 S&P 500 Stocks Walking a Fine Line,138111284,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BMY,Yahoo,"While the S&P 500 (^GSPC) includes industry leaders, not every stock in the index is a winner. Some companies are past their prime, weighed down by poor execution, weak financials, or structural headwinds.",https://finnhub.io/api/news?id=8e6976e1d47d5aa0f4e3b40bdec42c7735f21dc74d6b8e5d37514fac2e3463f4
