category,datetime,headline,id,image,related,source,summary,url
company,1768431004,Fortinet (FTNT) Declines More Than Market: Some Information for Investors,138116754,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FTNT,Yahoo,"The latest trading day saw Fortinet (FTNT) settling at $76.39, representing a -2.48% change from its previous close.",https://finnhub.io/api/news?id=2a0bdc2c4f819f76f08b0c32dbc71faf9c2a5afdab0b09494663ceb7b3382d83
company,1768424146,Sector Update: Tech Stocks Fall Late Afternoon,138115426,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FTNT,Yahoo,"Tech stocks were lower late Wednesday afternoon, with the State Street Technology Select Sector SPDR",https://finnhub.io/api/news?id=75e636e6fa65aec05047b299f99dbe6f1ffaa235ff40e1269a13bf90194d41dc
company,1768423226,"Technology, Financials Hit US Equity Indexes in Final Leg of Trading",138115427,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FTNT,Yahoo,US equity indexes fell ahead of Wednesday's close as financials declined amid a sell-off in technolo,https://finnhub.io/api/news?id=805947c44b758a489b72b52e39dd92d8e77a20a9c082de232dd4b2bf0e304378
company,1768416963,"US Equity Indexes Drop as Big Bank Earnings Disappoint, Inflation Data Mixed Amid Worsening Geopolitics",138114573,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FTNT,Yahoo,"US equity indexes fell in midday trading on Wednesday amid disappointing bank earnings, mixed wholes",https://finnhub.io/api/news?id=62bdda2ee8bd0438a555dc8ba4a02ad8757087625a6f9a491876efd945ee9dbb
company,1768415504,Sector Update: Tech Stocks Fall Wednesday Afternoon,138114575,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FTNT,Yahoo,"Tech stocks were lower Wednesday afternoon, with the State Street Technology Select Sector SPDR ETF",https://finnhub.io/api/news?id=66279b88214b1342ca6e55fa0f44d7d5d7be8de5c0d7e18ff1b46156a745fe1d
company,1768404639,Cybersecurity Stocks Are Falling. China Is Tightening Software Rules,138111836,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FTNT,Yahoo,Cybersecurity Stocks Wobble as China Moves to Cut Foreign Software,https://finnhub.io/api/news?id=523039decf0f99e31945e35582b8e2449662e160de43a9f0534659ca99fb4503
company,1768404554,China bans select US and Israeli cybersecurity tools: sources,138111837,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FTNT,Yahoo,"STORY: Beijing has told Chinese companies to stop using U.S. and Israeli cybersecurity software.That’s according to sources who spoke to Reuters. They said authorities banned around a dozen firms from the country due to national security concerns. Trade and diplomatic tensions continue between China and the U.S. And Beijing wants to replace Western-made technology with domestic alternatives as both sides compete for tech supremacy.Sources said Broadcom-owned VMware, Palo Alto Networks and Fortinet are among the U.S. companies whose software has been banned.They also said Israel's Check Point Software Technologies was prohibited.Reuters wasn’t able to establish how many Chinese firms received this notice. The sources added Chinese authorities were concerned the software could collect and transmit confidential information abroad.Chinese regulators hadn't responded to requests for comment at the time of publication. The four companies also didn't reply to Reuters queries.",https://finnhub.io/api/news?id=3e506e2ffa2fc9e8950ed23993c52b7904e25ac10149295f934533e89e5a68ab
company,1768401753,"China targets US cybersecurity firms, Tesla's FSD subscription",138111856,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FTNT,Yahoo,"Morning Brief host Julie Hyman outlines three of the top stories investors are watching, including reports that China is telling companies to stop using US and Israeli cybersecurity software, BP's (BP) $5 billion hit, and Tesla's (TSLA) full self-driving (FSD) subscription model. To watch more expert insights and analysis on the latest market action, check out more Morning Brief.",https://finnhub.io/api/news?id=08dd4072071791bd4700b2c2105384fd0f937bfacc89a8145045abb687f3836b
company,1768400219,Sector Update: Tech Stocks Decline Premarket Wednesday,138111838,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FTNT,Yahoo,"Technology stocks were declining premarket Wednesday, with the State Street Technology Select Sector",https://finnhub.io/api/news?id=808f416df1b089dcf1e995faaf492c9290b319b9787b766ef5591a7c8d31b61a
company,1768399200,Fortinet to Bring Cyber Leadership to World Economic Forum Annual Meeting 2026,138111332,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FTNT,Yahoo,"Fortinet joins global leaders to engage in dialogue highlighting cross-sector strategies to incentivize, drive accountability, and deter global cybercrime to dismantle the growing cybercrime ecosystemSUNNYVALE, Calif., Jan. 14, 2026 (GLOBE NEWSWIRE) -- Fortinet®, the global cybersecurity leader driving the convergence of networking and security, today announced its return to the World Economic Forum Annual Meeting in Davos-Klosters, Switzerland, from January 19–23, 2026. Fortinet is a founding m",https://finnhub.io/api/news?id=ecf12e417814c8115b1b3e3b0202e117609bb8bfa5437d20b407c0bb41319d02
company,1768398942,"Exchange-Traded Funds, Equity Futures Lower Pre-Bell Wednesday Ahead of Expected Supreme Court Decision on Tariffs",138111117,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FTNT,Yahoo,The broad market exchange-traded fund SPDR S&P 500 ETF Trust (SPY) was down 0.4% and the actively tr,https://finnhub.io/api/news?id=a189bd789299d2c051e8109078358e171cfc541312a21259296a304091c7ecd2
company,1768397280,Palo Alto Stock Drops. How China Made It the S&P 500’s Worst Performer Today.,138111840,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FTNT,Yahoo,"China has ordered domestic companies not to use software made by a number of U.S. cybersecurity companies, according to a report.",https://finnhub.io/api/news?id=08453e7e23544b49f9192e3981edf83569a3867aa681b52611833084d08d65fa
company,1768391580,"Cybersecurity stocks fall, but an analyst wonders if China fears are just ‘fake news’",138126912,,FTNT,MarketWatch,"Cybersecurity stocks fall, but an analyst wonders if China fears are just ‘fake news’",https://finnhub.io/api/news?id=a1dd8762d693d50b2570cfce2a73c95b357567621dca6ee170de67ebdd4f7697
company,1768390500,"Palo Alto, Fortinet Stocks Are Diving. Why They’re the S&P 500’s Worst Performers Today.",138111118,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FTNT,Yahoo,"China has ordered domestic companies not to use software made by a number of U.S. cybersecurity companies, according to a report.",https://finnhub.io/api/news?id=82b1ca7c717715103edf7ef7ad8878b666c35f21eddbbc822d51eeb89345a3c2
company,1768387860,"These Stocks Are Today’s Movers: Bank of America, Netflix, Nvidia, Fortinet, Intel, Rivian, and More",138110413,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FTNT,Yahoo,"Bank of America, Wells Fargo, and Citigroup are set to report earnings Wednesday, a day after JPMorgan Chase posted a decline in quarterly profit.",https://finnhub.io/api/news?id=f0c4fb01c732c6e6c91c93c592ef43f11a5367ff5bb0d1389775511698aadeac
company,1768386768,Cybersecurity stocks fall after China software crackdown report,138110428,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FTNT,Yahoo,"Investing.com -- Shares of several cybersecurity companies dipped on Wednesday after a Reuters report said Chinese authorities have instructed domestic firms to stop using security software from roughly a dozen companies based in the U.S. and Israel, citing national security concerns.",https://finnhub.io/api/news?id=663092d7d30858ba6260a52074fb59af299622aba7f8ef845fc6fe62972ef7c3
company,1768385820,"Palo Alto, Fortinet Stocks Drop. Why China Is Behind the Move.",138126913,,FTNT,MarketWatch,"Palo Alto, Fortinet Stocks Drop. Why China Is Behind the Move.",https://finnhub.io/api/news?id=4fa7f394fce5aec748f9343e998f332321f70ff9a91d4a93d19079708b71d157
company,1768383804,"Exclusive-Beijing tells Chinese firms to stop using US, Israeli cybersecurity software, sources say",138109904,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FTNT,Yahoo,"Jan 14 (Reuters) - Chinese authorities have told domestic companies to stop using cybersecurity software made by roughly a dozen firms from the U.S. and Israel due to national security concerns, two",https://finnhub.io/api/news?id=6d4a631052a086e072db7fa1e3f4e78870365dbdb6facb742a027ea1b9007eb4
company,1768381224,Cybersecurity stocks are falling pre-market after China reportedly bans cybersecurity software from the U.S.,138126914,,FTNT,MarketWatch,Cybersecurity stocks are falling pre-market after China reportedly bans cybersecurity software from the U.S.,https://finnhub.io/api/news?id=b75cf7e4f69195e162c98fe0c042b5135b8834ae8de495ce35c4e7fea29471d4
company,1768375860,"S&P 500 Futures Fall in Premarket Trading; Glaukos, Fortinet Lag",138132100,,FTNT,MarketWatch,"S&P 500 Futures Fall in Premarket Trading; Glaukos, Fortinet Lag",https://finnhub.io/api/news?id=1714f148cb89a506944434317575b888f365fe80ad22b5227e06be9fbfed58e4
