category,datetime,headline,id,image,related,source,summary,url
company,1768432502,Honeywell International Inc. (HON) Gains As Market Dips: What You Should Know,138116723,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,"Honeywell International Inc. (HON) reached $213.04 at the closing of the latest trading day, reflecting a +1.31% change compared to its last close.",https://finnhub.io/api/news?id=eb5781ece1bdc002690dc2ad2c6774299085c8fb2a69326c53def6edee9b942d
company,1768412405,Honeywell: I View The Quantinuum IPO As A Decent Capital Raise,138115861,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1453664340/image_1453664340.jpg?io=getty-c-w1536,HON,SeekingAlpha,"Honeywell International Inc. may IPO Quantinuum at a $10B valuation, unlocking $5B+ value and boosting HON into separates businesses. Click for this HON update.",https://finnhub.io/api/news?id=dc58b8e9a6d780706f7e891aee4653a4a5e727a65e4bb8eca9c4d5f67c25a097
company,1768410600,Tech Down on Renewed AI Fears -- Tech Roundup,138126863,,HON,MarketWatch,Tech Down on Renewed AI Fears -- Tech Roundup,https://finnhub.io/api/news?id=90bceeca07feb216004c11cb0cc2b5ec2abc46fbe33e3bbee7a6530e679c7397
company,1768398960,Quantinuum to Go Public. Investors Soon to Get Piece of Latest Quantum Pure Play.,138126864,,HON,MarketWatch,Quantinuum to Go Public. Investors Soon to Get Piece of Latest Quantum Pure Play.,https://finnhub.io/api/news?id=15135d30b36db7b8a4f2d525dcafb8cf6d196b54f2585c09f8f1b10b47f36503
company,1768398080,Quantum Computing Stocks: Honeywell's Quantinuum Plans IPO,138110996,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,"Honeywell said its‌ quantum computing unit Quantinuum will filing for an IPO, adding to the growing number of quantum computing stocks.",https://finnhub.io/api/news?id=cd873ef285dd87cb3e5f766ef90832f29b6ad2267cb53c25e3f742b7a805e332
company,1768397520,Quantinuum to Go Public. Investors Soon to Get Piece of Latest Quantum Pure-Play.,138111963,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,"Quantinuum, the quantum computing company majority-owned by  Honeywell International  is one of the most promising candidates in the industry.  Quantinuum is gearing up to submit a draft registration statement to the Securities and Exchange Commission for a proposed initial public offering,  Honeywell  said on Wednesday.  Barron’s was the first to report on Quantinuum’s prospective IPO last year after a source with direct knowledge of the matter indicated Honeywell planned to take the company public sometime between 2026 and 2027.",https://finnhub.io/api/news?id=9eaea765b9731e04ca6d9632d42ee84cce3bbbfcd0315634ca18ef2e556c576c
company,1768393800,Honeywell-Owned Quantinuum Prepares to Go Public,138111274,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,"Quantinuum, the quantum-computing company majority-owned by  Honeywell International  is planning to submit a draft registration statement to the Securities and Exchange Commission for a proposed initial public offering.  The number of shares to be offered and price range for the proposed offering have yet to be determined,  Honeywell  said Wednesday.  Barron’s was the first to report on Quantinuum’s prospective IPO last year after a source with direct knowledge of the matter indicated Honeywell was planning to take the company public sometime between 2026 and 2027.",https://finnhub.io/api/news?id=a1b9aa64be748068dbcb750b4db5222ad1fe042704828b30b23ae5ab392537aa
company,1768392611,Honeywell plans to carve out quantum computing unit Quantinuum via IPO,138111004,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,"Industrial company Honeywell said on Wednesday it plans for its majority-owned ​quantum computing unit Quantinuum to confidentially file ‌draft initial public offering papers with the U.S. securities regulator.  Quantinuum's ‌IPO plans come at a time when companies are exploring ways to develop and scale quantum capabilities to solve complex problems such as designing ⁠and manufacturing hydrogen ‌cell batteries for transportation.  Following the news, Honeywell's shares were ​up 1.6% during premarket trading.",https://finnhub.io/api/news?id=a0555e66bb39c1ba84065b3b9e0ef0d405d1bf8223f10e20e1761f4591ada255
company,1768392023,Honeywell International Insiders Sold US$1.5m Of Shares Suggesting Hesitancy,138111276,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,The fact that multiple Honeywell International Inc. ( NASDAQ:HON ) insiders offloaded a considerable amount of shares...,https://finnhub.io/api/news?id=8ad4eaf74018601453e11c2d9f8c9685835cd732f0a465c11879929be9b541e8
company,1768392000,HONEYWELL ANNOUNCES QUANTINUUM'S PLAN TO MAKE CONFIDENTIAL SUBMISSION OF DRAFT REGISTRATION STATEMENT FOR PROPOSED INITIAL PUBLIC OFFERING,138111277,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HON,Yahoo,"Honeywell (NASDAQ: HON) today announced that Quantinuum LLC (""Quantinuum"" or the ""Company""), which is majority owned by Honeywell, plans to make a confidential submission of a draft registration statement on Form S-1 to the U.S. Securities and Exchange Commission (the ""SEC"") relating to the proposed initial public offering of Quantinuum's common stock. The number of shares to be offered and the price range for the proposed offering have not yet been determined. The offering is subject to market",https://finnhub.io/api/news?id=a98e2fabd5ad79215f1e0c8fe4055d992cdc89b9da80af74addbde7a4318c572
