category,datetime,headline,id,image,related,source,summary,url
company,1768410968,‘Sickening and greedy’: California millionaire slams Larry Page and Sergey Brin for cutting ties with the state to avoid wealth tax,138115445,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"As billionaires flee the state to avoid the proposed wealth tax, other high earners support the one-time tax.",https://finnhub.io/api/news?id=5c6bd55accab4d14af04ba7be7d40b2cc93903709c3a6b8665ff8bd19af86654
company,1768403971,Cerebras scores OpenAI deal worth over $10 billion ahead of AI chipmaker's IPO,138153320,https://image.cnbcfm.com/api/v1/image/108251873-1768328756027-gettyimages-2223516653-FRANCE_RAISE_SUMMIT.jpeg?v=1768330004&w=1920&h=1080,IBM,CNBC,"The deal will help diversify Cerebras away from the United Arab Emirates G42, which accounted for 87% of revenue in the first half of 2024.",https://finnhub.io/api/news?id=2633b863c799fbb260232445d34fb43761d90b7f5bdb031e9f12be37444bd2c5
company,1768403400,ASML's Installed Base Management Business Picks Up: What's Driving it?,138113190,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"ASML Holding's IBM business is gaining momentum in 2025, driven by system upgrades, expanding EUV adoption, and rising service revenues.",https://finnhub.io/api/news?id=29ddbb59bd16caeb7ebd45e17d891aa50b1b910c0214bb3ffaa8eaaf72c84951
company,1768403340,"The Zacks Analyst Blog Highlights NVIDIA, Lockheed Martin, IBM, Microsoft and Palantir",138113048,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"NVIDIA anchors a 2026 investment thesis built on AI infrastructure, defense spending and quantum priorities reshaping global tech markets.",https://finnhub.io/api/news?id=f3a8c8f935f0f509f0c20602a11c416b5919ea6e583f7e1c60ab11663bbef956
company,1768402740,OpenAI Forges Multibillion-Dollar Computing Partnership With Cerebras,138207392,,IBM,DowJones,OpenAI Forges Multibillion-Dollar Computing Partnership With Cerebras,https://finnhub.io/api/news?id=2ff61d6a900c8137a33b9cc782500cddbf24d051d7a96ab7e0b3ad11e3dbe0b4
company,1768401360,IBM vs. MSFT: Which Cloud & AI Tech Giant is a Better Buy?,138113077,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"Microsoft's AI edge and stronger growth outlook give it an edge over IBM, despite the latter's stronger valuation and stock gains.",https://finnhub.io/api/news?id=116e5659a5e97c6bf592c31ceef71c88ac7ab3427a0c286f506f88c5863fa2ad
company,1768401000,Hazeltree 2025 Year-in-Review Finds Hedge Fund Crowding Diverged Sharply by Region,138111810,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"NEW YORK & LONDON, January 14, 2026--Hedge fund crowdedness in 2025 diverged sharply by region, reflecting fundamentally different economic drivers across North America, EMEA, and APAC, according to Hazeltree, a leading provider of integrated treasury and liquidity management solutions for alternative asset managers.",https://finnhub.io/api/news?id=392cdc8b8227978db5fd574b68e7b172df36e0e7a2302bfb641c84f5953eca18
company,1768395888,IBM's 2026 Outlook Could Turn Brighter,138111208,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,2026 guidance may reflect steadier enterprise demand,https://finnhub.io/api/news?id=bf4360b7018eb48b0782239ddf41e36131400fa183aa927a2adb6c445983ef59
company,1768392499,CoreWeave And The Ghosts Of Cloud 1.0,138112559,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2203229031/image_2203229031.jpg?io=getty-c-w1536,IBM,SeekingAlpha,"CoreWeave rides GPU scarcity with bare-metal AI compute, but hyperscaler silicon may weaken its moat. Click here to read my latest analysis of CRWV stock.",https://finnhub.io/api/news?id=3015f741c9da52810304daf9e1bac8e3c7dbfff44e84b64f8301fcb26253ed6e
company,1768388880,‘The rejections are piling up’: why computer science graduates can’t get a job,138111209,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"Towards the end of last year, Rashik Parmar began getting calls from anxious students who had just graduated with degrees in computer science.",https://finnhub.io/api/news?id=2c001b086ff5c177ce194700e5ae8d3e9eaa3368387d0694b93a9fb2fb368128
company,1768374407,Is It Time To Reassess Kyndryl (KD) After Its IBM Separation And Mixed Share Performance?,138091450,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBM,Yahoo,"If you are wondering whether Kyndryl Holdings at around US$27.05 is starting to look like value or still carries too much uncertainty, you are not alone. The share price return sits at 1.2% over the last 7 days, 0.5% over the past month, 6.1% year to date and a 27.9% decline over the last year, while the 3 year return is 115.0%. This gives a mixed picture of how the market has been reassessing the company over different time frames. Recent headlines have focused on Kyndryl's position as an...",https://finnhub.io/api/news?id=8322a8b5702c1e099e8c3201e08f208fef809cc526e64850166e26b914b8bd8c
