category,datetime,headline,id,image,related,source,summary,url
company,1768414200,"Kroger, McDonald’s answer soaring restaurant, grocery prices",138114860,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KR,Yahoo,"Dining out has always been a luxury, but rising prices forced many Americans to make different choices when it comes to where they eat, or whether they just stay home. My wife and I, for example, generally eat out on Friday or Saturday night, and, with prices higher, we might opt for Longhorn ...",https://finnhub.io/api/news?id=ca9f5051ed971f77ac953b5006bd94c237b20d373ae1bd2d5a5e1d6e84299fb2
company,1768409580,Kroger Co. stock outperforms competitors on strong trading day,138133871,,KR,MarketWatch,Kroger Co. stock outperforms competitors on strong trading day,https://finnhub.io/api/news?id=db18581845bec431721621400a341c2f36a2d09c67ff6eb7e1cb7d6c911be35f
company,1768407352,Deutsche Bank is Bullish on The Kroger Co. (KR),138113360,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KR,Yahoo,"The Kroger Co. (NYSE:KR) is among the 12 Best Food Stocks to Buy in 2026. The Fly reported on January 8, 2026, that Deutsche Bank has resumed coverage of The Kroger Co. (NYSE: KR), with a $75 price target and a Buy rating. The firm anticipates 2026 to be a mixed year and has restored […]",https://finnhub.io/api/news?id=dec07c767109680637d7ae4a97b1ae1ffa8e70ad360b8b6b145e47b5a12dfe43
company,1768394340,Walmart Stock Hits 52-Week High: Should You Stay Invested?,138111152,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KR,Yahoo,"WMT hits a 52-week high as steady sales, strong e-commerce growth and higher-margin businesses keep investors confident.",https://finnhub.io/api/news?id=b921f6bf61b6153181e922b4f8ab81b00fb6059734cca69860772fa07c45bc61
company,1768393615,US snacks firm The Good Crisp Company gets new owner,138111358,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KR,Yahoo,"In a post on LinkedIn, Matthew Parry, co-founder and CEO of The Good Crisp Company, said the latest deal was “a major milestone”.",https://finnhub.io/api/news?id=739394fc7d55a9de76324f7102a4326170aa4fe782f2308f34307567d5336f6a
company,1768392000,A2Z Cust2Mate Launches Retail Media Division,138110553,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KR,Yahoo,"A2Z Cust2Mate Solutions Corp. (NASDAQ: AZ), a global leader in smart retail technology, today announced the launch of a dedicated Retail Media Division, a significant step in the company's evolution into a multi platform retail technology and monetization business.",https://finnhub.io/api/news?id=530178938aa81aacf1f37fcf0be6132032d091052226e072d29b6ff6842c8b95
company,1768389960,What lies ahead for Kroger’s next CEO?,138113361,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KR,Yahoo,"From streamlining e-commerce to strengthening its value proposition, the grocer is facing a series of critical decisions as it prepares to name a new leader.",https://finnhub.io/api/news?id=245242e9559f9054086f8f4aac19af282f9ae431f54caaea91c4f8a06edc3f11
company,1768388400,Kroger appoints new SVP of retail divisions,138113362,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KR,Yahoo,"Victor Smith, who joined Kroger in 1983 as a courtesy clerk, is moving up to the role after serving as president of the grocer’s Atlanta Division.",https://finnhub.io/api/news?id=806cb8a2ba943674ac403d3f7448be55678b5bde0ac13c1ca988d38e27b27520
company,1768387792,Kroger reshapes senior retail leadership with promotions and retirements,138110554,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KR,Yahoo,Atlanta division president Victor Smith has been promoted to senior vice-president of retail divisions.,https://finnhub.io/api/news?id=ba199a7aa3b3ceb9fd415db9d34fb8b4549e789cc1e2593623833b50c24f69b8
company,1768351839,Albertsons: Value And Income In One Basket,138090445,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1126636461/image_1126636461.jpg?io=getty-c-w1536,KR,SeekingAlpha,"Albertsons (ACI) looks undervalued at 8x P/E with a 3.5% dividend, digital/pharmacy growth and buybacksâsee why it may deliver low-to-mid-teens returns.",https://finnhub.io/api/news?id=80ac489726aaf3bb7c45e02866a8080a32cabc376e389485c25deb9066bc90fd
