category,datetime,headline,id,image,related,source,summary,url
company,1768424146,Sector Update: Tech Stocks Fall Late Afternoon,138115426,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PANW,Yahoo,"Tech stocks were lower late Wednesday afternoon, with the State Street Technology Select Sector SPDR",https://finnhub.io/api/news?id=75e636e6fa65aec05047b299f99dbe6f1ffaa235ff40e1269a13bf90194d41dc
company,1768423226,"Technology, Financials Hit US Equity Indexes in Final Leg of Trading",138115427,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PANW,Yahoo,US equity indexes fell ahead of Wednesday's close as financials declined amid a sell-off in technolo,https://finnhub.io/api/news?id=805947c44b758a489b72b52e39dd92d8e77a20a9c082de232dd4b2bf0e304378
company,1768421346,Does AI-Driven Deals vs Softer Billings Change The Bull Case For Palo Alto Networks (PANW)?,138115644,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PANW,Yahoo,"Palo Alto Networks has recently drawn attention as investors weighed strong AI-focused acquisitions, efficient customer acquisition, and FTC-cleared Chronosphere deal against softer billings growth, rising firewall component costs, and insider share sale plans. An interesting tension has emerged between the company’s robust free cash flow and AI-platform ambitions and growing concerns about demand softness, competition, and margin pressure. We’ll now examine how concerns over underwhelming...",https://finnhub.io/api/news?id=a46785883bf5a1ba230b2eea77c7297af8d11ca39cf7385eeac4a321090d7aba
company,1768416963,"US Equity Indexes Drop as Big Bank Earnings Disappoint, Inflation Data Mixed Amid Worsening Geopolitics",138114573,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PANW,Yahoo,"US equity indexes fell in midday trading on Wednesday amid disappointing bank earnings, mixed wholes",https://finnhub.io/api/news?id=62bdda2ee8bd0438a555dc8ba4a02ad8757087625a6f9a491876efd945ee9dbb
company,1768415504,Sector Update: Tech Stocks Fall Wednesday Afternoon,138114575,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PANW,Yahoo,"Tech stocks were lower Wednesday afternoon, with the State Street Technology Select Sector SPDR ETF",https://finnhub.io/api/news?id=66279b88214b1342ca6e55fa0f44d7d5d7be8de5c0d7e18ff1b46156a745fe1d
company,1768404639,Cybersecurity Stocks Are Falling. China Is Tightening Software Rules,138111836,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PANW,Yahoo,Cybersecurity Stocks Wobble as China Moves to Cut Foreign Software,https://finnhub.io/api/news?id=523039decf0f99e31945e35582b8e2449662e160de43a9f0534659ca99fb4503
company,1768404554,China bans select US and Israeli cybersecurity tools: sources,138111837,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PANW,Yahoo,"STORY: Beijing has told Chinese companies to stop using U.S. and Israeli cybersecurity software.That’s according to sources who spoke to Reuters. They said authorities banned around a dozen firms from the country due to national security concerns. Trade and diplomatic tensions continue between China and the U.S. And Beijing wants to replace Western-made technology with domestic alternatives as both sides compete for tech supremacy.Sources said Broadcom-owned VMware, Palo Alto Networks and Fortinet are among the U.S. companies whose software has been banned.They also said Israel's Check Point Software Technologies was prohibited.Reuters wasn’t able to establish how many Chinese firms received this notice. The sources added Chinese authorities were concerned the software could collect and transmit confidential information abroad.Chinese regulators hadn't responded to requests for comment at the time of publication. The four companies also didn't reply to Reuters queries.",https://finnhub.io/api/news?id=3e506e2ffa2fc9e8950ed23993c52b7904e25ac10149295f934533e89e5a68ab
company,1768401753,"China targets US cybersecurity firms, Tesla's FSD subscription",138111856,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PANW,Yahoo,"Morning Brief host Julie Hyman outlines three of the top stories investors are watching, including reports that China is telling companies to stop using US and Israeli cybersecurity software, BP's (BP) $5 billion hit, and Tesla's (TSLA) full self-driving (FSD) subscription model. To watch more expert insights and analysis on the latest market action, check out more Morning Brief.",https://finnhub.io/api/news?id=08dd4072071791bd4700b2c2105384fd0f937bfacc89a8145045abb687f3836b
company,1768401004,Wall Street Bulls Look Optimistic About Palo Alto (PANW): Should You Buy?,138111967,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PANW,Yahoo,"The average brokerage recommendation (ABR) for Palo Alto (PANW) is equivalent to a Buy. The overly optimistic recommendations of Wall Street analysts make the effectiveness of this highly sought-after metric questionable. So, is it worth buying the stock?",https://finnhub.io/api/news?id=1450dd2da75bcf92c6c16d652e9ef9453fbffd0968564c71d089f7ce68a810a8
company,1768400219,Sector Update: Tech Stocks Decline Premarket Wednesday,138111838,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PANW,Yahoo,"Technology stocks were declining premarket Wednesday, with the State Street Technology Select Sector",https://finnhub.io/api/news?id=808f416df1b089dcf1e995faaf492c9290b319b9787b766ef5591a7c8d31b61a
company,1768398942,"Exchange-Traded Funds, Equity Futures Lower Pre-Bell Wednesday Ahead of Expected Supreme Court Decision on Tariffs",138111117,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PANW,Yahoo,The broad market exchange-traded fund SPDR S&P 500 ETF Trust (SPY) was down 0.4% and the actively tr,https://finnhub.io/api/news?id=a189bd789299d2c051e8109078358e171cfc541312a21259296a304091c7ecd2
company,1768397280,Palo Alto Stock Drops. How China Made It the S&P 500’s Worst Performer Today.,138111840,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PANW,Yahoo,"China has ordered domestic companies not to use software made by a number of U.S. cybersecurity companies, according to a report.",https://finnhub.io/api/news?id=08453e7e23544b49f9192e3981edf83569a3867aa681b52611833084d08d65fa
company,1768391580,"Cybersecurity stocks fall, but an analyst wonders if China fears are just ‘fake news’",138126912,,PANW,MarketWatch,"Cybersecurity stocks fall, but an analyst wonders if China fears are just ‘fake news’",https://finnhub.io/api/news?id=a1dd8762d693d50b2570cfce2a73c95b357567621dca6ee170de67ebdd4f7697
company,1768390500,"Palo Alto, Fortinet Stocks Are Diving. Why They’re the S&P 500’s Worst Performers Today.",138111118,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PANW,Yahoo,"China has ordered domestic companies not to use software made by a number of U.S. cybersecurity companies, according to a report.",https://finnhub.io/api/news?id=82b1ca7c717715103edf7ef7ad8878b666c35f21eddbbc822d51eeb89345a3c2
company,1768386768,Cybersecurity stocks fall after China software crackdown report,138110428,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PANW,Yahoo,"Investing.com -- Shares of several cybersecurity companies dipped on Wednesday after a Reuters report said Chinese authorities have instructed domestic firms to stop using security software from roughly a dozen companies based in the U.S. and Israel, citing national security concerns.",https://finnhub.io/api/news?id=663092d7d30858ba6260a52074fb59af299622aba7f8ef845fc6fe62972ef7c3
company,1768385820,"Palo Alto, Fortinet Stocks Drop. Why China Is Behind the Move.",138126913,,PANW,MarketWatch,"Palo Alto, Fortinet Stocks Drop. Why China Is Behind the Move.",https://finnhub.io/api/news?id=4fa7f394fce5aec748f9343e998f332321f70ff9a91d4a93d19079708b71d157
company,1768381224,Cybersecurity stocks are falling pre-market after China reportedly bans cybersecurity software from the U.S.,138126914,,PANW,MarketWatch,Cybersecurity stocks are falling pre-market after China reportedly bans cybersecurity software from the U.S.,https://finnhub.io/api/news?id=b75cf7e4f69195e162c98fe0c042b5135b8834ae8de495ce35c4e7fea29471d4
company,1768374857,"Stocks making the biggest moves premarket: Wells Fargo, Bank of America, Netflix & more ",138112674,https://image.cnbcfm.com/api/v1/image/108250584-1767976748769-gettyimages-2250168363-301332final.jpeg?v=1767976767&w=1920&h=1080,PANW,CNBC,These are the stocks posting the largest moves in premarket trading. ,https://finnhub.io/api/news?id=1d90fd139fb8a7082e1c57e99121b5de9f37f90cd5f34ed17821dcea83dde17e
company,1768371595,"Intel shares hit highest in more than 2 years, and other early market movers",138126915,,PANW,MarketWatch,"Intel shares hit highest in more than 2 years, and other early market movers",https://finnhub.io/api/news?id=0bee32e71ad561a6e0796d1b1fa020484d089226189d307ce7421d882bb0e39c
company,1768367688,Cybersecurity firms hit by report of China ban,138126916,,PANW,MarketWatch,Cybersecurity firms hit by report of China ban,https://finnhub.io/api/news?id=216d596d5672731a23ae30cbabe5767dc3fa71e9d32c6c3eefe508188425e3c7
