category,datetime,headline,id,image,related,source,summary,url
company,1768429497,Scotiabank Upgrades Prologis (PLD),138115829,,PLD,Fintel,,https://finnhub.io/api/news?id=2453291be5423c311a469c444ecee13a4f27dbc0920e92a875bb89580bc7b7bc
company,1768408620,Prologis Inc. stock outperforms competitors on strong trading day,138127376,,PLD,MarketWatch,Prologis Inc. stock outperforms competitors on strong trading day,https://finnhub.io/api/news?id=1283cbd5d8acc6f7c5882f034037cc74417f6593c8083878ded83e7c7655ad90
company,1768407600,Is Lamar Advertising a Strong REIT Play for 2026 Investors?,138113534,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLD,Yahoo,"LAMR's resilient local ads, growing digital billboards and strong balance sheet make it a compelling REIT play.",https://finnhub.io/api/news?id=e6cee3c26c219d573b93795a17a5de3c828831125bf16a057156d3ba4d7e06af
company,1768406460,O vs. PLD: Which REIT Deserves a Spot in Your Portfolio?,138114791,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLD,Yahoo,"Prologis' leasing momentum, rent growth and data center expansion give it an edge over Realty Income for long-term cash flow growth in 2026.",https://finnhub.io/api/news?id=cb56e8d84f4f6b9ccfdbdcfa6aec874269f1d836d0cedb6082c89f17c17a1031
company,1768404900,Is OUTFRONT Media Stock Still a Buy After Its 36% Rally?,138113261,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLD,Yahoo,OUT stock rises nearly 36% in three months as transit advertising rebounds and digital demand strengthens across major markets.,https://finnhub.io/api/news?id=b5b31263a4a47695ab44c991a6be7bbda3f48b9e8d0e476233017f961964c5f8
company,1768404240,Healthpeak Announces Transaction Activity Amounting $925 Million,138113262,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLD,Yahoo,"DOC reports $925M in deals, buying a South San Francisco campus for $600M and selling $325M of stabilized outpatient assets.",https://finnhub.io/api/news?id=8f9a686a4864d2d8cf05f43e4f022d57a52442a96f4ae1a1901ca924ae7611c6
company,1768402740,"Zacks Industry Outlook Highlights Prologis, Postal Realty  and Industrial Logistics Properties",138113263,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLD,Yahoo,"Prologis stands out as specialized REIT demand lifts industrial assets, data centers and healthcare, even as asset obsolescence challenges older properties.",https://finnhub.io/api/news?id=30918b839d3441861d88cd79cb448c32b3aa6f3b2a24ccd5250c7984e3ba63c7
company,1768401923,"Uber initiated, Rivian downgraded: Wall Street's top analyst calls",138111881,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLD,Yahoo,"Uber initiated, Rivian downgraded: Wall Street's top analyst calls",https://finnhub.io/api/news?id=5632a1c254506d4894aaa7aabe9a2c2f3e278c97505811bfdb5c314ca0a9c8e5
company,1768401015,"I Loved Prologis, But It's Time To Say Goodbye (Downgrade)",138114374,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2182205419/image_2182205419.jpg?io=getty-c-w1536,PLD,SeekingAlpha,"Prologis stock is downgraded to ""Neutral"" on valuation despite strong warehouse growth and new data center push. Learn more about the company.",https://finnhub.io/api/news?id=67869db9bd108cd7d3bce0bbd3cddd8741b01fcaf53eb144e6a87fec75631b54
company,1768397280,Crown Castle Terminates Agreement With DISH on Payment Default,138111959,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PLD,Yahoo,"CCI cut ties with DISH after payment defaults, seeking over $3.5B owed as the move opens tower capacity for stronger 5G-focused carriers.",https://finnhub.io/api/news?id=6c60d1cbdecff24c77226aa51fa81bb0b512698f01b84791331eab246a052f5a
company,1768384333,The State Of REITs: January 2026 Edition,138111624,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1005011746/image_1005011746.jpg?io=getty-c-w1536,PLD,SeekingAlpha,The REIT sector closed out 2025 with a tough December (-1.48%) and finishing the year with a -3.57% total return for 2025. Read the full analysis here.,https://finnhub.io/api/news?id=af29b5deb3f62edc8ed1d45fe0d32e3ed76f5177ae2c6175a87054414602f0e4
