category,datetime,headline,id,image,related,source,summary,url
company,1768424820,"Verizon Outage Hits Nearly 180,000 Users",138115630,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,The telecommunications company said it is working to resolve an issue with wireless and data services.,https://finnhub.io/api/news?id=9d1ffa8ad47ef1f2b3bbe2cf9a6f3998506deceacb65c88fceb885d5e7bc9f24
company,1768418145,"Array (AD) Stock Trades Up, Here Is Why",138114744,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,Shares of wireless telecommunications provider Array (NYSE:AD) jumped 6.4% in the afternoon session after the company announced it completed the sale of a portion of its spectrum licenses to AT&T for $1.018 billion.,https://finnhub.io/api/news?id=3f5b12d5ce52624f6d7869e4b5c6dc0e3b92dc7f2c32083e2132d1cd6caba926
company,1768412671,"Dycom, IBD Stock Of The Day, Eyes Growth From AI Data Centers",138113245,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,Dycom is the IBD Stock of the Day as Wall Street focuses on the company's push into the burgeoning data center market from its telecom roots.,https://finnhub.io/api/news?id=4eae69e7167603516336068622f97c32964970152eeb02cd1bc5ecf46533713c
company,1768406520,Can Verizon's Digital Healthcare Initiatives Boost Its Market Shares?,138114745,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,"VZ leverages 5G, secure platforms, and telehealth tools to boost patient care and expand digital healthcare access nationwide.",https://finnhub.io/api/news?id=3053a4e645105beb8057f5212e6e4001c911a616c8353f385edf7c8262f38d6b
company,1768405980,Will COMM's Portfolio Optimization Strategy Drive Long-Term Growth?,138113232,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,"COMM sells its CCS unit for $10.5B, plans to clear all debt and pay at least $10 dividend a share, while rebranding to focus on Ruckus and Aurora growth.",https://finnhub.io/api/news?id=ad562175580b30de27d101d5a7474312cefbfb6b14f06152cfbd873c3134e2a7
company,1768404720,VZ vs ASTS: Which Connectivity Stock Should You Invest In Now?,138113247,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,"VZ is expanding its wireless and broadband footprint, while ASTS is steadily advancing its satellite-based connectivity portfolio and expanding its partner base worldwide.",https://finnhub.io/api/news?id=6fd00705471087bb029f4a633d5a493e3c6e974af558c3e6a0f4020af2e4a8ce
company,1768399204,Looking for Stocks with Positive Earnings Momentum? Check Out These 2 Computer and Technology Names,138113248,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,Why investors should use the Zacks Earnings ESP tool to help find stocks that are poised to top quarterly earnings estimates.,https://finnhub.io/api/news?id=cc3bd2a01b39d6eaeb8b7d03e5a70ca865659097a406a0b0d583ae95860aacd9
company,1768397280,Crown Castle Terminates Agreement With DISH on Payment Default,138111959,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,"CCI cut ties with DISH after payment defaults, seeking over $3.5B owed as the move opens tower capacity for stronger 5G-focused carriers.",https://finnhub.io/api/news?id=6c60d1cbdecff24c77226aa51fa81bb0b512698f01b84791331eab246a052f5a
company,1768395600,Pine Reveals Its 2025 ‘Consumer Friction’ Index,138111253,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,"PALO ALTO, Calif., January 14, 2026--Pine, the trusted AI agent for consumers’ digital chores that delivers results, today revealed its Consumer Friction Index – the top companies people use Pine for most to lower their bills, seek compensation, cancel subscriptions, correct delivery issues and address other problems that they find too complicated, frustrating or time consuming to fix alone.",https://finnhub.io/api/news?id=4df9a99521b43e655e3ab6acdc15dec7fb3bff2cca09c5b072be3260d1e85820
company,1768394236,"Here's 7 Ideal ""Safer"" January Dividend Dogs In The S&P500",138112924,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1431765767/image_1431765767.jpg?io=getty-c-w1536,T,SeekingAlpha,"Seven S&P 500 high-yield 'safer' dividend stocksâlike Ford, AT&T, and VICIâoffer strong payouts supported by free cash flow and attractive valuations. Read the full list here.",https://finnhub.io/api/news?id=8e70c97c632e32c4a90bce513d9cf130368557c18a5247bd432e7e49ee8e236f
company,1768392614,Social Security’s 2.8% COLA Won’t Cover What Retirees Actually Buy,138111153,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,T,Yahoo,"The 2.8% Social Security cost-of-living adjustment that took effect in January 2026 initially looked like good news. With overall inflation running at 2.7% in December, the COLA appeared to provide a small cushion. But for many retirees, the national inflation average doesn’t tell the whole story. The goods and services retirees depend on most—healthcare, groceries, ... Social Security’s 2.8% COLA Won’t Cover What Retirees Actually Buy",https://finnhub.io/api/news?id=18d9d9e37d7a608a04f3f8e1804b93048fc11893adf8ebc88b2d0ebdae09e332
company,1768354500,NextNav: The Only Things That Will Matter Are Getting FCC Approval,138090643,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072292028/image_1072292028.jpg?io=getty-c-w1536,T,SeekingAlpha,NextNav's role as a GPS backup and 5G spectrum play offers major upside for Laughing Water Capital. Learn more about the FCC approval process and valuation.,https://finnhub.io/api/news?id=3d2580b6ffacb96e034fe163d98be474271ec33843ef3207409c5293eb247bb3
