category,datetime,headline,id,image,related,source,summary,url
company,1768430503,Visa Stablecoin Payments Move Forward With BVNK Pilot,138120619,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,V,Yahoo,"Visa has launched a new pilot with UK-based payments firm BVNK, allowing businesses to send stablecoin payouts through Visa Direct. The move comes as stablecoins continue to process trillions of dollars in transactions each year, showing how digital dollars are becoming part of mainstream payment systems rather than niche crypto ...",https://finnhub.io/api/news?id=f2f5351d25e9bcfbe69883a90ff1fc3e67ea6f5212393268350c1035223d5930
company,1768416716,These Experts Say Buy Credit Card Stocks Despite Trump's Threats,138115518,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,V,Yahoo,Analysts at William Blair and Citigroup expressed confidence this week that recent proposals by President Trump to cap credit card interest rates and reform payment networks would have limited long-term impact on credit card stocks.,https://finnhub.io/api/news?id=3ae8c127d46d450f237ef7126f587b8ca0c9a871d0001e4b1830f62a94b2da95
company,1768415408,"Visa crypto chief bets on stablecoin settlement, sees volumes growing",138114636,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,V,Yahoo,"Visa is working to integrate stablecoins into existing payment systems, seeing an opportunity to maintain its market leadership as these tokens gain traction, ​Visa's head of crypto, Cuy Sheffield, told Reuters.  While their circulation has surged, led by El Salvador-based Tether's USDT with around $187 ‌billion tokens in circulation, mainstream merchant acceptance remains limited.  Even if new payments systems are built using the technology behind stablecoins, ""you still have to come back and connect to the existing merchant acceptance ecosystem if you want that product to be used,"" Sheffield said, referring to the current network of sellers that accepts payments.",https://finnhub.io/api/news?id=73d4d72f2ab758e9af3172ce5da6d05eeb5a2cd41245134e86335c7af79b18ec
company,1768412702,Q: What Could a Credit-Card Rate Cap Mean for Your Wallet?,138114637,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,V,Yahoo,"A: The president didn’t offer any details on how the one-year cap would be enacted, but said he wanted it to begin on Jan. 20.  Credit-card issuers are already pushing back, saying it will hurt the people it is intended to help.  Credit-card interest rates average around 23% and haven’t been below 10% in data going back to 1994.",https://finnhub.io/api/news?id=54cd59ad5d3c9bfeabf85018fdbc4bd9d9c2570abbef1aa1ee99a3a4a7814736
company,1768402802,"Should You Buy, Sell, or Hold Visa Stock for January 2026?",138114638,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,V,Yahoo,Does policy uncertainty around proposed credit card rate caps make Visa’s recent dip a warning sign or a long-term opportunity?,https://finnhub.io/api/news?id=4bfe815867bcb500ae583fd01646546e4d8ab91857cffa1a3b0d8f1e35195746
company,1768402320,Is Mastercard Turning Incentive Spend Into a Reliable Growth Channel?,138113130,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,V,Yahoo,"MA bets that category-specific prepaid rewards for fuel, EV charging and groceries can turn incentive spend into steadier, recurring network growth.",https://finnhub.io/api/news?id=2c7b00d9acf40a88bf98fde212ce1fa5957a88f556f09f8c94f906963b2617dd
company,1768401060,Visa Breaks the Illusion of Stability: Why 2026 Could Surprise Markets,138113131,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,V,Yahoo,"V's Global Economic Outlook for 2026 sees steady growth masking shifts in spending, regional trade and AI adoption that could reshape markets.",https://finnhub.io/api/news?id=e825bdc3f4477d19e3bd52636ac09832433c2ffbae5d6de8164d413ea6d723dc
company,1768400520,"Stock Market News for Jan 14, 2026",138113119,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,V,Yahoo,"U.S. stocks ended lower on Tuesday, with the S&P 500 and the Dow retreating from their earlier highs, as financial stocks struggled to maintain momentum, following a spate of proposals made by President Donald Trump over the past week.",https://finnhub.io/api/news?id=0f251d3033ac9c3bf44569ac8f8df01f8a8bc20f0234aa4e9ab9be1f141c6c41
company,1768395600,"Diginex Limited (NASDAQ: DGNX) Closes Acquisition of PlanA.earth GmbH (""Plan A""), Creating One of Europe’s Leading Integrated ESG, Carbon Accounting, and Decarbonization Platforms",138111150,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,V,Yahoo,"The deal introduces Visa and Deutsche Bank as new shareholders, underscoring strong institutional confidence in Diginex’s growth strategyLONDON, Jan. 14, 2026 (GLOBE NEWSWIRE) -- Diginex Limited (NASDAQ: DGNX), a leading provider of Sustainability RegTech solutions empowering businesses and governments with advanced ESG, climate, and supply chain data management tools, today announced the successful closing of its acquisition of PlanA.earth GmbH (""Plan A""), one of Europe's premier AI-powered car",https://finnhub.io/api/news?id=64b2bac4166d7e331184aa02ff20c61289c495668054a55d6b5ee5537ed413c4
company,1768391293,Visa Partners With BVNK to Enable Stablecoin Payouts on Visa Direct,138110445,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,V,Yahoo,The integration will enable businesses to fund and receive Visa Direct payouts using stablecoins in select markets.,https://finnhub.io/api/news?id=5e671bb0d275359057118331344a5515d0246a573a6d2315990b119d42fba07f
