category,datetime,headline,id,image,related,source,summary,url
company,1768515322,"Small-cap records, chip stock gains, silver: Market Takeaways",138137508,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,"US stocks (^DJI, ^IXIC, ^GSPC) close Thursday's session higher following AI optimism tied to the US trade deal with Taiwan. Yahoo Finance Markets and Data Editor Jared Blikre breaks down the biggest market themes from today’s trading day, including how small-cap indexes are reaching record highs, stock movements in semiconductor chip manufacturers, and price trends in silver (SI=F). To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend.",https://finnhub.io/api/news?id=e21eb288b6b58452867a21add07b3a1080a2693459884499932bdd0fa24896c8
company,1768513102,"Wall Street Snaps 2-Day Losing Streak as Semiconductors Shine, Bank Stocks Rise",138132272,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,"US equity benchmarks rebounded Thursday after a two-day slump, buoyed by gains in semiconductor and",https://finnhub.io/api/news?id=15d3cae7b4426a3220c032d84fe5c592c5f33dd59b8d41520317cc9783185112
company,1768508852,CNBC Daily Open: TSMC earnings draw investors' eyes back to AI,138153274,https://image.cnbcfm.com/api/v1/image/108132000-17447197412025-04-15t055841z_848185348_rc25ydas2crz_rtrmadp_0_usa-trump-tariffs-taiwan.jpeg?v=1744719807&w=1920&h=1080,AMAT,CNBC,Thursday offered markets a rare respite from nonstop geopolitical upheaval. Yet the week's headlines still reflected larger global dynamics.,https://finnhub.io/api/news?id=5481f24b8d996280cf4d848effd2ef7c80245b5098a7d41d9d9ef17e746181cc
company,1768504864,"Semiconductor, Bank Stocks Help Lift Equity Markets Intraday",138126243,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,"US benchmark equity indexes were higher intraday amid a surge in semiconductor stocks, with Goldman",https://finnhub.io/api/news?id=0f99c852ce956c4c4c04b5a91a805e103476f64c45176ff16a84ef6c34fc8a13
company,1768503673,"Technology, Financials Lift US Equity Indexes Amid Receding Geopolitical Risk in Iran",138126393,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,US equity indexes rose in midday trading on Thursday as Taiwan Semiconductor Manufacturing's (TSM) q,https://finnhub.io/api/news?id=6857280dcc1b09b2e70b327f868bc04efb036af9a879d86066486a615bee6f77
company,1768499495,4 semiconductor stocks giving the AI boom 'more legs',138122565,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,Crossmark Global Investments chief market strategist Victoria Fernandez explains why a new wave of earnings from the semiconductor sector signals the AI race is just warming up.,https://finnhub.io/api/news?id=e4a25e16f39700fbe2c988865f9825d59685232ff84080ec1e328d94772d55bd
company,1768499481,"Applied Materials (AMAT) Stock Trades Up, Here Is Why",138126409,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,"Shares of semiconductor machinery manufacturer Applied Materials (NASDAQ:AMAT) jumped 8.2% in the afternoon session after Taiwan Semiconductor Manufacturing Co. (TSMC), a major customer, announced a significant increase in capital spending plans and a robust revenue growth forecast for 2026, lifting the entire chip equipment sector.",https://finnhub.io/api/news?id=854f72048a4260f98a37b373bc587bd31749f00011d143fe8a78dd786187a755
company,1768498730,"Technology, Financials Lift US Equity Indexes",138122718,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,US equity indexes rose in midday trading on Thursday as quarterly results from Taiwan Semiconductor,https://finnhub.io/api/news?id=0f01d6f1fd8b11054b1ebdb6e5d8c145013abb6126807c46ee92c4812a8b25c8
company,1768497480,"KLA, ASML, Lam Research, Applied Materials Surge. Why Chip Stocks Are Getting a Boost.",138208079,,AMAT,MarketWatch,"KLA, ASML, Lam Research, Applied Materials Surge. Why Chip Stocks Are Getting a Boost.",https://finnhub.io/api/news?id=bbac23dbc9123920446c3eee2d1a5f96d4b8c0bc0c8e4defcbe2aea452044ec6
company,1768492381,"Applied Materials, Lam Research and KLA Stocks Hit Record Highs",138122731,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,"Strong results from Taiwan's TSMC helped push U.S. semiconductor-equipment stocks to new peaks.    Shares in Applied Materials, KLA and Lam Research rose roughly 5% to 8% on Thursday morning.   All three stocks hit new intraday peaks, according to Dow Jones Market Data, and were among the best performers in the S&P 500.",https://finnhub.io/api/news?id=e10ae6420af0e4d9380d5f09ac7d975b5868a5dfb4f5cfdda5444bf42dea7d3c
company,1768492020,Applied Materials FY25 HBM Revenues Hit $1.5B: A New Growth Driver?,138122732,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,"AMAT aims to double its HBM business from $1.5 billion to $3 billion, leaning on hybrid bonding leadership and its Kinex system as demand ramps.",https://finnhub.io/api/news?id=ba8057e9286b25596bbb7af57fba0e26619fa6bf6dc6bf4ff6b4983a98e018ee
company,1768483260,Lam Research Soars 165% in a Year: Is LRCX Stock Still a Buy?,138121620,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,"LRCX beats the semiconductor sector with a 165% surge, backed by booming AI demand, strong revenue growth and expanding margins.",https://finnhub.io/api/news?id=c648f4b4a811d903a0f1c490ddaea52406f767590ceddc0828b291e24c1d735d
company,1768483021,"Here Are Thursday’s Top Wall Street Analyst Research Calls: Applied Materials, BankUnited, Broadcom, Dell Technologies, DraftKings, Lam Research, NVIDIA, and More",138121529,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMAT,Yahoo,"Pre-Market Stock Futures: Futures are trading mostly higher after another risk-off day on Wall Street on Wednesday. Despite more solid news on the inflation front, as the producer price index report came in below estimates, the swirling geopolitical issues around the world and at home are starting to weigh on Wall Street’s bullishness. The potential ... Here Are Thursday’s Top Wall Street Analyst Research Calls: Applied Materials, BankUnited, Broadcom, Dell Technologies, DraftKings, Lam Research",https://finnhub.io/api/news?id=c3659107c4f07288b61904a48eca7b6d241f7ab7dc401dbc01ca5e92665b60a0
company,1768482212,Chip stocks pop after TSMC's earnings beat boosts confidence in industrywide demand,138153294,https://image.cnbcfm.com/api/v1/image/108248994-1767729949197-gettyimages-2254367461-AFP_89UC72B.jpeg?v=1768522377&w=1920&h=1080,AMAT,CNBC,Shares of chipmakers AMD and Nvidia popped along with equipment makers like Applied Materials after TSMC reported better-than-expected results. ,https://finnhub.io/api/news?id=59ccaf9bd2b44937df50e47f8cbf65bf2b3a18e8636a92ffc47dd00e4544c781
company,1768482120,Why Nvidia’s stock isn’t partying like other parts of the chip sector this year,138208709,,AMAT,MarketWatch,Why Nvidia’s stock isn’t partying like other parts of the chip sector this year,https://finnhub.io/api/news?id=41b419f85c941837ee95cdc9683fdf78e13ee68e6ef5aeecdb42ba5e60dcecdf
