category,datetime,headline,id,image,related,source,summary,url
company,1768518420,Wall Street’s Good Times Roll While the Rest of the Economy Plods Along,138137487,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"The latest wave of big U.S. banks’ financial results revealed that Wall Street traders, investment bankers, and wealth managers who cater to affluent clients turned in a banner year.  For everyday consumers, though, the big lenders’ reports presented a different picture: good, not great.  The four largest U.S. banks—  JPMorgan Chase Bank of America Wells Fargo  and  Citigroup  —and the investment banks  Goldman Sachs  and  Morgan Stanley  reported solid fourth-quarter earnings this week.",https://finnhub.io/api/news?id=01d4572df0943be7223d04add10fac602974bf1cd1cbef87a0b6819a114f9dc6
company,1768513976,"Bank Stocks: Buy, Hold Or Sell Heading Into 2026?",138152512,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"Banks stocks, after an unusually strong year, face many complex challenges and benefits in 2026. Will the rally continue?",https://finnhub.io/api/news?id=65a610dbbfb1e928d7809bbaff379330baa65c3b8ed4e816df5a72f6d1effdbc
company,1768513976,Bank Stocks Made A Killing In 2025. Can They Keep It Up In The New Year?,138137491,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"Banks stocks, after an unusually strong year, face many complex challenges and benefits in 2026. Will the rally continue?",https://finnhub.io/api/news?id=ff5c67dea7ff1d8b50c2db65f293017770dc12c66c3cf2885c503e479e3fb2a4
company,1768512894,Trump's credit card rate cap is 'political posturing': RBC Capital Markets,138153452,https://image.cnbcfm.com/api/v1/image/108253373-17685275001768527497-43518180446-1080pnbcnews.jpg?v=1768527499&w=1920&h=1080,BAC,CNBC,"Gerard Cassidy of RBC Capital Markets discusses major U.S. banks, how the Trump's proposed cap on credit-card lenders, expectations for changes to the Basel III requirements, as well as private credit fears.",https://finnhub.io/api/news?id=fdc57799aefc3409b0289b7d6b3515a4c62f88b32cb374217418e5c2d2e80b69
company,1768512122,"Earnings live: TSMC stock jumps; Goldman Sachs, Morgan Stanley find their footing after earnings calls",138132326,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,Results from Delta Air Lines and JPMorgan this week got fourth quarter earnings season underway.,https://finnhub.io/api/news?id=31172fc678e2afeeab66202cf3a38a7d78eda23916cbe6e664e30780227bed7c
company,1768509120,What Are the Tailwinds for Bank Stocks?,138132328,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"We discuss bank earnings, the credit card announcement and the outlook for the industry and bank stocks.",https://finnhub.io/api/news?id=0bdbaf5af97f27db53a99bedaa01fd9b7938c0007bc89ba1a669ebe6276096b3
company,1768508760,Bank Stocks Get Punished After Earnings—Is Valuation the Real Problem?,138156271,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,Bank stocks fell after earnings as valuations and policy concerns weighed on the sector; Bank of America and Wells Fargo offer different risk-reward profiles.,https://finnhub.io/api/news?id=d5c00a18242edc31a48e8d23bf85660d377f25ef4932ecb18d223cb3e844e056
company,1768505093,Friday's big stock stories: What’s likely to move the market in the next trading session,138153290,https://image.cnbcfm.com/api/v1/image/108212980-1760624130662-gettyimages-2241301832-bb2_4903_97rgamzj.jpeg?v=1760624190&w=1920&h=1080,BAC,CNBC,"Post-earnings gains for Morgan Stanley and Goldman Sachs, as well as a rally in chips, helped lift the major averages to a positive session Thursday.",https://finnhub.io/api/news?id=52f68032e33e5c17a61ea13102808f1a9e18da729ff550e1da3e046b8a768ddc
company,1768502052,BofA (BAC) Q4 2025 Earnings Call Transcript,138126358,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"Thank you for joining us to review our fourth quarter results.  During the quarter, we elected to change the accounting method related to our tax-related equity investments in order to better align our financial statement presentation with the economic and financial impact of those investments.  The primary impact of the accounting change was a reclassification between the income statement line items in our income statement, which had an insignificant impact on net income.",https://finnhub.io/api/news?id=3d62d755cded7d0b3e5f2289673b0603be056a4e64b16c6b1d67dcb42b0054a1
company,1768500990,Big Banks Are Already Flashing Glaring Warning Signs About Trump's 10% Credit Card Cap,138126323,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,"Execs warn the proposed limit on credit card interest rates could have a $100 billion impact on banks and ""unintended consequences.""",https://finnhub.io/api/news?id=0af69917c7c869607dc7b21e3338c3e45b345f9f0a96c8f8caa0336b6972776d
company,1768500239,"S&P 500 rises slightly Friday, heads for losing week as traders try to keep up with Trump flurry: Live updates",138153387,https://image.cnbcfm.com/api/v1/image/108253073-1768578431999-108253073-1768496723274-Traders-Photo-20260114-KK-PRESS-013.jpg?v=1768578453&w=1920&h=1080,BAC,CNBC,Semiconductor and bank stocks helped lift the broad market higher on Thursday.,https://finnhub.io/api/news?id=057a376b721b9fb88439228c16f51f5b20481301f75c015b2e07b586f9cd18e5
company,1768497628,"Goldman Logs Surprise Increase to Fourth-Quarter Profit Amid Investment Banking, Trading Revenue Gains",138122587,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BAC,Yahoo,Goldman Sachs (GS) reported a surprise increase in fourth-quarter profit as revenue from investment,https://finnhub.io/api/news?id=7022ee2dd980dd9ec71ca6992ae4fe63dd667336c32152e17e497208ee26a91b
