category,datetime,headline,id,image,related,source,summary,url
company,1768514208,"US Equity Markets Rise on Bank Earnings, AI-Driven Chip Optimism",138137537,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COIN,Yahoo,Major US equity indexes closed higher Thursday after Morgan Stanley (MS) and Goldman Sachs (GS) repo,https://finnhub.io/api/news?id=62f95ff1b6b6014ae6183f38ce435e2aaf5d3f145d7dd60ae1a6019087f9fc39
company,1768496940,Senate Crypto Bill Hits a Snag as Coinbase Pulls Support,138214157,,COIN,MarketWatch,Senate Crypto Bill Hits a Snag as Coinbase Pulls Support,https://finnhub.io/api/news?id=9da42eac281e3337335d3bd93c4cc6eea6cdf04b241dcabb0ca5953ba60e7d41
company,1768496760,Coinbase Stock Falls After Crypto Bill Support Withdrawn. Why It’s a Smart Move.,138214158,,COIN,MarketWatch,Coinbase Stock Falls After Crypto Bill Support Withdrawn. Why It’s a Smart Move.,https://finnhub.io/api/news?id=6b8c5a9273c5c7fd465042ae6cca33c386648d38dc98e23d8e3234e4908227fd
company,1768494912,Senate Delays Clarity Act Meeting After Coinbase Opposition,138122885,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COIN,Yahoo,Senate committees delay meetings on Clarity Act as Coinbase takes issue with parts of the crypto market structure bill.,https://finnhub.io/api/news?id=072b2a4024792d34d843cbe87afe243bfc26bd5c61796bc04d96e2cf24fa1ec3
company,1768494480,"These Stocks Are Today’s Movers: TSMC, ASML, Goldman, Morgan Stanley, BlackRock, Coinbase, Sandisk, and More",138208049,,COIN,MarketWatch,"These Stocks Are Today’s Movers: TSMC, ASML, Goldman, Morgan Stanley, BlackRock, Coinbase, Sandisk, and More",https://finnhub.io/api/news?id=0b5d8d4b5b9d76adfa35161e13561e7bc0d996de3b800721948636b5ab12e9e4
company,1768494000,"COIN Loses 8.4% in a Year, Trades at a Premium: How to Play the Stock",138126611,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COIN,Yahoo,COIN trades at a premium despite a 27.5% earnings dip projected for 2026 and growing investor concerns around valuation.,https://finnhub.io/api/news?id=97eba769068c51ac9fe5a6f0db803bb89481019803a34a7213605ab2bfb57c7e
company,1768493033,Senate committee delays crypto market structure hearing amid industry pushback: CNBC Crypto World,138154049,https://image.cnbcfm.com/api/v1/image/108253214-260116_cw_thumbnail.jpg?v=1768507510&w=1920&h=1080,COIN,CNBC,"On today's episode of CNBC Crypto World, major cryptocurrencies slide after the Senate Banking Committee postpones a hearing on crypto market structure legislation. And, Summer Mersinger, CEO of the Blockchain Association, reacts to the hearing's delay and shares her thoughts on the text of the legislation.",https://finnhub.io/api/news?id=4f763baf71730005740f7174a77d74c5412344e4f4f25ee63ebc83767c93c0c2
company,1768491041,Crypto's CLARITY Act markup delayed: It's a 'significant' setback,138121753,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COIN,Yahoo,"The Senate has delayed its markup of the CLARITY Act, which would have been a critical step for the landmark crypto legislation. The delay is a notable setback for investors' hopes of seeing crypto regulation this year. Additionally, Coinbase (COIN) CEO Brian Armstrong withdrew his support of the bill in its current form, noting that it would be worse than no bill at all. Bitwise Asset Management chief investment officer Matt Hougan sits down with Opening Bid host Brian Sozzi to discuss the latest crypto headlines and how these setbacks impact the industry as a whole. Bitwise operates several of its own bitcoin (BITB, BITC, BTOP) and crypto (BITQ, BITW) exchange-traded funds (ETFs). To watch more expert insights and analysis on the latest market action, check out more Opening Bid.",https://finnhub.io/api/news?id=d6108a9aba5c1b9e8dcf6a238930f36824daab5232d0a7bc08287c0b857aa8d9
company,1768482025,Coinbase CEO on failed crypto bill: Some things in bill we were surprised by and had issues with,138154052,https://image.cnbcfm.com/api/v1/image/108253125-17684995611768499554-43512515390-1080pnbcnews.jpg?v=1768499560&w=1920&h=1080,COIN,CNBC,"Brian Armstrong, Coinbase CEO, joins 'Halftime Report' to discuss the latest crypto deal to work its way through Congress.",https://finnhub.io/api/news?id=ba6f70acc955b25283364534f251aac8377bd12f9e3ce785aa6346141da2ee29
company,1768480504,"Stocks making the biggest moves midday: Morgan Stanley, Coinbase, Taiwan Semi, Eli Lilly & more",138153447,https://image.cnbcfm.com/api/v1/image/108247613-1767376953496-gettyimages-2253792451-US_STOCKS.jpeg?v=1768505634&w=1920&h=1080,COIN,CNBC,Here are some of the names making big moves in midday trading.,https://finnhub.io/api/news?id=2fd941cabf33dc9dbd7660425cf5ee4dbc04a90ce6bd2c87eba6f75fbd3a4bec
company,1768475545,Crypto Firms Buoyed by Trump Get Rocked as Crucial Bill Delayed,138120814,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COIN,Yahoo,"The Senate Banking Committee on Wednesday delayed its discussion of the bill, hours after Coinbase Global Inc. pulled its support for the latest version.  Among elements of the bill Coinbase and other firms are lashing out against are limits on their ability to offer yield or rewards on customers’ stablecoin holdings.  After their success helping get Trump elected and the stablecoin bill passed, crypto executives now fear the impasse over tokens pegged to the dollar could prevent the US regulatory framework from catching up with other markets.",https://finnhub.io/api/news?id=c7edd6d8ed5866e3b167fc026140a66669f4f996eae3f062ccdc668ab553a0b0
