category,datetime,headline,id,image,related,source,summary,url
company,1768514208,"US Equity Markets Rise on Bank Earnings, AI-Driven Chip Optimism",138137537,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KLAC,Yahoo,Major US equity indexes closed higher Thursday after Morgan Stanley (MS) and Goldman Sachs (GS) repo,https://finnhub.io/api/news?id=62f95ff1b6b6014ae6183f38ce435e2aaf5d3f145d7dd60ae1a6019087f9fc39
company,1768513102,"Wall Street Snaps 2-Day Losing Streak as Semiconductors Shine, Bank Stocks Rise",138132272,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KLAC,Yahoo,"US equity benchmarks rebounded Thursday after a two-day slump, buoyed by gains in semiconductor and",https://finnhub.io/api/news?id=15d3cae7b4426a3220c032d84fe5c592c5f33dd59b8d41520317cc9783185112
company,1768510252,Sector Update: Tech Stocks Gain Late Afternoon,138132277,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KLAC,Yahoo,"Tech stocks were higher late Thursday afternoon, with the State Street Technology Select Sector SPDR",https://finnhub.io/api/news?id=cf726c433c7f73c8a5c7115eaebc840dde7253acc4b4a382ded57c7e4f6579b2
company,1768509986,Why Is KLA Corporation (KLAC) Stock Soaring Today,138132382,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KLAC,Yahoo,"Shares of semiconductor manufacturing equipment maker KLA Corporation (NASDAQ:KLAC) jumped 8.3% in the afternoon session after Wells Fargo upgraded the stock to Overweight from Equal Weight, citing strong demand for advanced chips, while positive results from a major customer also lifted investor sentiment.",https://finnhub.io/api/news?id=61cba794c1c9bf3f44acc7ac8e0039198b21c1ad14f1c88b4cf4ed05a26b640e
company,1768504864,"Semiconductor, Bank Stocks Help Lift Equity Markets Intraday",138126243,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KLAC,Yahoo,"US benchmark equity indexes were higher intraday amid a surge in semiconductor stocks, with Goldman",https://finnhub.io/api/news?id=0f99c852ce956c4c4c04b5a91a805e103476f64c45176ff16a84ef6c34fc8a13
company,1768503673,"Technology, Financials Lift US Equity Indexes Amid Receding Geopolitical Risk in Iran",138126393,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KLAC,Yahoo,US equity indexes rose in midday trading on Thursday as Taiwan Semiconductor Manufacturing's (TSM) q,https://finnhub.io/api/news?id=6857280dcc1b09b2e70b327f868bc04efb036af9a879d86066486a615bee6f77
company,1768503494,Why KLA Corp Stock Popped Today,138126362,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KLAC,Yahoo,KLA stock costs 45x trailing earnings. Is that too much to pay for 13% earnings growth?,https://finnhub.io/api/news?id=1cc739176122cfe8a5d57c52b1cd4f3ae4979fd761d4a89c1a692426ca74dc3c
company,1768498730,"Technology, Financials Lift US Equity Indexes",138122718,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KLAC,Yahoo,US equity indexes rose in midday trading on Thursday as quarterly results from Taiwan Semiconductor,https://finnhub.io/api/news?id=0f01d6f1fd8b11054b1ebdb6e5d8c145013abb6126807c46ee92c4812a8b25c8
company,1768497480,"KLA, ASML, Lam Research, Applied Materials Surge. Why Chip Stocks Are Getting a Boost.",138208079,,KLAC,MarketWatch,"KLA, ASML, Lam Research, Applied Materials Surge. Why Chip Stocks Are Getting a Boost.",https://finnhub.io/api/news?id=bbac23dbc9123920446c3eee2d1a5f96d4b8c0bc0c8e4defcbe2aea452044ec6
company,1768495196,What Do Analysts Think About KLA Corporation (KLAC)?,138122768,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KLAC,Yahoo,"KLA Corporation (NASDAQ:KLAC) is one of the best long term growth stocks to buy according to hedge funds. KLA Corporation (NASDAQ:KLAC) received a rating update from Cantor Fitzgerald on January 8. The firm lifted the price target on the stock to $1,750 from $1,500 and maintained an Overweight rating on the shares. The firm told […]",https://finnhub.io/api/news?id=08b3e5ece75cb92eaab9192270117b3b0dcd53920041ea715098c6848f69f1d2
company,1768492381,"Applied Materials, Lam Research and KLA Stocks Hit Record Highs",138122731,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KLAC,Yahoo,"Strong results from Taiwan's TSMC helped push U.S. semiconductor-equipment stocks to new peaks.    Shares in Applied Materials, KLA and Lam Research rose roughly 5% to 8% on Thursday morning.   All three stocks hit new intraday peaks, according to Dow Jones Market Data, and were among the best performers in the S&P 500.",https://finnhub.io/api/news?id=e10ae6420af0e4d9380d5f09ac7d975b5868a5dfb4f5cfdda5444bf42dea7d3c
company,1768488780,"Nvidia initiated, DraftKings upgraded: Wall Street's top analyst calls",138121468,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KLAC,Yahoo,"Nvidia initiated, DraftKings upgraded: Wall Street's top analyst calls",https://finnhub.io/api/news?id=b6db615f6721025444b746e26a35c600294cf72e8f9e46d3fc4ce36a34b03843
company,1768483803,"If You Invested $1000 in KLA a Decade Ago, This is How Much It'd Be Worth Now",138121658,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KLAC,Yahoo,"Investing in certain stocks can pay off in the long run, especially if you hold on for a decade or more.",https://finnhub.io/api/news?id=e976701df657bac241bb5d7d59dca3f8d27c136a74c13b928ab4d52daae89b2f
company,1768483260,Lam Research Soars 165% in a Year: Is LRCX Stock Still a Buy?,138121620,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KLAC,Yahoo,"LRCX beats the semiconductor sector with a 165% surge, backed by booming AI demand, strong revenue growth and expanding margins.",https://finnhub.io/api/news?id=c648f4b4a811d903a0f1c490ddaea52406f767590ceddc0828b291e24c1d735d
company,1768482120,Why Nvidia’s stock isn’t partying like other parts of the chip sector this year,138208709,,KLAC,MarketWatch,Why Nvidia’s stock isn’t partying like other parts of the chip sector this year,https://finnhub.io/api/news?id=41b419f85c941837ee95cdc9683fdf78e13ee68e6ef5aeecdb42ba5e60dcecdf
company,1768481820,"ASML, Lam Research, Applied Materials Surge. Why Chip Stocks Are Getting a Boost.",138120691,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KLAC,Yahoo,Taiwan Semiconductor Manufacturing's heavy spending is great news for companies which sell machinery and other tools for chip manufacturing.,https://finnhub.io/api/news?id=3e495518ec296577c51e704a3e8fe0f51754e671fb3d4295403530d5ad1b495b
company,1768481714,Chip equipment stocks soar after TSMC’s bullish forecast,138120531,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KLAC,Yahoo,Investing.com -- Chip equipment stocks led a sector-wide rally Thursday after Taiwan Semiconductor Manufacturing Co. (NYSE:TSM) announced a significant increase in capital expenditure plans and a robust revenue growth forecast for 2026.,https://finnhub.io/api/news?id=c7d19914aed95ec991e3eff4070a29c487d012e17f371da4ef6a697cf6923c94
company,1768481659,Wells Fargo upgrades key chip names; AMD a top pick,138120568,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KLAC,Yahoo,"Investing.com -- Wells Fargo issued a broad wave of semiconductor upgrades as part of its 2026 outlook, arguing that the sector remains positioned for further gains despite strong year-to-date performance.",https://finnhub.io/api/news?id=1d9b75d75c5d5d88ffd5326737831b6cd12041289f294ba0ff1abbf3de49deaa
company,1768477970,"Chip Stocks: NVIDIA, AMD, Micron Lifted by TSMC Q4 Beat",138119739,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KLAC,Yahoo,Taiwan Semiconductor Earnings Spark Broad Gains in Tech Suppliers,https://finnhub.io/api/news?id=b38d269e9cd1cb9572eff2a9690c5f146c7538c420fb9ec406dfb33ea63746bc
