category,datetime,headline,id,image,related,source,summary,url
company,1768515322,"Small-cap records, chip stock gains, silver: Market Takeaways",138137508,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"US stocks (^DJI, ^IXIC, ^GSPC) close Thursday's session higher following AI optimism tied to the US trade deal with Taiwan. Yahoo Finance Markets and Data Editor Jared Blikre breaks down the biggest market themes from today’s trading day, including how small-cap indexes are reaching record highs, stock movements in semiconductor chip manufacturers, and price trends in silver (SI=F). To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend.",https://finnhub.io/api/news?id=e21eb288b6b58452867a21add07b3a1080a2693459884499932bdd0fa24896c8
company,1768501800,"AI Stocks Gain as TSMC Posts Another Strong Quarter (LRCX, ASML)",138132362,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"Taiwan Semiconductor, ASML Holdings and Lam Research shares all pushed to new record highs following another strong report from the world's leading semiconductor fabrication company",https://finnhub.io/api/news?id=7635aa51487b7a2ab4c92bf97762b3f1df62e13f9d0835169355af2b66c1803a
company,1768499495,4 semiconductor stocks giving the AI boom 'more legs',138122565,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,Crossmark Global Investments chief market strategist Victoria Fernandez explains why a new wave of earnings from the semiconductor sector signals the AI race is just warming up.,https://finnhub.io/api/news?id=e4a25e16f39700fbe2c988865f9825d59685232ff84080ec1e328d94772d55bd
company,1768499439,Why Lam Research (LRCX) Stock Is Trading Up Today,138126405,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"Shares of semiconductor equipment maker Lam Research (NASDAQ:LRCX) jumped 5.9% in the afternoon session after several financial firms showed strong confidence in the company, with one upgrading its stock rating and another starting coverage with a positive outlook.",https://finnhub.io/api/news?id=8e83b1f0db17fe65086d0818b6e934a4efb2f74cbaa42b0e3f4b239e902eebd5
company,1768497480,"KLA, ASML, Lam Research, Applied Materials Surge. Why Chip Stocks Are Getting a Boost.",138208079,,LRCX,MarketWatch,"KLA, ASML, Lam Research, Applied Materials Surge. Why Chip Stocks Are Getting a Boost.",https://finnhub.io/api/news?id=bbac23dbc9123920446c3eee2d1a5f96d4b8c0bc0c8e4defcbe2aea452044ec6
company,1768496405,What Makes Lam Research (LRCX) a Strong Momentum Stock: Buy Now?,138126406,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,Does Lam Research (LRCX) have what it takes to be a top stock pick for momentum investors? Let's find out.,https://finnhub.io/api/news?id=17d1b41c97bc4bd1efe033f66c400d886aaf028f76eeaeb5b3b8f3e59bb10020
company,1768492381,"Applied Materials, Lam Research and KLA Stocks Hit Record Highs",138122731,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"Strong results from Taiwan's TSMC helped push U.S. semiconductor-equipment stocks to new peaks.    Shares in Applied Materials, KLA and Lam Research rose roughly 5% to 8% on Thursday morning.   All three stocks hit new intraday peaks, according to Dow Jones Market Data, and were among the best performers in the S&P 500.",https://finnhub.io/api/news?id=e10ae6420af0e4d9380d5f09ac7d975b5868a5dfb4f5cfdda5444bf42dea7d3c
company,1768492020,Applied Materials FY25 HBM Revenues Hit $1.5B: A New Growth Driver?,138122732,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"AMAT aims to double its HBM business from $1.5 billion to $3 billion, leaning on hybrid bonding leadership and its Kinex system as demand ramps.",https://finnhub.io/api/news?id=ba8057e9286b25596bbb7af57fba0e26619fa6bf6dc6bf4ff6b4983a98e018ee
company,1768488780,"Nvidia initiated, DraftKings upgraded: Wall Street's top analyst calls",138121468,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"Nvidia initiated, DraftKings upgraded: Wall Street's top analyst calls",https://finnhub.io/api/news?id=b6db615f6721025444b746e26a35c600294cf72e8f9e46d3fc4ce36a34b03843
company,1768487402,Is Lam Research (LRCX) a Buy as Wall Street Analysts Look Optimistic?,138122733,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LRCX,Yahoo,"Based on the average brokerage recommendation (ABR), Lam Research (LRCX) should be added to one's portfolio. Wall Street analysts' overly optimistic recommendations cast doubt on the effectiveness of this highly sought-after metric. So, is the stock worth buying?",https://finnhub.io/api/news?id=4644f5448a137fd7f660f18b5a59036452da51b42e5b2bf6b757b625de8d97fe
