category,datetime,headline,id,image,related,source,summary,url
company,1768504080,The Software Selloff ‘Seems Overdone.’ How the Stocks Can Bounce Back.,138132365,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,The shares fell on Tuesday in response to the launch of an AI agent that can help organize desktop files in response to instructions from a user.,https://finnhub.io/api/news?id=f8d7ce15f146fec17e422fc5e1dbf2aa6a3810fd42849f6500ef1899b414e7c2
company,1768495190,What Does Wall Street Think About ServiceNow (NOW)?,138122794,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"ServiceNow, Inc. (NYSE:NOW) is one of the best long term growth stocks to buy according to hedge funds. On January 9, Stifel cut the price target on ServiceNow, Inc. (NYSE:NOW) to $200 from $230 while maintaining a Buy rating on the shares. In a note titled “4Q Should Be Fine; But Not Expecting Great”, the […]",https://finnhub.io/api/news?id=94bd9e528d8257bdec6de354958c359f06d82c00f8f51a9cbd77c4d52366678d
company,1768491480,This Under-the-Radar AI Stock Is Poised for 50% Upside,138152616,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"After shares lost 28% last year, ServiceNow is poised to recover on the back of a 98% customer retention rate and 30 consecutive quarterly earnings beats.",https://finnhub.io/api/news?id=0ea7ed2b386d99924a0d0459b6c81e0516a774539135ffc3f250f06ee000ed1e
company,1768491250,AI startup Replit launches feature to vibe code mobile apps,138153291,https://image.cnbcfm.com/api/v1/image/108253137-1768500747115-gettyimages-2249343308-TFSPI_04122025-2955.jpeg?v=1768500897&w=1920&h=1080,NOW,CNBC,Replit launched a feature that lets users create publishable mobile apps using just natural language prompts. ,https://finnhub.io/api/news?id=0109b182afc9249a658ade048cfef4fe8a60557e012e8c8f41962fe1a6a79af1
company,1768482923,"Why Goldman Sachs Is Betting on ServiceNow, Inc. (NOW)’s Long-Term Growth",138120748,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"ServiceNow, Inc. (NYSE:NOW) is among the most promising growth stocks according to analysts. On January 12, Goldman Sachs assumed coverage on ServiceNow, Inc. (NYSE:NOW) with a ‘Buy’ rating and a price target of $205, which suggests an upside potential of about 44%. According to the firm, AI adoption will be a “positive tailwind” to the […]",https://finnhub.io/api/news?id=a88eb32a4af3ec52b6d2b99f09fd542bfb3bb02b00299a572f8371f69916b89a
company,1768482577,"Are Investors Panicking, Or Spot On, Over AI Threat To Software Makers?",138120625,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,Software stocks are again underperforming in 2026 amid investor worries that artificial intelligence companies like OpenAI and Anthropic will emerge as competitors.,https://finnhub.io/api/news?id=f41567d7a5f1a7d8b71292c26e1a166212e604285d7a018104e7f67bfd419c68
company,1768482290,"Final Trades: ServiceNow, Apollo Global and Intercontinental Exchange",138153790,https://image.cnbcfm.com/api/v1/image/108253132-17685000771768500075-43512625005-1080pnbcnews.jpg?v=1768500076&w=1920&h=1080,NOW,CNBC,The Investment Committee give you their top stocks to watch for the second half.,https://finnhub.io/api/news?id=adb7ebc023e567cd1a912b7e941a756c6f200b597415332c1cc60e9335ac6498
company,1768482000,"authID Announces Integration with ServiceNow to Deliver Secure, Frictionless Identity Verification & Authentication for Contact Centers",138120750,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"New integration empowers organizations to protect accounts, reduce fraud, and enhance trust across ServiceNow-powered contact centers Denver, CO, Jan. 15, 2026 (GLOBE NEWSWIRE) -- authID (Nasdaq: AUID), a leader in biometric identity authentication, today announced an integration with ServiceNow to securely verify identities at the contact center to protect accounts and reduce fraud. The collaboration enables authID to secure 8,400+ ServiceNow-powered contact centers globally, including 85% of F",https://finnhub.io/api/news?id=72516ff6bcd3b496c595888c20cc5aa62f7d1ec99237ab78451a7c6616c7c47e
company,1768480453,Stephen Ross Sees California Billionaire Tax as Palm Beach’s Gain,138120751,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"A proposed tax on billionaires in California has led to fear among investors and shows the difficulty of doing business in the state, Ross said in an interview with Bloomberg News in Palm Beach Wednesday.  “The venture capitalists kind of want to get out of California because of the restrictions that are there, the taxes, the cost of doing business there, the cost of living there — this is what’s really opened up opportunities for other states,” Ross said.",https://finnhub.io/api/news?id=1411cc4e1a28fdf48126d91b24146e4d1ab0cf1a42061529cadf4e80963df6b9
company,1768474186,Who is Winning AI Workflow Automation? We Compared 4 Enterprise Stocks.,138119761,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NOW,Yahoo,"Enterprise software companies are racing to capture the AI automation opportunity, but exposure varies dramatically. We looked at Pegasystems (NASDAQ:PEGA), ServiceNow (NYSE:NOW), Microsoft (NASDAQ:MSFT), and Accenture (NYSE:ACN) to see which stands to benefit most from the workflow automation wave reshaping enterprise operations. The Automation Bet Taking Shape Enterprises are pouring resources into AI-powered workflow automation ... Who is Winning AI Workflow Automation? We Compared 4 Enterpri",https://finnhub.io/api/news?id=acf01ed157222031f93d53f3a81f904059a66fe076f41a4413c83251198a22fe
