category,datetime,headline,id,image,related,source,summary,url
company,1768513657,5 AI Chip Stocks Most Exposed to Trump’s New 25% Tariff,138137454,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"Trump’s 25% tariff on AI chips landed the same day Taiwan Semiconductor Manufacturing Company (TSMC) posted blowout earnings and dismissed AI bubble fears. TSMC’s stock surged 8% Thursday, pulling AMD up 12% and NVIDIA 3% in sympathy. Now investors face a critical question: which chip stocks are most exposed when the tariff hits? The policy ... 5 AI Chip Stocks Most Exposed to Trump’s New 25% Tariff",https://finnhub.io/api/news?id=fff52dc0cee51dd3c7e6d8e54de1ae10e531c0b891a5a1edd9acce9b2fc2b4e8
company,1768507982,"Microchip, Analog Devices target raised ahead of semiconductor earnings",138132373,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"Investing.com --Wolfe Research raised estimates on select semiconductor names ahead of the fourth-quarter earnings season, arguing that while demand visibility remains mixed across end markets, downside risks appear limited and company-specific drivers are becoming more important.",https://finnhub.io/api/news?id=c6e15d69473b0fd9981eb741c1c8bfd1e24fec54b4890d11bc982eb81b923256
company,1768494840,Qualcomm Inc. stock underperforms Thursday when compared to competitors,138209237,,QCOM,MarketWatch,Qualcomm Inc. stock underperforms Thursday when compared to competitors,https://finnhub.io/api/news?id=3fa9a513b282166843ccffa2bdb14717ae2b1f73fb71019c78c6f85c4bc6e868
company,1768493640,Can Intel's Upgradation in AI PCs Strengthen Its Business Growth?,138122573,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"INTC is pushing deeper into AI with next-gen AI PCs, pairing powerful on-device processing, new Core Ultra chips, and key partnerships to reshape everyday computing.",https://finnhub.io/api/news?id=7b529567f24dbc504bd451fa52ca5913a39ebc4fa1cd15a299ca3b082485bfc7
company,1768493118,"Qualcomm Facing Smartphone Growth Pressure, Limited Data Center Progress, RBC Says",138122593,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"Qualcomm (QCOM) is facing pressure from slower smartphone growth and limited data center progress, R",https://finnhub.io/api/news?id=159e5a7be108ec73d3239c38be8e9967fb1bb5760f6e5c60b1f4d4dda0198d74
company,1768492255,Qualcomm: Ignored Personal AI Boom,138129869,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2192260406/image_2192260406.jpg?io=getty-c-w1536,QCOM,SeekingAlpha,"Qualcomm is rapidly capitalizing on the surge in personal AI and robotics, reversing perceptions of missing the AI race. Click to read my full analysis of QCOM.",https://finnhub.io/api/news?id=b23de57a91232ee9573c7eeeb3878ddc525796131cf248d1c7db62d273b17f3c
company,1768491480,"The Zacks Analyst Blog Highlights Qualcomm Technologies, Advanced Micro Devices, Intel and NVIDIA",138122577,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,Qualcomm takes a slight edge in a Zacks Analyst Blog comparison as chipmakers race to capitalize on AI-driven demand.,https://finnhub.io/api/news?id=075c02376ed34f344b32665736e91fded88b911886a07f817634447b70e3187b
company,1768488780,"Nvidia initiated, DraftKings upgraded: Wall Street's top analyst calls",138121468,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"Nvidia initiated, DraftKings upgraded: Wall Street's top analyst calls",https://finnhub.io/api/news?id=b6db615f6721025444b746e26a35c600294cf72e8f9e46d3fc4ce36a34b03843
company,1768488622,Trump places 25% tariff on AI chips with some exemptions,138121525,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"The Trump administration has placed a 25% tariff on “certain advanced computing chips,"" according to a White House statement, with exemptions for chips contributing to the buildout of the US AI infrastructure. Crossmark Global Investments chief market strategist Victoria Fernandez comments on this announcement. To watch more expert insights and analysis on the latest market action, check out more Opening Bid.",https://finnhub.io/api/news?id=e0f95668e51d90a209a2cf63ffc791fbc7a9bcd1da0b8778fd034b83d30304d4
company,1768486879,Chip stocks jump as Nvidia supplier TSMC dismisses bubble fears: 'AI is real',138121473,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,Nvidia's chip manufacturer Taiwan Semiconductor Manufacturing Company (TSMC) posted a strong forecast for AI revenue growth and capital expenditures.,https://finnhub.io/api/news?id=a3d98f04724e0805e4e9538c2fb6127c1afa473feeb41a4f177fb03356b52b68
