category,datetime,headline,id,image,related,source,summary,url
company,1768520100,Tentative Signs Of Recovery For The European Truck Market,138147671,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1412252674/image_1412252674.jpg?io=getty-c-w1536,TSLA,SeekingAlpha,The European heavy truck market has turned a corner after three years of slowing orders. Read more here.,https://finnhub.io/api/news?id=8d8e89dcdae3401252aee7e2da9bec7e25cd4d9e6028f183bd65cb136f6237a7
company,1768515382,The reality check everyone’s ignoring,138137452,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"Welcome to Today’s Smart Money Roundup. Software stocks are getting crushed, and Barron’s is calling it “overdone.” Salesforce (CRM) is down 27% over the past year despite Wall Street hyping its Agentforce AI platform as a “medium-term growth engine.” The stock’s at $233.54, down 10.4% in just the past week. Snowflake (SNOW) fell 7.1% this ... The reality check everyone’s ignoring",https://finnhub.io/api/news?id=7a2c463518f68518a15d2e686a40bf8c026dba2bc3aa3dec2f29125ea0c5be68
company,1768512960,Should You Buy Advanced Micro Devices (AMD) Stock After Its 21% Correction?,138132273,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,Advanced Micro Devices is gearing up for its biggest year ever with a new lineup of artificial intelligence chips.,https://finnhub.io/api/news?id=24e3e22a1ba687bad08f58ba6967eb40462a2890a46fd1c68af861c26d60a139
company,1768512673,Gene Munster Says Apple's Move From OpenAI's ChatGPT To Google Gemini Significantly Raises Chances Of New Siri Succeeding: 'Nice Job',138132284,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"On Tuesday, Deepwater Asset Management's managing partner Gene Munster said that Apple Inc.'s (NASDAQ:AAPL) switch from OpenAI's ChatGPT to Alphabet Inc.'s (NASDAQ:GOOG) (NASDAQ:GOOGL) Google Gemini gives Siri a much stronger chance of success. Apple Partners With Google Gemini To Reinvent Siri Munster took to X and said, ""Odds of new Siri succeeding just went up,"" while praising Apple CEO Tim Cook for turning long-standing Siri shortcomings into an opportunity for future device and services gro",https://finnhub.io/api/news?id=febef27fd11a65586783e68681fca8d97038d3f54a9e86d220c5e0fb8f8bb29c
company,1768512360,Tesla Stock Drops Amid Report Musk’s SpaceX Is Looking For Bankers. Why That Matters.,138137480,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"A 2026 SpaceX IPO will fuel speculation about convergence between there of Elon Musk’s companies: Tesla, SpaceX, and xAI.",https://finnhub.io/api/news?id=2fec48eec8a3222e532057d10b9f2002832f302c03be65352bbd5f456388072a
company,1768509202,"Wolfe Downgrades Rivian (RIVN) on Cash Burn, Sees Delayed AI and Autonomy Catalysts",138132318,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"Rivian Automotive, Inc. (NASDAQ:RIVN) is one of the Must-Watch Stock on Wall Street. On January 12, Wolfe Research analyst Emmanuel Rosner downgraded the stock from Peerperform to Underperform, setting a price target of $16.00. Firm analysts see higher cash burn, rising losses, and limited near-term catalysts for the stock. Rosner noted how the near-term and […]",https://finnhub.io/api/news?id=36a5206257c1ca13946f14a4d29a7f209dd1e221f30c70ed12a12fb371d4847f
company,1768509120,Cathie Wood Is Selling Tesla. Here’s the Chip Stock She’s Buying.,138137473,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"Cathie Wood, the architect behind the ARK Invest funds, is famously known as a Tesla bull.  A Wednesday trading disclosure shows the  exchange-traded fund bought more  Broadcom  stock after buying into the semiconductor company last week.  The investment management company also added Broadcom stock to a different fund.",https://finnhub.io/api/news?id=5ff03310421c4ee6a3ccaa0a9b5a3383e7417885842d726fa751170c8a056bdb
company,1768506951,"Dear Tesla Stock Fans, Mark Your Calendars for February 14",138137482,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"Tesla CEO Elon Musk said on Wednesday that the automaker will switch, as of Feb. 14, to a monthly subscription plan for its ""Full Self-Driving"" software.",https://finnhub.io/api/news?id=0aefdc58fe4e43adc27b22debef682230c96ffcbb6ddbb49d5ee6610a4b29809
company,1768505736,China's Tesla-Crushing EV Company Creeps Into U.S. Market,138126300,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TSLA,Yahoo,"BYD overtook Tesla to become the world's leading EV company. Now, the possibility of breaking into the American car market is closer than ever, as President Donald Trump opens the door for Chinese car factories in the U.S.",https://finnhub.io/api/news?id=ecc3167840f23a8b6ea1577678f54af4fca59f1de04aa067e6280ed180b1d070
company,1768505093,Friday's big stock stories: What’s likely to move the market in the next trading session,138153290,https://image.cnbcfm.com/api/v1/image/108212980-1760624130662-gettyimages-2241301832-bb2_4903_97rgamzj.jpeg?v=1760624190&w=1920&h=1080,TSLA,CNBC,"Post-earnings gains for Morgan Stanley and Goldman Sachs, as well as a rally in chips, helped lift the major averages to a positive session Thursday.",https://finnhub.io/api/news?id=52f68032e33e5c17a61ea13102808f1a9e18da729ff550e1da3e046b8a768ddc
