category,datetime,headline,id,image,related,source,summary,url
company,1768515382,The reality check everyone’s ignoring,138137452,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VST,Yahoo,"Welcome to Today’s Smart Money Roundup. Software stocks are getting crushed, and Barron’s is calling it “overdone.” Salesforce (CRM) is down 27% over the past year despite Wall Street hyping its Agentforce AI platform as a “medium-term growth engine.” The stock’s at $233.54, down 10.4% in just the past week. Snowflake (SNOW) fell 7.1% this ... The reality check everyone’s ignoring",https://finnhub.io/api/news?id=7a2c463518f68518a15d2e686a40bf8c026dba2bc3aa3dec2f29125ea0c5be68
company,1768508550,UBS Raises Price Target on Vistra (VST) to $233 After Meta Nuclear Power Deal,138132315,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VST,Yahoo,"Vistra Corp. (NYSE:VST) is one of the Must-Watch AI Stocks on Wall Street. On January 12, UBS analyst William Appicelli raised the price target on the stock to $233.00 (from $230.00) while maintaining a “Buy” rating. Firm analysts see robust cash accretion from nuclear PPAs with META, citing 20-year cash flow visibility and record-high capacity […]",https://finnhub.io/api/news?id=e25e77e47840e25447dd11c08d54727fd260f3f837f415fa8a40a24ff746a628
company,1768507315,"BofA Maintains Buy on META, Sees No Material 2026 Expense Impact From Energy Deals",138132316,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VST,Yahoo,"Meta Platforms, Inc. (NASDAQ:META) is one of the Must-Watch AI Stocks on Wall Street. On January 12, BofA Securities analyst Justin Post reiterated a Buy rating on the stock with an $810.00 price target. Firm analysts view recent energy deals for Meta as strategic, anticipating no significant impact on 2026 expenses. BofA noted how Meta announced […]",https://finnhub.io/api/news?id=efd371730cdb14599395bedd1987dc1f10b23d9e5356e43d816fe757b4aef725
company,1768504793,"URNM: Supply And Demand Squeeze, Long Term Drivers Pressured By Valuation",138138877,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2238906305/image_2238906305.jpg?io=getty-c-w1536,VST,SeekingAlpha,Sprott Uranium Miners ETF surged in 2025 on uranium supply cuts and AI-driven nuclear demand. See here for more details on URNM ETF.,https://finnhub.io/api/news?id=efe679c96b29e215b7b5e3317383c363b696ee7b5e85759fbbbf6f597ef65411
company,1768503545,Vistra Corp. (VST): A Bull Case Theory,138126718,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VST,Yahoo,"We came across a bullish thesis on Vistra Corp. on r/Valueinvesting by rogerm8. In this article, we will summarize the bulls’ thesis on VST. Vistra Corp.’s share was trading at $171.42 as of January 13th. VST’s trailing and forward P/E were 61.66 and 17.92 respectively according to Yahoo Finance. Vistra presents a compelling energy investment opportunity following […]",https://finnhub.io/api/news?id=48d2f47b093ce908917b30c0e4ea1af0af261a0e47723d328de17548f5936b96
company,1768499892,"Stock Market Today: Small Caps Lead; Coherent, Cameco Clear Entries As Tech, Bank Stocks Rise (Live Coverage)",138123033,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VST,Yahoo,The Dow Jones index rose Thursday on surprise weekly jobless claims. Nvidia chipmaker TSMC surged on earnings.,https://finnhub.io/api/news?id=aedc40174ae708fe31a35b94d66b7fe21792bee3e40a26da831496c4dd52e84d
company,1768493482,Another Nuclear Play Leans Into Grid Consolidation With $3.45 Billion Natural Gas Deal,138207324,,VST,DowJones,Another Nuclear Play Leans Into Grid Consolidation With $3.45 Billion Natural Gas Deal,https://finnhub.io/api/news?id=fd7a29479cbc604fb8a828770de84b126cf708fb4b37434b2336fb5d66d98ad2
company,1768492440,Nuclear Energy Stocks Rise on Increasing Clean Power Demand,138122777,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VST,Yahoo,"Investors looking to gain exposure to nuclear energy may find attractive opportunities in companies such as NextEra Energy, Vistra and OKLO.",https://finnhub.io/api/news?id=8ad4814765b6d47071a96a30f519d4e70bf177526f7140d160571b414fbbab3a
company,1768482354,The One Data Point That Changed My Dividend Growth Strategy,138123039,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1320148440/image_1320148440.jpg?io=getty-c-w1536,VST,SeekingAlpha,AI-related infrastructure companies are currently the most attractive risk-adjusted dividend growth plays in the market today. Read what investors need to know.,https://finnhub.io/api/news?id=ec066d63c769c602b8f1715103beb15b746bd2ac6f66926bd084b0166ceb158a
company,1768475732,RSPU: Utilities Sector Dashboard For January,138121973,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/127544299/image_127544299.jpg?io=getty-c-w1536,VST,SeekingAlpha,"Invesco S&P 500 Equal Weight Utilities ETF offers lower company-specific risk, better value and long-term returns. Read more on RSPU ETF here.",https://finnhub.io/api/news?id=64877e76a1c521acb09627832d656c6129a840419959a098466ad680c16dd9c7
