category,datetime,headline,id,image,related,source,summary,url
company,1768602912,Why a New Trump Plan Sparked Huge Moves for Power Stocks on Friday,138156848,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GEV,Yahoo,AI power stocks were on the move Friday following reports President Trump intends to urge America’s largest electricity grid to make tech giants pay for new power plants.,https://finnhub.io/api/news?id=ebb231aacff2bd3a2b33f53a119f3dd75d1874c0b9c2e9cf0197ab134438cbbc
company,1768599315,"Dow Jones Futures: Google Leads 7 Stocks In Buy Zones, 3 With Earnings Due",138156198,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GEV,Yahoo,"Small caps and chips led this past week while the major indexes paused near highs. Google stock leads seven stocks in buy zones, but three have earnings due.",https://finnhub.io/api/news?id=1541533bdf002f6be93216dffbc5e4022539c56ad59a6d776d65f5f081cbac96
company,1768598280,"Today’s Stock Movers: GE Vernova, Constellation Energy, Micron, AST SpaceMobile, Novo Nordisk, and More",138156826,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GEV,Yahoo,GE Vernova rises after President Donald Trump and governors in the mid-Atlantic region unveil a plan to encourage the construction of power plants.,https://finnhub.io/api/news?id=3c2d6bd7484dab006b522e00308a24197c4a9c9d373efc47a78da9ae92fc0120
company,1768586980,"Trump threatens tariffs over Greenland, addresses AI power costs",138155427,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GEV,Yahoo,"Yahoo Finance Senior Reporter Brooke DiPalma tracks today's top moving stocks and biggest market stories in this Market Minute, including President Trump's latest comments about placing tariffs on countries that disagree with the proposed US annexation of Greenland and how shares of energy companies Vistra (VST), Constellation Energy (CEG), and GE Vernova (GEV) are reacting to the administration's proposals to help lower power casts as Big Tech plan AI data center projects. Stay up to date on the latest market action, minute-by-minute, with Yahoo Finance's Market Minute.",https://finnhub.io/api/news?id=7f4865ff779a99c765e1a9b27bd46c0a56b6ba7c95fc4092803f5a76b32fd8b0
company,1768570920,"These Stocks Are Today’s Movers: Micron, Sandisk, AST SpaceMobile, ImmunityBio, HP Inc., Novo Nordisk, and More",138151721,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GEV,Yahoo,Shares in memory-chip maker Micron rally after board member Mark Liu snaps up $7.8 million worth of stock.,https://finnhub.io/api/news?id=c83f0c15200c9c160d4637972558a0acee6465034290311868dde6a6ae83fbb4
company,1768583760,These stocks have the most to lose from Trump’s push to lower electricity prices,138208887,,GEV,MarketWatch,These stocks have the most to lose from Trump’s push to lower electricity prices,https://finnhub.io/api/news?id=46da796751da091feee002bd6b4568d19610d4fe628585d57900da792def4997
company,1768582380,Trump Has a New Plan to Power AI. GE Vernova Stock and Others Should Benefit.,138208888,,GEV,MarketWatch,Trump Has a New Plan to Power AI. GE Vernova Stock and Others Should Benefit.,https://finnhub.io/api/news?id=91a6c1077410f1a90b9a67709638bfc23b87254d3e6c0f08aa52ffac00c384e9
company,1768580618,"Trump To Propose Tech Giants Fund Power Grid Buildouts, Energy Stocks Swing",138208861,,GEV,DowJones,"Trump To Propose Tech Giants Fund Power Grid Buildouts, Energy Stocks Swing",https://finnhub.io/api/news?id=3d297a550f0ef53f38e4d696f70adb85d9ef2fd52b26ad53661bf9eda539b4cc
company,1768580280,Trump Has a New Plan to Power AI; GE Vernova and Others Should Benefit,138154085,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GEV,Yahoo,"Trump and several governors are pushing a plan to spur new power plants for AI data centers. Equipment makers jumped, while owners of existing plants fell.",https://finnhub.io/api/news?id=9aca71654f6b196d678551196df28fba9ade6cc00c8f52e29263901198eafb60
company,1768574149,"GE Vernova shares rise as Trump, governors push for PJM power auction",138152599,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GEV,Yahoo,Investing.com -- GE Vernova shares rose 3.7% in pre-market trading Friday after reports that President Trump and governors from PJM Interconnection states will announce plans for an emergency wholesale electricity auction aimed at addressing power reliability and affordability concerns.,https://finnhub.io/api/news?id=e560d3bf5784fcd679ecc5e163c9c856f58898be2a888b328e7d5c22798c81d2
company,1768564163,"Stocks making the biggest moves midday: Novo Nordisk, Vistra, GE Vernova, Regions Financial and more",138153488,https://image.cnbcfm.com/api/v1/image/108231180-17640121262025-11-24t185244z_352081195_rc263iank3kr_rtrmadp_0_novo-nordisk.jpeg?v=1765918401&w=1920&h=1080,GEV,CNBC,These are some of the stocks posting the largest moves in midday trading. ,https://finnhub.io/api/news?id=863ad9e11ad54b9eef52139b11550e210c56bcd7f51d1d9edd9dd1fa682f16ea
company,1768549650,"Stocks making the biggest moves premarket: PNC, ImmunityBio, Coupang & more",138153747,https://image.cnbcfm.com/api/v1/image/107120267-1663370501107-gettyimages-1222123413-AFP_1TY3N1.jpeg?v=1768566950&w=1920&h=1080,GEV,CNBC,These are the stocks posting the largest moves in premarket trading. ,https://finnhub.io/api/news?id=4653f6ac24b15377dd69454068a460c5d88ea33f70976d8b75c8af8279968db6
company,1768538250,2 S&P 500 Stocks with Promising Prospects and 1 We Turn Down,138151758,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,GEV,Yahoo,"The S&P 500 (^GSPC) is home to the biggest and most well-known companies in the market, making it a go-to index for investors seeking stability. But not all large-cap stocks are created equal - some are struggling with slowing growth, declining margins, or increased competition.",https://finnhub.io/api/news?id=8feec8ba0fc212c589fd3a9099838899ac9389a4734be96e6dd591139d6dcf3a
