category,datetime,headline,id,image,related,source,summary,url
company,1768593742,Robinhood Offers Prediction Market 'Custom Combos'—But Don't Call Them Parlays,138156350,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,Sports contracts recently accounted for 91% of trading volume on Kalshi.,https://finnhub.io/api/news?id=0d42169dbfd0d7377702d91af47e9248b2552ce8470cd633e39a666853a9eb9b
company,1768591873,Robinhood CEO Vlad Tenev Expresses Frustration Over 'Legislative Gridlock' As Crypto Market Structure Bill Gets Delayed Again,138155462,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"Robinhood Markets Inc. (NASDAQ:HOOD) CEO Vlad Tenev on Wednesday urged the U.S. to take the lead on cryptocurrency policy, citing the unavailability of staking and tokenized stocks in certain regions due to legislative hurdles. Tenev Concerned Over Legislative Bottleneck In...",https://finnhub.io/api/news?id=0c3b92ab32de483f4e67582b13e6c8e3a89886f7fda8af419c91d41e063bf41a
company,1768587121,Coinbase Rolls Out Stock Trading to Select Users in ‘All-in-One’ Platform Push: Report,138155463,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"Coinbase has begun rolling out stock trading to a limited group of users as the exchange pursues its vision of becoming an “everything exchange” that combines crypto, equities, and alternative markets under one platform.The move places Coinbase in direct competition with traditional brokerages like Schwab and Fidelity, as well as ...",https://finnhub.io/api/news?id=7cdcf72c0455fcefaae88b67b5b640ce78f2995d94eb99f5e4094b2db2829981
company,1768586231,FinTech and Crypto 2026 outlook: Mizuho lists 6 key themes,138154128,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"Investing.com -- Fintech, payments, and crypto have entered 2026 with “major political, macro, and product catalysts,” Mizuho analyst Dan Dolev told clients in a note on Friday, outlining six themes that could shape the sector this year.",https://finnhub.io/api/news?id=92b7d406bc0028d23cc5a79ec4595c0430e5d06484e4cdc59ad59c6422002eb4
company,1768580094,Senate Dems To Discuss Clarity Act Concerns With Crypto Representatives,138211487,,HOOD,DowJones,Senate Dems To Discuss Clarity Act Concerns With Crypto Representatives,https://finnhub.io/api/news?id=f7ca060c8de5cefa2da597f60fcf1e1e24fbe99a79f67ead98a079437450d083
company,1768565093,Citron Calls Out Coinbase on Crypto Rules: Backs Securitize Instead,138152652,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,Citron Research publicly criticized Coinbase for pulling support from a key US crypto market structure bill and threw its weight behind tokenization firm Securitize. Securitize was in the news late last year after securing a SPAC deal that valued the firm at $1.25Bn. The market reacted fast. Coinbase (COIN) shares ...,https://finnhub.io/api/news?id=24dc819ff51030539c2228a8c51dd784ef748ba4f685c2f664232b29957b93c3
company,1768563000,Coinbase is late to stocks—but CEO Brian Armstrong says it will win in the long run,138152653,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"Coinbase's new stock offerings will help the company become a bridge to blockchain-based financial markets, says Armstrong.",https://finnhub.io/api/news?id=4e7fa1149eff72e6d838c920c3fea8cd52d22eabda22d0a3716ec79f36c37984
company,1768560060,"Coinbase, Robinhood Stocks Rise. Why They Can Shake Off Regulatory Setback.",138151795,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"Coinbase Global  and  Robinhood Markets  stocks were set to recover some lost ground Friday after plunging in the previous session and moving out of step with Bitcoin’s recent rally.  Coinbase  shares rose 1.1% in premarket trading, after slumping 6.5% Thursday and  Robinhood  climbed 1.8% after a 7.8% drop.  The sharp falls were tied to concerns over delays of the much-anticipated Digital Asset Market Clarity Act, as well as increasing dissatisfaction within the crypto industry regarding the latest draft of the bill.",https://finnhub.io/api/news?id=29e12a0aebd9c1470218e6f3753d598df525edbc1d93776a8938e93c2b823d25
company,1768558164,US Stock Market Today: S&P 500 Futures Edge Higher On Strong Jobs Data And Tariff Jitters,138151011,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"The Morning Bull - US Market Morning Update Friday, Jan, 16 2026 US stock futures are pointing higher this morning, with E-mini S&P 500 contracts up about 0.3%, as investors weigh strong economic data against fresh trade tensions. Weekly initial jobless claims have dropped to 198,000, and continuing claims are at 1.884 million, numbers that signal a resilient job market and, for many households, better job security. At the same time, the White House is flagging 25% tariffs on some...",https://finnhub.io/api/news?id=64aa9f2ceec6e3155d8814274e55572cc68617d64af0f93b0609acd43c1550f1
company,1768550897,Crypto Stocks Coinbase and Robinhood Drop Sharply Despite Bitcoin’s Rally — CLARITY Act To Blame?,138149639,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"Coinbase and Robinhood stocks dropped sharply despite Bitcoin's recent rebound, amid uncertainty over the CLARITY Act. Brian Armstrong, Coinbase's CEO, withdrew support, warning that the ...",https://finnhub.io/api/news?id=9ad98663c2c9b2bc3db421781e5e0abc790fe1d288959319313926c42ee6f4d1
