category,datetime,headline,id,image,related,source,summary,url
company,1768580100,"J.B. Hunt Q4 Earnings Surpass Estimates, Improve Year Over Year",138154201,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JBHT,Yahoo,"JBHT's Q4 revenues are hurt by weakness across multiple segments, while earnings are aided by cost reduction initiatives.",https://finnhub.io/api/news?id=17b902a8adbc840d02dc49503c354ddf30e6288dcc2ca8228fa339b4739d272e
company,1768577340,3 Truck Stocks Positioned to Navigate Industry Challenges,138154258,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JBHT,Yahoo,"The Zacks Transportation-Truck industry is suffering mainly due to lackluster freight demand. We believe stocks like JBHT, SAIA and ARCB are better positioned to escape industry challenges.",https://finnhub.io/api/news?id=db0b095338cbd2b5b00e22d5e49a3c11d2c348cb0609c53384b0932309792836
company,1768570920,"These Stocks Are Today’s Movers: Micron, Sandisk, AST SpaceMobile, ImmunityBio, HP Inc., Novo Nordisk, and More",138151721,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JBHT,Yahoo,Shares in memory-chip maker Micron rally after board member Mark Liu snaps up $7.8 million worth of stock.,https://finnhub.io/api/news?id=c83f0c15200c9c160d4637972558a0acee6465034290311868dde6a6ae83fbb4
company,1768570200,JB Hunt Q4 operating income jumps 19%,138155597,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JBHT,Yahoo,The carrier credited revenue gains in truckload and dedicated contracted services for ending the year on a high note.,https://finnhub.io/api/news?id=a864a1db52b852660dad85049db2b53a6eee368b567b735a116ae89c236217ea
company,1768568361,"Dow Jones Futures: Techs Rise, AMD Eyes Buy Point In Powerful Week",138151613,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JBHT,Yahoo,Techs lead futures Friday but after Thursday's market fade. AMD is eyeing an early buy point again on Taiwan Semiconductor optimism.,https://finnhub.io/api/news?id=30121a549b5fab7b4b08c844cd7532c446dca6ce1a9c62acac3a05b515c8d4fc
company,1768564800,Cost management drives Q4 beat at J.B. Hunt,138151894,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JBHT,Yahoo,J.B. Hunt Transport Services beat fourth-quarter expectations as cost reductions more than offset a revenue decline. The post Cost management drives Q4 beat at J.B. Hunt appeared first on FreightWaves.,https://finnhub.io/api/news?id=dc0187a6c4c08fa2b211e1ffd93d3540ceb669b3cbbd0613946d244a5560055d
company,1768564147,"Dow Jones Futures Rise, Techs Lead; AMD Eyes Buy Point In Powerful Week",138150959,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JBHT,Yahoo,Techs lead futures Friday but after Thursday's market fade. AMD is eyeing an early buy point again on Taiwan Semiconductor optimism.,https://finnhub.io/api/news?id=47cc2a099582f57c6e1e8802bfe52e31b0f32dd6a497c0768574ee77ce6fb96f
company,1768563269,J.B. Hunt Fourth-Quarter Revenue Misses Street Views Amid Lower Intermodal Sales,138151137,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JBHT,Yahoo,J.B. Hunt Transport Services (JBHT) shares fell early Friday as the transportation and logistics com,https://finnhub.io/api/news?id=64abcbead06891266e0e0bf6dcc5e2a671113bf6b048940234dcc38433ba04fd
company,1768555607,"Stocks to Watch Friday: J.B. Hunt, PNC, Verizon",138149641,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JBHT,Yahoo,"↘️ J.B. Hunt Transport Services (JBHT): The logistics company recorded lower quarterly revenue, as transcontinental load volumes declined. Shares fell in off-hours trading. ? M&T Bank (MTB), PNC Financial Services (PNC) and State Street (STT) are due to report results Friday.",https://finnhub.io/api/news?id=e33288159a9534d4b6d99b644dc2cdc6f678fd815b2245c0e975aa4f06db6d55
company,1768539647,JB Hunt Transport Services Inc (JBHT) Q4 2025 Earnings Call Highlights: Strong Earnings Growth ...,138148106,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JBHT,Yahoo,"Despite a 2% revenue drop, JB Hunt Transport Services Inc (JBHT) reported a 24% increase in diluted earnings per share and significant cost savings, showcasing resilience in a challenging market.",https://finnhub.io/api/news?id=ea390405a89f4be1864ec62ad7724ea7116c565e0db3df9df3d55c87432af77f
company,1768524949,J.B. Hunt Transport Services Q4 Earnings Call Highlights,138143437,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JBHT,Yahoo,"J.B. Hunt Transport Services (NASDAQ:JBHT) executives said the company closed 2025 with improved profitability despite a muted pricing environment, pointing to cost reductions, strong service execution, and continued share gains as key drivers. Management also described entering 2026 in a “fragile”",https://finnhub.io/api/news?id=e62b6574c896e94270b66183c69b2b5afc50db99d056c9263cd259ee78cd96ca
