category,datetime,headline,id,image,related,source,summary,url
company,1768603806,Why the Market Dipped But Kinder Morgan (KMI) Gained Today,138156912,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KMI,Yahoo,"In the closing of the recent trading day, Kinder Morgan (KMI) stood at $27.96, denoting a +2.01% move from the preceding trading day.",https://finnhub.io/api/news?id=f2d9a6ef15c26740bcf1d384c89b8e7a75ea3f8c9b23f99f9da449fe45b18fcd
company,1768579560,Why EPD's Inflation-Protected Model Strengthens Cash Flow Visibility,138154183,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KMI,Yahoo,Enterprise Products' inflation-protected contracts and growing pipeline and storage network help secure steady cash flows and improve visibility for income-focused investors.,https://finnhub.io/api/news?id=a4173caa52664423f72eb2da5efd5dbcd5e87deb412cb63e05222136770f8e0b
company,1768573920,Halliburton Q4 Earnings Preview: Will Cost Cuts Drive a Beat?,138152703,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KMI,Yahoo,"HAL's Q4 results may get a lift from cost cuts and margin gains, even as revenues face year-over-year pressure.",https://finnhub.io/api/news?id=cf13c56a5b95f998e6e40a2533a5d2a712287b59fc5ad12274957dcd8c2da34f
company,1768573804,Brokers Suggest Investing in Kinder Morgan (KMI): Read This Before Placing a Bet,138152711,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KMI,Yahoo,"Based on the average brokerage recommendation (ABR), Kinder Morgan (KMI) should be added to one's portfolio. Wall Street analysts' overly optimistic recommendations cast doubt on the effectiveness of this highly sought-after metric. So, is the stock worth buying?",https://finnhub.io/api/news?id=da9119f907dca2a45da9938549eda58415b37969de5d4137353bb23b43d5f080
company,1768572902,Curious about Kinder Morgan (KMI) Q4 Performance? Explore Wall Street Estimates for Key Metrics,138152712,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KMI,Yahoo,"Beyond analysts' top-and-bottom-line estimates for Kinder Morgan (KMI), evaluate projections for some of its key metrics to gain a better insight into how the business might have performed for the quarter ended December 2025.",https://finnhub.io/api/news?id=29e14709084a11512395c881fb03155b64823321114cc8c66cbbf1369f333ba7
company,1768567429,"Phillips 66, Kinder Morgan Launch Second Western Gateway Pipeline Open Season",138151824,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KMI,Yahoo,Phillips 66 (PSX) and Kinder Morgan (KMI) said Friday that they have opened a second open season for,https://finnhub.io/api/news?id=c672fb20fd4d2b1280dde92142a44ce38a466eb779c72eecce7cf32f13fd661c
company,1768564800,"Phillips 66 and Kinder Morgan, Inc. Announce Launch of Subsequent Open Season for Remaining Western Gateway Capacity and Expanded Origins and Destinations",138151069,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KMI,Yahoo,"HOUSTON, January 16, 2026--Phillips 66 and Kinder Morgan, Inc. today announced the launch of the second open season for the Western Gateway Pipeline.",https://finnhub.io/api/news?id=be03f697ffaf91832585b3761487e599bcc9792419fe02eddc1d16c05ed87eab
company,1768561620,"Kinder Morgan, Phillips 66 Launch Second Open Season for West Coast Pipeline -- OPIS",138213807,,KMI,MarketWatch,"Kinder Morgan, Phillips 66 Launch Second Open Season for West Coast Pipeline -- OPIS",https://finnhub.io/api/news?id=c419ca472a21ecce17b62966573a1bb6edfa79d05889bfe0a10ce77529caa8c1
company,1768554370,"Kinder Morgan: The Setup Looks Easy, But It Isn't (Earnings Preview)",138151954,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1730631497/image_1730631497.jpg?io=getty-c-w1536,KMI,SeekingAlpha,"Kinder Morgan sits at the center of rising U.S. natural gas demand (data centers, reshoring) and expanding LNG exports. Click to read my analysis of KMI stock.",https://finnhub.io/api/news?id=ce32e91c1f90ee7adf54a8edd06a696e117f59f85b4a9edc5fdbc0bbbf5a1c4c
company,1768544808,ONEOK: Why Its Aggressive Growth And Yield Outshine Kinder Morgan's Stability,138150896,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2226433087/image_2226433087.jpg?io=getty-c-w1536,KMI,SeekingAlpha,"Compare ONEOK (OKE) vs. Kinder Morgan (KMI): why both are Buy-rated midstream stocks, with OKEâs M&A upside and KMIâs stable gas growthâread now.",https://finnhub.io/api/news?id=c95137244d97ee3a077c190a6dc8cdd2de59971019def73e3542cf4e04c1bec4
company,1768541310,Delek Logistics Partners: Consistent Distribution Growth Tempered By High Leverage,138150321,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1275086161/image_1275086161.jpg?io=getty-c-w1536,KMI,SeekingAlpha,"Delek Logistics Partners (DKL) yields 9.27% with a decade of quarterly hikesâsee growth, leverage risk, coverage, and valuation to decide if it fits your...",https://finnhub.io/api/news?id=85c009028d37c915bf7a488b8afb7976c5490e054f9a97c4dbf33c4ad2f1a9eb
company,1768538166,Kinder Morgan: An AI Value Play,138149354,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2175130536/image_2175130536.jpg?io=getty-c-w1536,KMI,SeekingAlpha,"Kinder Morgan taps AI-driven gas demand with a $9.3B backlog, 90% natural gas projects, premium valuation, and 2025 growth. See why KMI stock is upgraded to buy.",https://finnhub.io/api/news?id=82721faed5cd9cd87e0d0664544326c96b2ebb96edb3fdd5a516f15f28a8e230
