category,datetime,headline,id,image,related,source,summary,url
company,1768601882,"Stocks to Watch Friday Recap: J.B. Hunt, Salesforce, PNC",138156856,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RF,Yahoo,"↗️ Novo Nordisk (DK:NOVO.B), (NVO): Shares rose 6.4% in Denmark after encouraging early uptake of the drug company's new Wegovy weight-loss pill in the U.S. Rival Eli Lilly (LLY) was up 0.5%. Novo was also boosted by the U.",https://finnhub.io/api/news?id=7a20ff5eba9b02cb40434234fc2247f389b7c97b40175753f5ef5a98b8ece870
company,1768599007,"How major US stock indexes fared Friday, 1/16/2026",138156411,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RF,Yahoo,"The Dow Jones Industrial Average fell 0.2%, and the Nasdaq composite fell 0.1%. Gains for several big tech companies helped offset weakness elsewhere. A handful of regional U.S. banks reported their earnings following mixed reports from their larger peers.",https://finnhub.io/api/news?id=4564d92431cc5a6eb3610b20231a83407dfefdf5f9ce3a1e8a4ae37312e6cd91
company,1768597311,"Stock market today: Dow, S&P 500, Nasdaq slip, chip stocks rise as Wall Street ends volatile week lower",138156174,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RF,Yahoo,Stocks closed modestly lower to end a week packed with developments and earnings ahead of the long weekend.,https://finnhub.io/api/news?id=3cf964bedef0c64cfa3f03394def3074bfba0e5108a839342109b90968a5d37c
company,1768597247,Regions Financial Corp (RF) Q4 2025 Earnings Call Highlights: Strong Earnings Amid Market Challenges,138156413,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RF,Yahoo,Regions Financial Corp (RF) reports robust earnings and strategic growth initiatives despite facing loan growth and capital market headwinds.,https://finnhub.io/api/news?id=be512213aeef71230198eb528aaacc2a74a37d19a5bcbd4ceacc1c7ee3c26ac5
company,1768589624,"Stock market today: Dow, S&P 500, Nasdaq steady as Trump wavers on Kevin Hassett as next Fed chair",138155241,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RF,Yahoo,Stocks eked out gains at the end of a week packed with developments and earnings ahead of the long weekend.,https://finnhub.io/api/news?id=c068510dadd32f9225202a69710c4ed8a9a654f0aa39de412c9c50741af14bac
company,1768589460,"Regions Financial Q4 Earnings Miss on Higher Expenses, Stock Down",138156410,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RF,Yahoo,"RF stock dips nearly 3% after Q4 earnings miss estimates, as higher non-interest expenses and lower loan balances offset revenue gains.",https://finnhub.io/api/news?id=14b51846acf2012e5823e54aea6b1f6cf92d9ee1e58e6b1c1088b2a52e7e571a
company,1768582380,Top Midday Stories: PNC Shares Rise as Earnings Beat Estimates; Micron Breaking Ground on $100 Billion Site in NY,138154011,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RF,Yahoo,"All three major US stock indexes were up slightly in late-morning trading Friday, as President Donal",https://finnhub.io/api/news?id=bb89e5a9c0dd0ff740b3772fde48767ed210abc9547b8b70cf9daa7f77a1cb1f
company,1768581323,Regions Financial Q4 Earnings Call Highlights,138154233,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RF,Yahoo,"Regions Financial (NYSE:RF) used its fourth-quarter earnings call to highlight full-year profitability, investments in technology and banker hiring, and an improving outlook for loan growth and credit trends heading into 2026. Management also confirmed a key leadership transition, with long-time CFO",https://finnhub.io/api/news?id=8d99abe0964e27e091395672a4c965213a0257ea97d98dafeae9c92701a8f9b0
company,1768581000,Earnings Data Deluge,138153995,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RF,Yahoo,Earnings Data Deluge,https://finnhub.io/api/news?id=c1c92d1bdc2b7e3c904121299fc334fb86eda2cd40fbaac18cd52465458e30cb
company,1768579371,"Stock market today: Dow, S&P 500, Nasdaq wobble as Trump wavers on Kevin Hassett as next Fed chair",138153922,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RF,Yahoo,Stocks eked out gains at the end of a week packed with developments and earnings ahead of the long weekend.,https://finnhub.io/api/news?id=904cec4448727ad2fbdd473b65e04fec36353101676202fdf6246b2311e2fabe
company,1768577640,"State Street, M&T Bank Results Surpass Estimates; Regions Financial Falls Short",138152743,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RF,Yahoo,State Street (STT) and M&T Bank (MTB) reported fourth-quarter results above market expectations on F,https://finnhub.io/api/news?id=cdffa7b443bc0bd46abe2c00abca521b9a4b7eb75326efd3777922fc9d3caf92
company,1768577280,"Pre-Markets Lower on Bank Earnings, Ahead of Bigger Week",138153996,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RF,Yahoo,"PNC Financial, MTB Bank, State Street and Regions are all out with fresh earnings reports this morning.",https://finnhub.io/api/news?id=43a5a0035d98390b0f2a1dd8562edec7ff0afc86eb1aa1f045e56d5e29065469
company,1768573802,Regions Financial (RF) Q4 Earnings: Taking a Look at Key Metrics Versus Estimates,138152793,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RF,Yahoo,"While the top- and bottom-line numbers for Regions Financial (RF) give a sense of how the business performed in the quarter ended December 2025, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=947db6bb4c297c36d1e92f5c067798032bb461904b27a8e38f18d9694eb6bf88
company,1768572957,Regions Financial Corporation (RF) Q4 2025 Earnings Call Transcript,138154986,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,RF,SeekingAlpha,"Regions Financial Corporation (RF) Q4 2025 Earnings Call January 16, 2026 10:00 AM ESTCompany ParticipantsDana Nolan - EVP & Head of Investor...",https://finnhub.io/api/news?id=d5025c04c595a6dddc6ddf140db5f6c7781fc20694300bbbf3a9b9e81140feb2
company,1768568788,Mixed Q4 Softens My Enthusiasm For Regions Financial,138154297,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1318294092/image_1318294092.jpg?io=getty-c-w1536,RF,SeekingAlpha,Regions Financial Corporation downgraded to Hold after Q4 miss; FY25 EPS up 19%. Click for this updated look at RF stock post earnings.,https://finnhub.io/api/news?id=e2eb1603e877eec318f45c8d0406337d0ede063021d90f0e337799b83d05fbdf
company,1768555607,"Stocks to Watch Friday: J.B. Hunt, PNC, Verizon",138149641,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RF,Yahoo,"↘️ J.B. Hunt Transport Services (JBHT): The logistics company recorded lower quarterly revenue, as transcontinental load volumes declined. Shares fell in off-hours trading. ? M&T Bank (MTB), PNC Financial Services (PNC) and State Street (STT) are due to report results Friday.",https://finnhub.io/api/news?id=e33288159a9534d4b6d99b644dc2cdc6f678fd815b2245c0e975aa4f06db6d55
