category,datetime,headline,id,image,related,source,summary,url
company,1768768500,My Top Dividend Stock to Buy in January,138172874,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,Dividend stocks are a good way for investors to diversify their strategies.,https://finnhub.io/api/news?id=d0ffdd3bc5abc3c48337c9e51f15265a9ca67137690e345eae5dc53e165ba9d3
company,1768762800,"Netflix, United Airlines, GE Aerospace, Intel, CPE, and More to Watch This Week",138171811,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,Roughly 30 S&P 500 companies are set to report results this week. Economic data include the personal consumption expenditures price index and a GDP growth estimate.,https://finnhub.io/api/news?id=e5ff23849494f838653160ee0a376798fb97a4a116c7210e101de7847dccc92c
company,1768759202,"Trump Speech, Earnings and Other Key Things to Watch this Week",138172487,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"Markets enter a holiday-shortened week with the Martin Luther King, Jr. Day closure Monday, followed by a convergence of events including President Trump's inauguration speech Wednesday at 8:30am",https://finnhub.io/api/news?id=17cb04eb7edb3b59a7a0ef3feb582343c2102c8a5afaa953eea471d86b8afe51
company,1768758532,"Jim Cramer Says: “J&J Deserves to Be Going Higher, But Not at This Speed, Not at This Pace”",138170767,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"Johnson & Johnson (NYSE:JNJ) is one of the stocks Jim Cramer shared his thoughts on. Cramer noted how money managers are betting on an economic slowdown and remarked: “So let’s talk about Procter & Gamble and then let’s talk about a pharma company, J&J. Now, here are two companies that have products that you buy, […]",https://finnhub.io/api/news?id=d13839d597408ca4ffd240ad94ea0e67d5e45b4ce49b5ff808624486a34665a3
company,1768758510,Jim Cramer on Procter & Gamble: “It’s the Worst Because They’ve Told You the Worst Is Coming”,138170782,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,"The Procter & Gamble Company (NYSE:PG) is one of the stocks Jim Cramer shared his thoughts on. Cramer explained why the stock went up, and he commented: “So let’s talk about Procter & Gamble and then let’s talk about a pharma company, J&J. Now, here are two companies that have products that you buy, no […]",https://finnhub.io/api/news?id=6fa69a99716017f9a2a60cc2f27cd0644fa73cc418a437be6ff854585620c4c2
company,1768739446,"Trump in Davos, Netflix and Intel results on deck as earnings season ramps up: What to watch this week",138177439,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,A holiday-shortened trading week will bring investors the start of tech earnings and a key speech from President Trump in Davos.,https://finnhub.io/api/news?id=ed434edb1c8f11ebd2d4295d87fd8322cc63d6788c3b4d11d34cc7e40e74fd9c
company,1768739446,"Trump in Davos, Netflix and Intel results on deck as earnings season ramps: What to watch this week",138169748,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,A holiday-shortened trading week will bring investors the start of tech earnings and a key speech from President Trump in Davos.,https://finnhub.io/api/news?id=4b5b09cc133a454c7059657148c077d6c88c36424a8cd2d5935f85da2b7d7e53
company,1768739446,"Trump in Davos, Netflix and Intel results on deck earnings season ramps: What to watch this week",138169072,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PG,Yahoo,A holiday-shortened trading week will bring investors the start of tech earnings and a key speech from President Trump in Davos.,https://finnhub.io/api/news?id=deccd2a4105a105758e4afb2cbb5e479bcea679b4e22a5952a14998dade833b9
company,1768735509,Wall Street Brunch: Disputes In Davos,138170015,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2249230043/image_2249230043.jpg?io=getty-c-w1536,PG,SeekingAlpha,Trump heads to Davos as tariff threats strain U.S.-European relations. European leaders ponder using trade âbazooka.â Netflix earnings in focus amid Warner deal speculation.,https://finnhub.io/api/news?id=3bef11e0a9ef7e98c58f3c3b1607eae3ea5faf320eb23b38bd3c82c59a7bef9a
company,1768715990,Wall Street Week Ahead,138168196,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2185425050/image_2185425050.jpg?io=getty-c-w1536,PG,SeekingAlpha,"Markets week ahead: MLK Day closure, Davos headlines & key earnings (Netflix, J&J, Intel).",https://finnhub.io/api/news?id=29923aa2889a8f85c9d39e67f98a680a0c2345266278f7f09d5375ce345feeb0
