category,datetime,headline,id,image,related,source,summary,url
company,1768855563,Why Wells Fargo Just Turned More Bullish on Broadcom (AVGO),138180917,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AVGO,Yahoo,"Broadcom Inc. (NASDAQ:AVGO) is one of the AI Stocks Analysts Are Watching Closely. On January 15, Wells Fargo analyst Aaron Rakers raised the price target on the stock to $430 from $410, upgrading to Overweight from Equal-weight. With recent pullback in shares seen as an attractive re-entry point, analysts have expressed confidence in AVGO’s long-term […]",https://finnhub.io/api/news?id=b330acaa480fb44bd145790ea40db9ebfc28789c4855bd1c1d0269a8c25b2ed5
company,1768853100,5 Stocks You'll Regret Not Buying in 2026,138180908,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AVGO,Yahoo,Artificial intelligence is set to have another huge year.,https://finnhub.io/api/news?id=1462a9b37ded8a43cd14e0723986539791751e968bb0cdcf38abef479c68dad6
company,1768852800,"Quantum Enablers Set for 2026 Breakout: AMD, AVGO, TER in Focus",138180919,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AVGO,Yahoo,"Quantum enablers like AMD, AVGO and TER are poised for 2026 gains as enterprise spending and post-quantum security drive near-term revenue growth.",https://finnhub.io/api/news?id=23d037e58c98887404ad2dd6648b2e272fde98ce1ced1c50ee8178f8534869a8
company,1768847260,"Cathie Wood Buys AI Chips, Sells Tesla",138180243,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AVGO,Yahoo,ARK shifts deeper into future-tech bets,https://finnhub.io/api/news?id=d058d2a50bd09e0ce8687958f466f3f38d363e5599134e6f6cb89e96ce0dcd54
company,1768838786,Assessing Broadcom (AVGO) Valuation After Strong Backlog And AI Driven Growth Expectations,138178976,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AVGO,Yahoo,"Event context and recent performance Broadcom (AVGO) continues to attract investor interest, with the stock’s recent move including a 2.5% gain over the past day, a flat week, and gains over the past month and past 3 months. See our latest analysis for Broadcom. That move comes after a year where the total shareholder return is 49.46%, while the year to date share price return of 1.18% suggests momentum has cooled recently compared with its very large 3-year total shareholder return. If...",https://finnhub.io/api/news?id=6679796a9b28966be7bc677fc50bf28e0923260eda26922235b659ff7c0465b8
company,1768834802,Wells Fargo Says You Should Buy the Dip in Broadcom Stock,138180242,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AVGO,Yahoo,Broadcom shares retreated amid short-term pressure. Wells Fargo views this pullback as a potential buying opportunity.,https://finnhub.io/api/news?id=6b4e845a488798a88afa73ef221d3f9dfa71568b134e9ac71c4437fd326b1535
company,1768833480,"Stock Market News for Jan 19, 2026",138178977,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AVGO,Yahoo,"U.S. stocks ended mostly flat on Friday as investors weighed comments on geopolitics and the Federal Reserve from President Donald Trump, as well as digested quarterly reports from some major companies, marking the start of the earnings season.",https://finnhub.io/api/news?id=59e7298d35e52c36cf61c9137eebb42a82b310045d3eacdbc3545e5103cdff28
company,1768832400,"Want $1 Million in Retirement? Invest $100,000 in These 3 Stocks and Wait a Decade",138177918,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AVGO,Yahoo,"Broadcom, Alphabet, and UiPath have the potential to be huge winners over the next decade.",https://finnhub.io/api/news?id=b86161dcbe01f4f12d6ee6d4c285c7314897923f218447bc184a170d37172d68
company,1768831380,3 No-Brainer AI Stocks to Buy Hand Over Fist for 2026,138177902,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AVGO,Yahoo,"Buy stakes in companies combining scale, profitability, and durable demand across the AI technology stack.",https://finnhub.io/api/news?id=b3516bae3b8aabd746326df905762d99c543e3b6ea2628848a964c7ca7a43bd4
company,1768829395,Jim Cramer Datadog: “We’re Going to Stay Away From These Enterprise Software Companies”,138176973,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AVGO,Yahoo,"Datadog, Inc. (NASDAQ:DDOG) is one of the stocks Jim Cramer put under a microscope. Noting that the stock has been down, a caller asked about it, and Cramer replied: “We’re not, we’re going to stay away from these enterprise software companies. They seem to be almost in freefall, and I don’t need to break the […]",https://finnhub.io/api/news?id=a8d7d13ef3c74b506c282e41fe418fae95121bcb034d098615895ccd0d7eefd0
