category,datetime,headline,id,image,related,source,summary,url
company,1768950005,American Express (AXP) Declines More Than Market: Some Information for Investors,138191557,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"In the most recent trading session, American Express (AXP) closed at $352.19, indicating a -3.45% shift from the previous trading day.",https://finnhub.io/api/news?id=542c01cef86cdc933d4797e40b4b1e0149e59154ba3cb612591fe0d656e33633
company,1768946580,American Express Declares Dividend on Series D Preferred Stock,138190997,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"NEW YORK, January 20, 2026--The Board of Directors of American Express Company (NYSE: AXP) declared a quarterly dividend on the company’s 3.550% Fixed Rate Reset Noncumulative Preferred Shares, Series D, of $8,875.00 per share (which is equivalent to $8.87500 per related Depositary Share).",https://finnhub.io/api/news?id=da26eeceeec862d7d3a42ebabf4a9b120676d88a87815ffe06ea42a8ac6b510f
company,1768941300,Warren Buffett's Legacy: 2 of His Favorite Stocks to Buy and Hold Forever,138190363,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"Both have been mainstays in Berkshire's equity portfolio for not years, but decades.",https://finnhub.io/api/news?id=fc55504036104ea695bfe0a13638351a55ba34abbe187c49849429ee9036c44c
company,1768939221,How AI turns your home into a hotel-like experience,138190998,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"Opening Bid Unfiltered is available on Apple Podcasts, Spotify, YouTube, or wherever you get your podcasts. What if your apartment worked like a five-star hotel? On this episode of Opening Bid Unfiltered, Yahoo Finance Executive Editor Brian Sozzi sits down with Bilt founder Ankur Jain to unpack how AI is reshaping life at home—from concierge-style maintenance to neighborhood rewards and seamless local commerce. Jain explains why Bilt is positioning itself as a customer experience platform, not a bank or credit card company, and why traditional players like American Express (AXP) and PayPal (PYPL) have missed this opportunity. The conversation offers a forward-looking look at how AI could redefine housing, loyalty, and everyday spending. Listen on your favorite podcast platform or watch on our website for full episodes of Opening Bid Unfiltered. This post was written by Langston Sessoms, producer for Opening Bid Unfiltered.",https://finnhub.io/api/news?id=dbb6332dcf5ab8f6a2b666660586e59e7f522cc49ae46c228892dd855571468e
company,1768928931,"Consumer Finance Firms Could See Tailwinds From Credit Improvement, Capital Returns in 2026, Morgan Stanley Says",138188538,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"Consumer finance companies' 2026 guidance could come in above Street expectations, supported by cred",https://finnhub.io/api/news?id=4b37d2b506397e8cc7f9575169e3bb5a07e231de13fae3d3644c282a01707fc1
company,1768924977,Jim Cramer Says the “Big Five Travel” Including United Airlines “Are All Terrific”,138188539,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"United Airlines Holdings, Inc. (NASDAQ:UAL) is one of the stocks on Jim Cramer’s game plan for this week. Cramer was bullish on the stock before its earnings report, as he remarked: “Next, I’m a big believer in the travel theme. From the end of COVID until today, I think it has never left us. Remember, […]",https://finnhub.io/api/news?id=e8f549121201501987dbe585de598819f4fe5081b028a0d34c44dc969ddabd1a
company,1768921914,Capital One Financial Corporation (COF): A Bull Case Theory,138187508,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"We came across a bullish thesis on Capital One Financial Corporation on r/Valueinvesting by TheRaul5677070. In this article, we will summarize the bulls’ thesis on COF. Capital One Financial Corporation’s share was trading at $239.14 as of January 19th. COF’s trailing and forward P/E were 81.90 and 11.12 respectively according to Yahoo Finance. Capital One Financial Corporation operates […]",https://finnhub.io/api/news?id=cfa550298e1a927b92b6b12e6356b4e6a3c62d29046007a0a379741f42ca8aed
company,1768919880,"Dow's 888-point fall led by losses in 3M, IBM stocks",138208158,,AXP,MarketWatch,"Dow's 888-point fall led by losses in 3M, IBM stocks",https://finnhub.io/api/news?id=fcdaa6ab39a26cb7ec30c97d8779ad70ff5373691aaf51b966f61b9b6c15be5a
company,1768917600,US Financial 15 Split Corp. Preferred Dividend Declared,138187509,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AXP,Yahoo,"TORONTO, Jan. 20, 2026 (GLOBE NEWSWIRE) -- US Financial 15 Split Corp (""US Financial 15"") declares its monthly distribution of $0.07283 for each Preferred share, or 10.00% annually based on the previous month end net asset value. Distributions are payable February 10, 2026 to shareholders on record as at January 30, 2026. US Financial 15 invests in a portfolio consisting of 15 U.S. financial services companies as follows:American Express, Bank of America, Bank of New York Mellon Corp., Citigroup",https://finnhub.io/api/news?id=d95c9fee7522c015f3f0678f5beac4142c2aa8861bd937143e11cbebc310a034
company,1768916220,"Dow down 730 points on losses in 3M, NVIDIA Corp. shares",138208159,,AXP,MarketWatch,"Dow down 730 points on losses in 3M, NVIDIA Corp. shares",https://finnhub.io/api/news?id=f738f95951c02acb5242bad0e93e949d6ae7f200dc817233670c43119ee2197b
