category,datetime,headline,id,image,related,source,summary,url
company,1768950903,ConocoPhillips (COP) Sees a More Significant Dip Than Broader Market: Some Facts to Know,138191572,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COP,Yahoo,"ConocoPhillips (COP) concluded the recent trading session at $95.52, signifying a -2.72% move from its prior day's close.",https://finnhub.io/api/news?id=01a0724cf68f32fe253fb7d973989c92bf2003cb607944a429ab149137e4a12f
company,1768942026,"Nvidia's place in AI, Apple downgrade, JPMorgan cautious on oil",138190219,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COP,Yahoo,"Market Domination Host Josh Lipton and Yahoo Finance Senior Reporter Brooke DiPalma track several of the day's top trending stock tickers, including Nvidia's (NVDA) position in the AI ecosystem, Citi analysts cutting their price target on Apple (AAPL), and JPMorgan's cautious outlook on the oil industry (CL=F, BZ=F). To watch more expert insights and analysis on the latest market action, check out more Market Domination.",https://finnhub.io/api/news?id=4f12987f01b60165b006e1d2625537ddc2fc97472d5591afed540ed4e15bf881
company,1768938422,JP Morgan Downgrades ConocoPhillips (COP),138189966,,COP,Fintel,,https://finnhub.io/api/news?id=2b39322965dd8770691ba3e62b37a5f260315d208f8ec722565188aa8f7bc1e2
company,1768927080,ConocoPhillips stock underperforms Tuesday when compared to competitors,138210255,,COP,MarketWatch,ConocoPhillips stock underperforms Tuesday when compared to competitors,https://finnhub.io/api/news?id=093390d38de8d2fe9501a4557f93346e46cef1b874af33ff3ef0c7fa9c21daeb
company,1768924320,Shell Seeks Syria Exit While U.S. Firms Eye Al-Omar Oilfield,138188503,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COP,Yahoo,SHEL is seeking to exit Syria's largest oilfield as the government regains control and U.S. energy companies show growing interest.,https://finnhub.io/api/news?id=61f8f104309b16825a7502e55ea964e0ad4eade011959250fde8c99a2341be98
company,1768921732,A Look At ConocoPhillips (COP) Valuation After Recent Share Price Gains And LNG Growth Plans,138187535,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COP,Yahoo,"Recent performance snapshot and why ConocoPhillips is on investors’ radar ConocoPhillips (COP) has come into focus after a steady run in recent months, with the share price at $98.19 and positive returns over the past month and past 3 months catching investor attention. Over the past month, the stock shows a return of about 6.8%, with a roughly 12.3% gain in the past 3 months and a modest 1.5% move year to date, alongside a 2.6% decline over the past year. See our latest analysis for...",https://finnhub.io/api/news?id=1cbb08647c9a498c9f7fbea614aacccf090867999e9eb38ff925a38f6e1299f3
company,1768920229,ConocoPhillips: Oversupply Risks Meet Capital Efficiency And Secure Growth/Dividend Story,138189362,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1323151704/image_1323151704.jpg?io=getty-c-w1536,COP,SeekingAlpha,"ConocoPhillips is a Buy with excellent capital efficiency, deleveraging, production growth balancing oversupply risks. Read more on COP stock here.",https://finnhub.io/api/news?id=eed073ce263e497ffd65b10865948e550dc59a55d5a8e5948f2f284f202a129e
company,1768913707,"Here Are Tuesday’s Top Wall Street Analyst Research Calls: Chevron, Domino’s Pizza, Doximity, Exact Sciences, Intel, NetApp, StubHub, Toast, and More",138186659,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COP,Yahoo,"Pre-Market Stock Futures: Futures are trading dramatically lower as we start the holiday-shortened trading week, following yesterday’s MLK remembrance day. The futures downdraft this morning is being attributed to President Trump’s threat to raise tariffs significantly over Greenland. Last Friday, the market closed unchanged primarily after a sizable options expiration that boosted trading volume throughout ... Here Are Tuesday’s Top Wall Street Analyst Research Calls: Chevron, Domino’s Pizza, D",https://finnhub.io/api/news?id=70ce834b3ffb6e351fab7859604d3096c8a7cfe44fe0a6c6c1bef19be1414d2c
company,1768911578,Update: Market Chatter: Shell Seeks to Exit From al-Omar Oilfield in Syria,138186459,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COP,Yahoo,(Updates with Shell's response in the final paragraph.) Shell (SHEL) has asked to withdraw from t,https://finnhub.io/api/news?id=145dfb5c7c60254f0d7beaa675df100f2ec6b7e7d540c705271d8207b266fb1e
company,1768911133,Market Chatter: Shell Seeks to Exit From al-Omar Oilfield in Syria,138186460,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COP,Yahoo,Shell (SHEL) has asked to withdraw from the largest oilfield in Syria and transfer its share to Syri,https://finnhub.io/api/news?id=d60ea62eaac945c6232404c626ac33461e550295c4d8a3ea173adcb011e7ebdf
company,1768910400,"WESTERN MIDSTREAM ANNOUNCES DELAWARE BASIN NATURAL-GAS CONTRACT AMENDMENTS IN EXCHANGE FOR COMMON UNITS AND ANNOUNCES INTERVIEW WITH CEO, OSCAR BROWN, AND CFO, KRISTEN SHULTS, DISCUSSING THESE TRANSACTIONS",138186513,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,COP,Yahoo,"Western Midstream Partners, LP (NYSE: WES) (""WES"") announced today that it has renegotiated natural-gas gathering and processing contracts in the Delaware Basin with a subsidiary of Occidental Petroleum Corporation (""Occidental""), replacing the legacy cost-of-service structure of the gathering contract with a simplified, fixed-fee structure, which will continue to be supported by an acreage dedication. Additionally, WES entered into new agreements with ConocoPhillips to deliver natural-gas volum",https://finnhub.io/api/news?id=ddbf5a83bd9e6b0681386ab0f4d9e4e1e7495f0194991bbb6c39794a608c70ca
