category,datetime,headline,id,image,related,source,summary,url
company,1768939840,Salesforce (CRM) Valuation Check After Recent Share Price Weakness And Mixed Multi Year Returns,138190372,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Why Salesforce stock is on investors’ radar right now Salesforce (CRM) is back in focus as investors weigh its current share price near $227 against recent performance, including negative total returns over the past year and mixed multi year results. See our latest analysis for Salesforce. Over the past month, Salesforce’s share price return of 12.62% decline and year-to-date share price return of 10.45% decline point to fading momentum, while a 3-year total shareholder return of 48.44%...",https://finnhub.io/api/news?id=fa2f7b9f1dab0d4fad7a1cce27916a1746af1a20c28d43b6f20e17cf07ce190f
company,1768933243,ServiceNow Teams Up With OpenAI in Three Year AI Integration Deal,138189505,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,Three-year pact brings OpenAI models to ServiceNow's IT and support platforms.,https://finnhub.io/api/news?id=0ea9bd3108592de803d8a27e40263fc537887a7dbbe9eb8a9f6ff8a0b0809549
company,1768932002,AI & Business Newsletter | Will AI Really Kill Software?,138189638,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Imagine being a CEO who can simply tell an AI bot how to handle your company’s human-resource, sales, customer tracking and other back-office functions.  Would you still pay a software vendor millions of dollars a year for those services?  The tool is designed to make it easier for workers who aren’t software engineers to use the company’s Claude Code chatbot to automate work functions, like reviewing emails and organizing computer files.",https://finnhub.io/api/news?id=8f5e05f91a6998a15018be8b55b3c181e29a8ba5c4358572ec18d1f9f6cfd759
company,1768932002,AI & Business Newsletter |Will AI Really Kill Software?,138189506,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Imagine being a CEO who can simply tell an AI bot how to handle your company’s human-resource, sales, customer tracking and other back-office functions.  Would you still pay a software vendor millions of dollars a year for those services?  The tool is designed to make it easier for workers who aren’t software engineers to use the company’s Claude Code chatbot to automate work functions, like reviewing emails and organizing computer files.",https://finnhub.io/api/news?id=80bbbb7825d2d5469114038e730e18ef164b49c7d4b2f4b4245375fb0748dbef
company,1768926840,Salesforce Inc. stock underperforms Tuesday when compared to competitors,138233875,,CRM,MarketWatch,Salesforce Inc. stock underperforms Tuesday when compared to competitors,https://finnhub.io/api/news?id=26014cfdb562dc4924f86a3f8eac888468a9ce8f1d6b1706ceb180fe9c635604
company,1768921200,Traction Complete launches Complete Discover to close the gap between AI innovation and data governance in Salesforce,138187496,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Traction Complete today announced the launch of Complete Discover, a new product that turns Google Sheets into an account data playground for experimenting with AI data enrichment, testing prompts, and uncovering go-to-market insights. As AI opens up powerful new ways to enrich business data, Complete Discover lets teams validate results on real accounts, see what works and what doesn't, and explore that potential without risking data quality or core processes in Salesforce.",https://finnhub.io/api/news?id=6279277c00a7e19e8d367dbb8c4e4f22443be5e17b776760880631f26fb950ae
company,1768919400,Montage Partners Announces Successful Exit of its Investment in Advantco International,138187374,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Montage Partners, a people-first private equity firm based in Scottsdale, Arizona, today announced the successful exit of its investment in Advantco International, LLC (the ""Company""), a global provider of integration software solutions that enable seamless connectivity between enterprise applications and cloud platforms. The Company was acquired by Argano LLC, a portfolio company of Trinity Hunt Partners, LP.",https://finnhub.io/api/news?id=2bd07b2656f367348966beda230ee70abb4f37493cbcf21d778de3f774f31ae7
company,1768916860,ServiceNow shares rise after WSJ reports three-year AI deal with OpenAI,138186474,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,Investing.com -- ServiceNow shares have risen more than 2 percent in premarket trading on Tuesday after the Wall Street Journal reported that the company has signed a three-year agreement with OpenAI to embed the ChatGPT-maker’s artificial intelligence models directly into its business-software platform.,https://finnhub.io/api/news?id=0cbe0266204b6edd333bb85ef71cd0f026fb061af7cff1248e93cf9bdcde3c0b
company,1768914000,Klient Announces the Launch of the Klient PSA - Project Agent on Salesforce AgentExchange,138186475,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"Klient today announced the launch of the Klient PSA Project Agent on Salesforce AgentExchange, the trusted agentic marketplace built into Salesforce where Agentblazers can discover, try, and buy from hundreds of agents and agent tools built by partners.",https://finnhub.io/api/news?id=a826c3e08046f3533833f6eba1fc4a818751bfc37e75b34808ba3bbbe9a2d7d7
company,1768911282,"Salesforce's Benioff calls for AI regulation, says models have become 'suicide coaches'",138188133,https://image.cnbcfm.com/api/v1/image/108254284-1768921600211-sfEp_dX8.jpg?v=1768921696&w=1920&h=1080,CRM,CNBC,"Salesforce CEO Marc Benioff described AI models as ""suicide coaches"" at the World Economic Forum's flagship conference on Tuesday.",https://finnhub.io/api/news?id=d73e605e9a637aabb5079c0ac0c39eef790f438b5fc36ba4893ea0a4001b272a
company,1768906869,Jim Cramer Points Out Split in Salesforce (CRM)’s Business,138185710,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CRM,Yahoo,"We recently published 15 Fresh Stocks Jim Cramer Discussed. Salesforce, Inc. (NYSE:CRM) is one of the stocks Jim Cramer discussed. Salesforce, Inc. (NYSE:CRM) is a customer relationship management software provider. Its shares are down by 30% over the past year and by 10.5% year-to-date. Wolfe Research discussed the firm in January, as it kept an […]",https://finnhub.io/api/news?id=b43b7a8a72ae53d895bac50ef5c3a5eb1f5910b8dcb3df5a3c884d9c3bc06ef6
company,1768906723,Salesforce CEO Marc Benioff on AI regulation: It can't be just growth at any cost,138188134,https://image.cnbcfm.com/api/v1/image/108254324-17689235691768923567-43593005061-1080pnbcnews.jpg?v=1768923569&w=1920&h=1080,CRM,CNBC,"Marc Benioff, CEO of Salesforce, joins 'Squawk on the Street' to discuss artificial intelligence, market themes, and more.",https://finnhub.io/api/news?id=ef3369405b116f651ef6be77e3a7054efdfe8dfed7c190a01becd1ca08c2283b
company,1768897315,AI impacting labor market ‘like a tsunami’ as layoff fears mount,138188052,https://image.cnbcfm.com/api/v1/image/108236567-1764857090749-108236567-1764857004421-gettyimages-1211368821-_ja28558.jpg?v=1768913680&w=1920&h=1080,CRM,CNBC,"""Anxiety about AI will go from a low hum to a loud roar this year,"" Deutsche Bank said as AI layoffs dominate conversations at the World Economic Forum. ",https://finnhub.io/api/news?id=f839e762451ac3fcf5c23c6199e48c029c9a8baeb7d6753ac5ae89bf174b5d63
company,1768891630,Atlassian: AI Fears Are Overblown,138185738,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2248780587/image_2248780587.jpg?io=getty-c-w1536,CRM,SeekingAlpha,"Atlassian (TEAM) stock is down 25% on AI fearsâsee why its moat, switching costs, and 30% growth outlook may signal upside.",https://finnhub.io/api/news?id=93ffc2978bea5ddf29ed30e5a97e87fb21db72e0d394e42c55b775917720b7ca
