category,datetime,headline,id,image,related,source,summary,url
company,1768951802,Fastenal (FAST) Q4 Earnings: How Key Metrics Compare to Wall Street Estimates,138191600,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FAST,Yahoo,"The headline numbers for Fastenal (FAST) give insight into how the company performed in the quarter ended December 2025, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=34bdb8ff4d2a0e9d6b7f13eb1176a5924788e4b59061bd9c8573e7ee950161cb
company,1768942841,Fastenal Co (FAST) Q4 2025 Earnings Call Highlights: Strong Growth and Strategic Advancements ...,138190459,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FAST,Yahoo,Fastenal Co (FAST) reports robust financial results with double-digit sales growth and strategic focus on digital and on-site solutions driving success.,https://finnhub.io/api/news?id=149d644d86e2ba896c5045d1f538eabfc4cbcea1db4b388005f02775a934a551
company,1768928589,Fastenal Q4 Earnings Call Highlights,138188637,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FAST,Yahoo,"Fastenal (NASDAQ:FAST) used its fourth-quarter and full-year 2025 earnings call to highlight a return to double-digit growth, ongoing market share gains, and the expanding role of its Fastenal Managed Inventory (FMI) technology and digital tools in customer relationships. Executives also discussed m",https://finnhub.io/api/news?id=4f6b660c8c189e10989255b98df7226d309e196e1d8e8f84a79b857aedb0c65b
company,1768928220,"Fastenal Q4 Earnings & Sales Meet Expectations, Stock Down",138189631,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FAST,Yahoo,"FAST meets Q4 estimates with solid sales and earnings growth, but the stock is down 5.4% due to margin pressure.",https://finnhub.io/api/news?id=74eca3ee0a5c0ed6c3de2075a44598323f40e7fdb14e088b9740b492976ba2a5
company,1768927740,"These Stocks Are Today’s Movers: Nvidia, Netflix, Intel, Sandisk, 3M, Coinbase, Newmont, RAPT, Fastenal, and More",138213019,,FAST,MarketWatch,"These Stocks Are Today’s Movers: Nvidia, Netflix, Intel, Sandisk, 3M, Coinbase, Newmont, RAPT, Fastenal, and More",https://finnhub.io/api/news?id=eb20662c74b9b77bdc8fc9c1dc5e46bb75573d45a5794d63b75c2b763ea3a54f
company,1768927740,Fastenal Co. stock outperforms competitors despite losses on the day,138214666,,FAST,MarketWatch,Fastenal Co. stock outperforms competitors despite losses on the day,https://finnhub.io/api/news?id=b7ae80f6ce9f9559164323ddf9161b44478fd26d974821a9a92d794822de0154
company,1768926900,Fastenal Stock Dives. What Earnings Say About U.S. Manufacturing.,138214669,,FAST,MarketWatch,Fastenal Stock Dives. What Earnings Say About U.S. Manufacturing.,https://finnhub.io/api/news?id=d67c5aa47f46f37bb2b775e8af7ce2a95dadad77545374452e83c25268cdd91d
company,1768922309,Fastenal Fourth-Quarter Sales Miss Street Views Amid Sluggish Industrial Production,138187626,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FAST,Yahoo,Fastenal's (FAST) fourth-quarter sales fell short of Wall Street's expectations amid sluggish indust,https://finnhub.io/api/news?id=feb901d72ed48007fc21958e03ab6ac76a0989c6e62d2fe0ac052f6cca792678
company,1768909500,"These Stocks Are Today’s Movers: Nvidia, Apple, AppLovin, 3M, Coinbase, Newmont, RAPT, and More",138186334,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FAST,Yahoo,Each of the Magnificent Seven mega-cap stocks tumble as investors fret over President Donald Trump’s tariff threats.,https://finnhub.io/api/news?id=29138e454cc3db8323398f24494983837f7d5ca36e8ea04480a66bf90c9d0bd6
company,1768918671,Is This Dividend Stalwart Signaling a Tough Economy in 2026?,138187629,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FAST,Yahoo,"Fastenal (NASDAQ:FAST) reported fiscal fourth-quarter earnings this morning, posting earnings per share of $0.26 on revenue of $2.03 billion. These figures met analyst expectations for earnings but fell short of revenue forecasts by $10 million. The results highlight broader uncertainty in the manufacturing sector heading into 2026. As a distributor of fasteners and industrial supplies ... Is This Dividend Stalwart Signaling a Tough Economy in 2026?",https://finnhub.io/api/news?id=dfdccf87c8b6ed90ab7f0de61db974c6a09034f5d426a69b4981c931eb3812de
company,1768918558,Fastenal Company (FAST) Q4 2025 Earnings Call Transcript,138189170,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,FAST,SeekingAlpha,"Fastenal Company (FAST) Q4 2025 Earnings Call January 20, 2026 10:00 AM ESTCompany ParticipantsDray Schreiber - Accounting ManagerJeffery Watts - President...",https://finnhub.io/api/news?id=6386ed21357c670395262ae6cda43912631bdeb5780695134a4c0c93db92c55a
company,1768918021,"Traders Digest Trump's Greenland Demands, US Equity Futures Down Pre-Bell",138187630,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FAST,Yahoo,US equity futures were down ahead of Tuesday's opening bell after President Donald Trump threatened,https://finnhub.io/api/news?id=c2ca07f1d1ec3bf62783ea39021a25fdae42a4ec516da6749ce73cab2ebe4821
company,1768917217,"Exchange-Traded Funds, Equity Futures Lower Pre-Bell Tuesday Amid Renewed Tariff Threats",138186403,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FAST,Yahoo,"The broad market exchange-traded fund SPDR S&P 500 ETF Trust (SPY) was down 1.4%, and the actively t",https://finnhub.io/api/news?id=1247aff2233f583adbdff4b9325e52a25764d38042cb6f825ca07447758e01ed
company,1768912805,"Stocks Fall as Investors Assess Trump's Tariff Announcement, Await Earnings",138186326,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FAST,Yahoo,The benchmark US stock measures fell before the opening bell Tuesday amid renewed trade tensions bet,https://finnhub.io/api/news?id=2dd943ff2f5cb942181b39b369b69c61c5b2ee2140031994bf09e2d8ec2bf510
