category,datetime,headline,id,image,related,source,summary,url
company,1768951426,Interactive Brokers (IBKR) Earnings Transcript,138191058,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBKR,Yahoo,"In the fourth quarter, we continue to demonstrate the power and leverage of our diversified, fully automated global platform, which serves the full spectrum of investors from those new to the markets buying their first fractional share of a magnificent seven stock in a cash account, through sophisticated traders benefiting from low cost and geographical reach, to professionals using our APIs and algorithms to execute advanced quantitative strategies in portfolio margin accounts.  Client equity rose 37% to $780 billion, an increase of more than $200 billion year over year and the first time we have ended a year with over three-quarters of a trillion dollars in client assets.  Cyclically, rising markets and expectations for lower interest rates drive increased client engagement.",https://finnhub.io/api/news?id=7bc992325ca4c6962d53359ab9791fbd91373326faa4bac73d1930fa7e3d2824
company,1768950766,Interactive Brokers Group Q4 Earnings Call Highlights,138191059,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBKR,Yahoo,"Interactive Brokers Group (NASDAQ:IBKR) executives used the company’s fourth-quarter 2025 earnings call to highlight record annual results, continued account growth, and ongoing product expansion across its global brokerage and emerging prediction markets business. Management repeatedly emphasized t",https://finnhub.io/api/news?id=db3dae4ba8cd15f72da0a3d471f44730dcf02e12a623c87af9fb74c55b7528a5
company,1768949820,"Markets Switch to ""Risk-Off"" Ahead of Trump at Davos",138191525,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBKR,Yahoo,"Off session lows by a whisker, the Dow shed -870 points, -1.76%, while the S&P 500 lost -43 points, -2.06%, and the tech-heavy Nasdaq dropped -561 points, -2.39%.",https://finnhub.io/api/news?id=a9f85384b493b7e24a1e0d3464280d6e80074cb1104aeb85101dc3118fa562ab
company,1768946063,"Dow Jones Tumbles 871 Points On Trump's Greenland Threats; Nvidia, Tesla Skid As Netflix Falls Late",138190474,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBKR,Yahoo,"The S&P 500 and Nasdaq broke key support on Trump's Greenland push with his Davos speech on tap. Nvidia, Tesla and other megacaps slumped. Netflix fell late.",https://finnhub.io/api/news?id=54563498bfcdfd95ec22ccede48c64e99b387a35cf5c4773c7f0faefbc0ce13f
company,1768945308,Markets shrug off Interactive Brokers’ quarterly beat,138190484,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBKR,Yahoo,"The automated global electronic broker posted adjusted earnings per share of $0.65, beating the analyst estimate of $0.59, while revenue reached $1.64 billion compared to the consensus estimate of $1.61 billion. Despite the beat on both metrics, the market reaction was decidedly negative.",https://finnhub.io/api/news?id=28eef2159c37d404ddfadd6dd1c42f3642255e183bf9e10e764bfec709b21248
company,1768943886,"Interactive Brokers Tops Earnings Views, Shares Trade Near Entry",138190485,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBKR,Yahoo,Interactive Brokers reported its Q4 results late Tuesday. IBKR stock attempted to break out last week.,https://finnhub.io/api/news?id=d5f214e128480f2b480a722e6ece7adaed55a00390cdd8168b28202dd7a3c5ef
company,1768943709,Interactive Brokers’s (NASDAQ:IBKR) Q4 CY2025: Beats On Revenue,138190486,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBKR,Yahoo,"Electronic brokerage firm Interactive Brokers (NASDAQ:IBKR) beat Wall Street’s revenue expectations in Q4 CY2025, with sales up 15.4% year on year to $1.64 billion. Its non-GAAP profit of $0.65 per share was 11% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=7e999b289c14e44923d2fc9343fb7d74bad39a598263ef5894de00dff31fc1de
company,1768942860,Interactive Brokers Group Announces 4Q2025 Results,138190487,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBKR,Yahoo,"GREENWICH, Conn., January 20, 2026--Interactive Brokers Group, Inc. (Nasdaq: IBKR), an automated global electronic broker, announced results for the quarter ended December 31, 2025.",https://finnhub.io/api/news?id=355271e926d8acedd8a50e46ad8a2b0aeaed2c24d8cadf122a85bccb49557998
company,1768939561,"Interactive Brokers Group, Inc. (IBKR) Q4 2025 Earnings Call Transcript",138191321,,IBKR,SeekingAlpha,,https://finnhub.io/api/news?id=6c5e75df36219afa41e530842b0e395d83148996a0e6a6e68617e4c1cd754a4f
company,1768937520,Interactive Brokers Earnings Will Show Just How Fast It Is  Growing Amid Bull Market for Stocks,138190488,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,IBKR,Yahoo,"Wall Street analysts expect  Interactive Brokers  to report strong fourth-quarter earnings after the market closes Tuesday, reflecting a buoyant year for markets and a surge of retail investor trading.  Analysts anticipate Interactive Brokers will report adjusted fourth-quarter earnings of 59 cents per share on revenue of $1.6 billion, according to FactSet.  Shares of Interactive Brokers are up 48% over the past 12 months compared with a 13% gain for the S&P 500.",https://finnhub.io/api/news?id=8c2ecac99fe60ee7804dc5af9a8d149ebb2d7950b2880b954e296aae8a83621e
