category,datetime,headline,id,image,related,source,summary,url
company,1768940712,"What Happened to Viking Therapeutics in 2025, And Is it a Buy for 2026?",138190296,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,"Despite a challenging year, the company has a lot to look forward to in the coming years.",https://finnhub.io/api/news?id=e0f1298b38c36e0cf607cd152be8f0921496e834ea92d8f3220146646dd63a8c
company,1768939500,Is Oral Wegovy a Game Changer for Novo Nordisk?,138190297,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,The past couple of years have been challenging for the company. But this could be the beginning of a new chapter.,https://finnhub.io/api/news?id=5350fb11f81cdd5907e4f3651700db029ef071adac398a9393d3a0c3553ac45d
company,1768934100,The Inner Circle Acknowledges Dr. David Thrasher as a Pinnacle Professional for Leadership in Healthcare and Public Service,138189460,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,"Alabama recently announced the largest single investment in state history. Eli Lilly, the world's most valuable pharmaceutical company, plans to build a $6 billion advanced manufacturing facility in Huntsville. Governor Ivey, Commerce Secretary McNair, Mayor Battle, U.S. Senators Britt and Tuberville, State Senator Givhan worked to make this vision a reality.",https://finnhub.io/api/news?id=e2bf603aeb342337f977df5aaf66b4b139954f0344e70ddaf80a36924c8350d0
company,1768922060,"Recursion Pharmaceuticals, Inc. (RXRX): A Bull Case Theory",138187394,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,"We came across a bullish thesis on Recursion Pharmaceuticals, Inc. on r/stocks by Antique-Reference585. In this article, we will summarize the bulls’ thesis on RXRX. Recursion Pharmaceuticals, Inc.’s share was trading at $4.67 as of January 16th. Recursion Pharmaceuticals, Inc. operates as a clinical-stage biotechnology company, engages in the decoding biology and chemistry by integrating technological innovations across biology, chemistry, […]",https://finnhub.io/api/news?id=a9059c1ea49868dce4ef12d161c024cc8ddb90d3b23eb7f67c2176c8a79e1ea2
company,1768915680,3 Biotech Stocks That Look Like “Sure-Fire” Winners in 2026,138195096,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,"These three biotech stocks combine scale, late-stage pipelines, and analyst confidence, giving investors compelling upside potential in 2026",https://finnhub.io/api/news?id=0f3a1fa568b6cc678a2aa7584efadbb372fd8351708a5157b0f43120ef6f8b01
company,1768914480,Which Pharma Stock Stands Taller Right Now: LLY or PFE?,138187432,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,Eli Lilly's Mounjaro and Zepbound fuel rapid growth as new launches and an oral GLP-1 near approval shape its investment case against peers.,https://finnhub.io/api/news?id=ee6e7705b683cddfed586b09c3c6466ee59108c6304fbf023f2979bd386e7293
company,1768913100,Lilly's sofetabart mipitecan receives U.S. FDA's Breakthrough Therapy designation for the treatment of certain patients with platinum-resistant ovarian cancer,138186414,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,"Eli Lilly and Company (NYSE: LLY) today announced that the U.S. Food and Drug Administration (FDA) has granted Breakthrough Therapy designation to sofetabart mipitecan (LY4170156) for the treatment of adult patients with platinum-resistant epithelial ovarian, fallopian tube, or primary peritoneal cancer, who have received prior bevacizumab and mirvetuximab soravtansine, if eligible. Sofetabart mipitecan is a novel folate receptor alpha (FRα) antibody-drug conjugate (ADC) that uses proprietary li",https://finnhub.io/api/news?id=3b5d516e70a259ef81f93dd255e76c3c20935b6050e6e6f83b7d27975cd82643
company,1768912790,CURE: Benefits And Caveats Of The Leveraged Healthcare ETF,138188296,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1351287260/image_1351287260.jpg?io=getty-c-w1536,LLY,SeekingAlpha,"Direxion CURE ETF offers 3x daily healthcare exposureâlearn risks like volatility decay and drift, plus tactical trading tips using XLV/index signals.",https://finnhub.io/api/news?id=ca3612c5b4891b901620bb4fdb6c38f001242d9ac0824dccbf1890b2577a24b9
company,1768895880,Eli Lilly Gets FDA Breakthrough Designation for Ovarian Cancer Drug,138207468,,LLY,MarketWatch,Eli Lilly Gets FDA Breakthrough Designation for Ovarian Cancer Drug,https://finnhub.io/api/news?id=077260bd7ee87859625d5831ecb881a8bb24d6d2d34863fac646d890e3f0e691
company,1768895656,"Texas, N. Carolina, Ohio, Pennsylvania — where pharma manufacturing investments have surged",138186415,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,Pledged projects have landed in a handful of hotspots while giving rise to potential new hubs across the U.S.,https://finnhub.io/api/news?id=29eb1b73de3a68aad76b4ce27ece84f3cb32f6b1356d04dcd510e0c438ca2f2b
company,1768894860,"Zacks Market Edge Highlights: TSLA, NVDA and LLY",138185012,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,"Is the Magnificent 7 finished? NVDA shines while Tesla struggles and Eli Lilly surges, as Zacks Market Edge debates who stays, who goes in 2026.",https://finnhub.io/api/news?id=1c0f287731322ab627cb853003bfd60770989a3aa5c0a5843ce4ca0f6157b91b
company,1768889451,How Investors May Respond To NVIDIA (NVDA) Expanding Its AI Platform From Gaming To Drug Discovery,138184341,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,"NVIDIA and its partners have, over recent days, unveiled a wave of new AI hardware and collaborations, from Blackwell-based GeForce RTX 5090 gaming cards and Vera Rubin data center systems to deep-life-sciences tie‑ups with Eli Lilly, Natera, Thermo Fisher and others built on the NVIDIA AI platform. Together, these launches and alliances extend NVIDIA’s AI reach from gaming and autonomous vehicles to drug discovery, industrial automation and privacy-first cloud infrastructure, reinforcing...",https://finnhub.io/api/news?id=4242df3b587e1f1967ec463f3f2233e8d06913f6830267c6b88bf125a941e17d
company,1768889399,The Bull Case For Illumina (ILMN) Could Change Following Its Billion Cell Atlas Pharma Alliance,138184366,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,"Earlier in January 2026, Illumina announced the Billion Cell Atlas alliance with AstraZeneca, Merck, and Eli Lilly, alongside new AI‑enabled genomics and multiomics platforms that integrate CRISPR, single-cell sequencing, and cloud analytics to support drug discovery and precision medicine. This push into large-scale genomics datasets and multiomic software marks a shift toward data-driven services that could reshape how Illumina works with pharmaceutical partners across the drug development...",https://finnhub.io/api/news?id=d20e84e98bba094dc7b7621bd83937b07ee3b91361cccee898537fbfe250fdb1
company,1768867886,Assessing Eli Lilly (LLY) Valuation After Recent Choppy Trading And GLP 1 Growth Expectations,138181934,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,"Stock performance context for Eli Lilly (LLY) Eli Lilly (LLY) has drawn fresh attention after recent price moves, with the share closing at $1,038.40. Short term returns have been mixed, while longer periods show stronger total return figures. See our latest analysis for Eli Lilly. Recent trading has been choppy, with a 7 day share price return of a 3.94% decline and a 30 day share price return of a 3.08% decline, while the 90 day share price return of 29.87% and 1 year total shareholder...",https://finnhub.io/api/news?id=aaf6f03d14f2d147498751c3a90c5e254ce7236fb2eb9ff59399e6db4f13972a
