category,datetime,headline,id,image,related,source,summary,url
company,1768953000,Lululemon Halts Online Sales of Get Low Collection in Response to Customer Complaints,138191628,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,Lululemon pulled the new collection from its website after customers complained the material is too sheer.,https://finnhub.io/api/news?id=af6a635cdbc8699584e668e39a08785ecb96b28f414addcc85a1bb9cea3c06b3
company,1768948673,Greenland Fears Break Stocks’ Long Calm,138191061,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,"Tuesday's stock declines interrupted a long calm in markets, raising the specter of the so-called “Sell America” trade—a dumping of U.S. and dollar-denominated assets that briefly wracked markets after President Trump unveiled plans for sweeping global tariffs early last year.",https://finnhub.io/api/news?id=09221b2338c38972fcd618d3ed8c46c94e1d3443247e8f4e78084ceb7db90054
company,1768942691,Sector Update: Consumer Stocks Mixed Late Afternoon,138190336,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,"Consumer stocks were mixed late Tuesday afternoon, with the State Street Consumer Staples Select Sec",https://finnhub.io/api/news?id=79dd7094a6cf202657123e75a06f79e27a106a2e9a4b3a298e95bdeff9aed6ca
company,1768918440,Will lululemon's Cost Controls Buffer Against Margin Compression?,138187567,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,"LULU tightens costs through supply-chain redesign, selective pricing and expense discipline to offset tariffs, inflation and margin pressure.",https://finnhub.io/api/news?id=35ffa58be8fc5a909498863b5ad25932e55515abd0a62fe2153c74219d7b2443
company,1768916391,Market Chatter: Lululemon's Founder Seeks Ouster of Private Equity Firm Advent Amid Proxy Fight,138186657,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,Lululemon Athletica's (LULU) founder-turned-activist Chip Wilson is trying to excise private equity,https://finnhub.io/api/news?id=e001e52bdac6d6880acfc592f70c3daacf8b3259871c910f9445690b7d3ac2c4
company,1768914840,"The Zacks Analyst Blog Highlights NIKE, adidas and lululemon athletica",138187568,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,NIKE tests its turnaround as sport-led innovation aims to offset weak global demand amid tariff pressures and cautious consumers.,https://finnhub.io/api/news?id=4b3e0f80c627c1cda537907dd45cb7e23146894e744228dc42584300e69f65a9
company,1768912188,"Stocks making the biggest moves midday: NetApp, Nvidia, Expand Energy, Intel and more ",138188213,https://image.cnbcfm.com/api/v1/image/107035861-1648123489958-gettyimages-1043885926-A9300018.jpeg?v=1768926199&w=1920&h=1080,LULU,CNBC,These are the stocks posting the largest moves in midday trading. ,https://finnhub.io/api/news?id=00341d3211fe5027dc8d400a805ab0bef52dfb6de13931abc4c312979f4708e9
company,1768909664,Chip Wilson Turns Up Heat on Lululemon,138185823,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,Chip Wilson pushes to remove Advent directors,https://finnhub.io/api/news?id=b2ff939b4f749497b039b767489c892605d172b428df917d30a1cfe2ad85ecaa
company,1768909278,Lululemon Founder Chip Wilson Seeks Advent's Removal in Board Fight,138185824,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LULU,Yahoo,Wilson renews tensions with the company he founded.,https://finnhub.io/api/news?id=376d5726cde14ec808a327c9565634544ddd073e974b171f5990ee3c5b12c994
company,1768906269,lululemon athletica: The Market Is Discounting A 2026 Recovery Too Early,138187603,,LULU,SeekingAlpha,,https://finnhub.io/api/news?id=15edd6e48cb0a0392f4a41fce6be986d1a2c5035972aad8b66d58e697efc4a6a
company,1768904786,lululemon: Avoid Jumping The Gun (Rating Upgrade),138187320,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2210027350/image_2210027350.jpg?io=getty-c-w1536,LULU,SeekingAlpha,"lululemon fundamentals remain shaky, with Q3 showing sluggish revenue growth and profitability under pressure. Learn more about LULU stock here.",https://finnhub.io/api/news?id=ac75e4fcc297d59f42c0a0dfba8f7e48cb7a0e7c43d6668e7b8cdd6a1b9dbdac
company,1768894740,lululemon athletica Suffers Recovery Headwinds - Momentum Reversal In Progress,138186050,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1179979986/image_1179979986.jpg?io=getty-c-w1536,LULU,SeekingAlpha,"lululemon athletica remains a Hold as recovery headwinds persist, including the negative top-line guidance in FQ4'25 after six consecutive years of growth. Learn more about LULU stock now.",https://finnhub.io/api/news?id=014a10cea8fecbcd22ad534df2da50466f3c0e5b448712739a2e830adeef56f5
company,1768894579,"Stocks making the biggest moves premarket: Nvidia, J.B. Hunt, 3M, Micron & more",138188027,https://image.cnbcfm.com/api/v1/image/107408514-1714515042553-gettyimages-2150881945-img_8173_z8grltkg.jpeg?v=1768925573&w=1920&h=1080,LULU,CNBC,These are the stocks posting the largest moves in early trading. ,https://finnhub.io/api/news?id=de89726b0e7d3547049b60aae0c49feb55ad1867b8fa39f5dce43a4f0b20fb60
