category,datetime,headline,id,image,related,source,summary,url
company,1768950006,McDonald's (MCD) Stock Moves -1.49%: What You Should Know,138191551,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCD,Yahoo,"In the most recent trading session, McDonald's (MCD) closed at $302.84, indicating a -1.49% shift from the previous trading day.",https://finnhub.io/api/news?id=96bf6342c24a141536dbaef6ff8b302ba6bb6ce5601d4aec26d23237aff9092a
company,1768944720,"Top Stock Reports for Apple, Walmart & JPMorgan",138190923,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCD,Yahoo,"Apple, Walmart and JPMorgan lead today's Zacks research, highlighting services growth, omnichannel strength and banking momentum amid risks.",https://finnhub.io/api/news?id=a061ba320793ea898a7637501343c4c673503a893868b480e727d6e1b0371108
company,1768941068,Bill Gates Recalls Warren Buffett Treating Him to McDonald's — Then Paying With Coupons,138190243,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCD,Yahoo,"Being rich doesn't always mean acting rich. Just ask the two men who've taken turns wearing the crown of richest person alive. Bill Gates and Warren Buffett could afford just about any lunch they wanted—but when they grabbed McDonald's in Hong Kong, one of them reached into his pocket and pulled out coupons. Spoiler: it wasn't Bill Gates. Gates told the story himself in a letter he wrote to Buffett in 2017. ""Remember the laugh we had when we traveled together to Hong Kong and decided to get lunc",https://finnhub.io/api/news?id=937519356be747b8dbd68ea79434daed5193b55159eb1422537ad2a1031a14e8
company,1768931220,"McDonald's adds Bigger Mac, a menu bet on value, not price",138188525,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCD,Yahoo,"McDonald's has spent the past few quarters trying to establish itself as a value player, especially in its home market of the United States. ""Our combination of great-tasting menu innovation, exciting marketing, and reliable value and affordability succeeded in a highly challenged consumer ...",https://finnhub.io/api/news?id=f56c3ba7d9a6468fd61a88c73933e318b2e72f796ba545eb1341f5cd8e4f44d1
company,1768926840,McDonald's Corp. stock underperforms Tuesday when compared to competitors,138208487,,MCD,MarketWatch,McDonald's Corp. stock underperforms Tuesday when compared to competitors,https://finnhub.io/api/news?id=d10dc2ae478e0a58d20da8dc673a3029b22b4a64deae657ad943684a08e38acf
company,1768918620,McDonald's Dividend Streak Lives On: Is Cash Flow Still Rock-Solid?,138187495,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCD,Yahoo,MCD lifts its dividend 5% for a 49th straight year as margins hit new highs and cash flow stays strong despite consumer pressure.,https://finnhub.io/api/news?id=6ac22988f28499ee2bc51babdf9374abef80d5889b9e5dd836c702222960db47
company,1768910913,Jack In The Box: When The 'Ugly Duckling' Stays Ugly (Rating Downgrade),138188025,,MCD,SeekingAlpha,,https://finnhub.io/api/news?id=edefa67516ba0df06ca82a69a48c7e2fe3f17060adba2130914e1dad57b9739b
company,1768909020,"Krispy Kreme’s CEO talks profitability, refranchising strategies",138188526,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCD,Yahoo,Joshua Charlesworth said the chain’s decision to end its McDonald’s partnership and to refranchise its Japanese shops are part of creating sustainable revenue streams.,https://finnhub.io/api/news?id=7e8e602a4005296eb7e31bf8f5869e44812eab2b097efe6488257361b5c4c70e
company,1768883509,2 Dow Jones Stocks Worth Investigating and 1 We Question,138186347,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCD,Yahoo,"The Dow Jones (^DJI) is made up of 30 of the most established and influential companies in the market. But even blue-chip stocks can struggle - some are dealing with slowing growth, outdated business models, or increasing competition.",https://finnhub.io/api/news?id=82326a73dc8b57e1bb31b82ba206d564019eee442e48ebec02d5e80a21f4ad20
company,1768872420,Should You Buy Dividend Aristocrats in 2026?,138182475,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MCD,Yahoo,Dividend-paying stocks provide many clear benefits. But should you bother with them in the fresh year?,https://finnhub.io/api/news?id=8ed382ce08e58060c007641f26389eba928be1ccb1694f9279a67fc5464e745a
