category,datetime,headline,id,image,related,source,summary,url
company,1768951802,3M (MMM) Reports Q4 Earnings: What Key Metrics Have to Say,138191581,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MMM,Yahoo,"The headline numbers for 3M (MMM) give insight into how the company performed in the quarter ended December 2025, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=21c18a6a233b038e363c3abaf296a3395de6bcfe07aa4cfdd2cc6102b5c96aa7
company,1768946459,"Wall Street Logs Worst Day Since October, Gold Shines Amid Trump's Tariff Threat",138190920,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MMM,Yahoo,Wall Street's equity benchmarks posted their biggest one-day losses in more than three months on Tue,https://finnhub.io/api/news?id=f004769cbabe02dc88c072cf725eccefddd84382f3f929e6ca9571be0000d454
company,1768944516,"Earnings live: Netflix stock sinks, United Airlines pops as earnings pick up",138190303,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MMM,Yahoo,"A broader set of sectors will be represented when 35 more S&P 500 companies report earnings this week, including Netflix, Procter & Gamble, and Intel.",https://finnhub.io/api/news?id=f67b46ecc8d94d19ca7f0ad6dcd8cdf7ca10f41a4211cdbdfa20940f26582a4c
company,1768942844,3M Co (MMM) Q4 2025 Earnings Call Highlights: Strong Product Launches and Shareholder Returns ...,138190427,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MMM,Yahoo,"3M Co (MMM) reports robust Q4 results with significant new product launches and shareholder returns, despite facing headwinds in consumer segments and macroeconomic conditions.",https://finnhub.io/api/news?id=c0c5ec871ea274c58d1a28aa49d0fcf6c52ab0def1a9ff573b7702280dbd9654
company,1768936733,"Equities Slump, Gold Surges Intraday After Trump's Latest Tariff Threat",138189395,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MMM,Yahoo,"US benchmark equity indexes tumbled intraday, while gold and silver prices hit new record highs afte",https://finnhub.io/api/news?id=d13ce274a72b507d3c941417b40ee13959dc735d68da06bb05e057d89703758b
company,1768932120,"3M's Q4 Earnings Top Estimates, Safety and Industrial Sales Increase Y/Y",138189581,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MMM,Yahoo,"MMM tops Q4 earnings estimates but misses on revenues, showing mixed regional sales, segment divergence and a stronger outlook with higher 2026 guidance.",https://finnhub.io/api/news?id=5441de47410242374e13e51839495206ae636e0bbf5b8cf30c855bc8dee69484
company,1768927751,3M Issues 2026 Outlook as Profit Guidance Misses Estimates,138188586,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MMM,Yahoo,"The company forecasts $8.50 to $8.70 adjusted EPS for 2026, slightly below consensus, with sales growth projected at about 4%.",https://finnhub.io/api/news?id=17f4c5dcc3a2852305c49fa65a1fd3586d2fc2f4ab9eccfc650f8e8bc6a734b5
company,1768926540,3M Scores an Earnings Beat. The Stock Drops Anyway.,138237494,,MMM,MarketWatch,3M Scores an Earnings Beat. The Stock Drops Anyway.,https://finnhub.io/api/news?id=92c2bc02a39918b65d4606f21ef424c45e1ca1127efb067d787b07f41ca9e8a4
company,1768926520,"Top Midday: Stocks Fall on Heightened Trade War Fears; Netflix, Warner Bros. Amend Agreement to All-Cash Deal",138188486,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MMM,Yahoo,All three major US stock indexes were down in late-morning trading Tuesday after President Donald Tr,https://finnhub.io/api/news?id=2aee5f78f73eef951740d94485d605860cf118a6fb97713dfe5158f48a8b1027
company,1768925852,3M Q4 Earnings Call Highlights,138188588,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MMM,Yahoo,"3M (NYSE:MMM) executives said the company finished 2025 with what management described as “solid results” in the fourth quarter, highlighted by organic growth of 2.2%, an operating margin of 21.1%, earnings per share of $1.83, and free cash flow conversion of more than 130%. Chairman and CEO Bill B",https://finnhub.io/api/news?id=bb127d563b02ca48c83a4455ca2c7016da9e7085025c26e4b4b2b100886af916
