category,datetime,headline,id,image,related,source,summary,url
company,1768949702,Microsoft (MSFT) Stock Moves -1.10%: What You Should Know,138191500,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"Microsoft (MSFT) closed the most recent trading day at $454.79, moving 1.1% from the previous trading session.",https://finnhub.io/api/news?id=0e35829a429b06b77b222813c966c8636dcb40348c82890858804484d78803ff
company,1768945025,Big Tech Stocks Hit Hard in Selloff,138190210,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"All seven of the giant tech stocks known as the Magnificent Seven fell at least 1% Tuesday. That was the first time that has happened since October.    Microsoft was down the least, about 1.2%, with Tesla and Nvidia down 4% or more.",https://finnhub.io/api/news?id=10a0d2ad1a607102c9d494aec8be17457d8c6a87b509168cce11c4734eb9780a
company,1768942955,"RBC Initiates Coverage on Marvell (MRVL), Cites 25% Valuation Discount to Peers",138190233,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"Marvell Technology, Inc. (NASDAQ:MRVL) is one of the AI Stocks Making Waves on Wall Street. On January 14, RBC Capital analyst Srini Pajjuri initiated coverage on the stock with an “Outperform” rating and a price target of $105. The analyst sees multiple growth drivers for Marvell and an undervalued entry point. According to Pajjuri, the […]",https://finnhub.io/api/news?id=ed4fcf984cdc9a9ab8100ba22ea19b2535ef6bd5746b284bdef37cb895f8cac7
company,1768941954,"Himax, Broadcom, KLA Corporation, Impinj, and Qualcomm Stocks Trade Down, What You Need To Know",138190220,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"A number of stocks fell in the afternoon session after rising geopolitical tensions between the US and Europe over control of Greenland sparked a broad, risk-off mood in asset markets.",https://finnhub.io/api/news?id=8980c9e68049f1e662f00a4cc6e395d22bb2897998e4d0c2610fdcfa230580ca
company,1768941942,Why Nvidia (NVDA) Stock Is Down Today,138190221,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"Shares of leading designer of graphics chips Nvidia (NASDAQ:NVDA) fell 3.8% in the afternoon session after rising geopolitical tensions between the US and Europe over control of Greenland sparked a broad, risk-off mood in asset markets.",https://finnhub.io/api/news?id=a5de2fd0874cf4bdd2f4e4383a9211fbe56e32c16273e6fcf16bf902b1eb5607
company,1768934108,Satya Nadella’s biggest AI bubble warning yet is a challenge to the Fortune 500: It’s time to reinvent the knowledge worker,138190236,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"The Microsoft CEO offers a fix to the AI productivity dilemma, calling on business leaders to shift workflows to match the structural design of the technology.",https://finnhub.io/api/news?id=1b69ff5cce3315de22100bd443769fe71394db7fb6504ca5923ed6921c39e6a1
company,1768933263,"Nvidia, Tesla, and Amazon Lead Tech Stocks Fall on Tuesday",138189399,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,AI Stocks Retreat With the Market. What Tariffs and Earnings Mean Next,https://finnhub.io/api/news?id=a78168db400c129822229da1f31addee901fab0a3e903d434b40387faa5754e3
company,1768932900,Cosmos Launches Dedicated APAC Distributor to Expand Global Business Central Reporting Reach,138189411,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"Cosmos Data Technologies, the first and only cloud reporting and analytics solution built specifically for Microsoft Dynamics 365 Business Central, today announced a new distribution agreement with Cosmos Data Technologies APAC Limited (“Cosmos APAC”), a newly formed entity that will serve as the exclusive distributor and primary services provider for Cosmos across the Asia-Pacific (APAC) region.Lake Oswego, Oregon, Jan. 20, 2026 (GLOBE NEWSWIRE) -- Cosmos Data Technologies, the first and only c",https://finnhub.io/api/news?id=bca7f89637cd75782c48f5e645c9148c5677f0fe54ade507bfba104426cdde45
company,1768931220,Chris Hohn Posts Biggest Hedge Fund Gain Ever at $18.9 Billion. How He Did It.,138189412,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"The founder of TCI Fund Management ranks No. 1 for the net gain achieved in 2025, according to a ranking from the investment firm Edmond de Rothschild.",https://finnhub.io/api/news?id=6abd43d4a2aade4fb9847bb1a36c2e5743296a43c88ea1b3e7dae70b7759f1c6
company,1768930921,Correction Warning: The Market Is Getting Too Risky,138190699,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2229006239/image_2229006239.jpg?io=getty-c-w1536,MSFT,SeekingAlpha,The market is flashing a warning that most investors are ignoring. Learn more about SP500 stock here.,https://finnhub.io/api/news?id=3a99c96807857a1765de4bdd544b91f89a4adf4cf401db44140c9a680f22a4e8
company,1768929900,This Could Be One of the Best Tech Stocks to Hold for the Next 10 Years,138188400,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,Its diversified business is built for longevity.,https://finnhub.io/api/news?id=50092df15e614c0f58d2c8d7c8911f1ad6d99018ef89bedc1dcf342f1cd0455b
company,1768928464,Inside Davos’ pricey power club: Why executives spend up to $1 million a year for access,138190237,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,Microsoft and McKinsey are among the U.S. companies spending up to $1 million each just to sponsor a Davos venue.,https://finnhub.io/api/news?id=613a5b738614fafb6fc36561c3cc154e27d957b98e2f4efa767bfd5e7538bc3f
company,1768927702,Why Nebius Stock Is Tumbling Today,138188401,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,NBIS Stock Reacts to Global Tariff News Ahead of Earnings,https://finnhub.io/api/news?id=f0fe4b36f081a632a89cfef7ca8806ceeeeb42b3b2d74585a656c92c555d3205
company,1768927698,Microsoft Stock at $600 or $400? Here’s What You Should Bet On,138188387,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"Microsoft (NASDAQ:MSFT) has been sliding since October despite the company posting strong results. It is down over 16% since the start of November, and the slide looks to be getting worse, even though there isn’t a scare of any kind. This is rather puzzling, as Microsoft is a key part of the AI buildout and ... Microsoft Stock at $600 or $400? Here’s What You Should Bet On",https://finnhub.io/api/news?id=0e83dd1110b70015e27eda3a7ba1c6ba0316b5cd8de943a0ce7e2128e778b782
company,1768927200,Amazon Drops Amid Declines Across ‘Mag 7’. What’s Hitting Big Tech Stocks.,138232130,,MSFT,MarketWatch,Amazon Drops Amid Declines Across ‘Mag 7’. What’s Hitting Big Tech Stocks.,https://finnhub.io/api/news?id=8666484396889a4323c696adafe204e44e8800ce83ca6b4d0a6ed4d512fca542
company,1768926568,"Nvidia, Tesla lead tech stocks lower as Trump trade war threats rattle market",138188388,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,Tech stocks led broader market declines as investors grew skittish over geopolitical tensions and fears of an AI bubble continued.,https://finnhub.io/api/news?id=59c6ec870b438f56459c2c7c5aae0d917b5f343f4f616b1fe39ddab671e481f7
company,1768925923,Microsoft vs Palantir: Which Tech Stock Is A Better Buy Today,138188404,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"Artificial intelligence (AI) has changed the way we look at every industry. Businesses are setting aside millions to invest in AI and remain ahead of the competition. While AI is here to stay, the AI software market is expected to keep growing at a rapid pace. It will grow faster than generative AI solutions. Two ... Microsoft vs Palantir: Which Tech Stock Is A Better Buy Today",https://finnhub.io/api/news?id=f89a75d67793a35118e94ce68f6d1f3faa06e54f12f27d2410e3cc9ce55ebbd0
company,1768923529,"Apple will ship millions of $2,000 foldable iPhones this year: Citi",138187342,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,Citi thinks Apple will be all in on a foldable iPhone — and soon.,https://finnhub.io/api/news?id=a398907bcc5b5c7ed9f9164353c32889996c7d951b4b0e9e6f43dec23a3f4224
company,1768923208,"Dear Microsoft Stock Fans, Mark Your Calendars for January 28",138189413,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,Microsoft stock heads into its Jan. 28 earnings report with elevated expectations as investors weigh strong growth against rising AI-related costs.,https://finnhub.io/api/news?id=9b9c73381443d1f9c64bfa2d1bf8016e7dbe440af16909fbca396c3b913da76b
company,1768922660,America’s Biggest Tech Stocks Lead Tuesday’s Sell-Off as Trump's Greenland Rhetoric Rattles Markets,138188391,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,Big tech stocks led markets lower Tuesday amid a broad market sell-off after Trump over the weekend threatened new tariffs on a number of European countries unless the U.S. is allowed to acquire Greenland.,https://finnhub.io/api/news?id=d560f79df9124ed6f69f01f886e86105a02bcc208699123747a28bc7cc6ca310
company,1768922593,"Dropbox, Inc. (DBX): A Bear Case Theory",138187369,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"We came across a bearish thesis on Dropbox, Inc. on Inwood’s Substack’s Substack by Inwood Capital. In this article, we will summarize the bears’ thesis on DBX. Dropbox, Inc.’s share was trading at $26.75 as of January 13th. DBX’s trailing and forward P/E were 15.20 and 8.89 respectively according to Yahoo Finance. Dropbox, Inc. provides a content collaboration platform […]",https://finnhub.io/api/news?id=604161fe109e2320c842031ad8056bd96666a7408b7147438a835d7c5302a4f1
company,1768922512,"Forget the four-day workweek: CEO of the world’s largest workspace provider says it’s not coming, despite what Bill Gates and Elon Musk predict",138189414,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"Billionaire tech CEOs promise shorter weeks thanks to AI—but IWG’s Mark Dixon says automation won’t free time, it’ll just create more work.",https://finnhub.io/api/news?id=5e34926beaa2f49b0e93f881af8892898028a743d4e3a977009cf3484952b50c
company,1768921906,Stripe’s Copilot Checkout Partnership Could Be A Game Changer For Etsy’s (ETSY) AI Narrative,138187370,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"Recently, Stripe and Microsoft launched Copilot Checkout, an AI-driven in-chat shopping integration that now enables Etsy buyers to complete purchases directly within chat experiences, aiming to reduce friction for small businesses on the platform. At the same time, analysts are highlighting Etsy’s broader AI efforts and upcoming leadership transition, suggesting these technology and management shifts could meaningfully influence how the marketplace captures value for its sellers and...",https://finnhub.io/api/news?id=8db1f384343a65d610384297a491b462ae4e3d2c51c8174735553f7c30b93815
company,1768921620,"Prediction: Nvidia Will Overtake Alphabet, Apple, and Microsoft to Become the World's Most Profitable Company by the End of 2027. Here's Why the ""Magnificent Seven"" Stock Is a Buy in January.",138187347,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"Nvidia is already the most valuable company in the world, but it could soon become the most profitable, too.",https://finnhub.io/api/news?id=79254c7528efcdebbfa8af7015ab691e4b22b88ebc8287fcda235c26bafe7b9e
company,1768921200,Henson Venture Partners Announces Strong 2025 Year-End Results and Accelerated Investment Plans for 2026,138187372,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"Backing Ambitious Founders Building Category-Defining Technology Companies. NEW YORK CITY, NEW YORK / ACCESS Newswire / January 20, 2026 / Henson Venture Partners, a global early-stage venture capital firm focused on backing and mentoring high-potential ...",https://finnhub.io/api/news?id=72cdea62e438db29bab4bb6ff312fad3713284fb870efbedb3e7502830bd9adc
company,1768921082,Trump's battle for Greenland: Why the stock market hates it all,138187348,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"The market hates surprises, usually.",https://finnhub.io/api/news?id=c4c3c13806136a1573b222640d1ee29f6e5a5252e20bdc6e35fbf8756309a2a4
company,1768919400,Montage Partners Announces Successful Exit of its Investment in Advantco International,138187374,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"Montage Partners, a people-first private equity firm based in Scottsdale, Arizona, today announced the successful exit of its investment in Advantco International, LLC (the ""Company""), a global provider of integration software solutions that enable seamless connectivity between enterprise applications and cloud platforms. The Company was acquired by Argano LLC, a portfolio company of Trinity Hunt Partners, LP.",https://finnhub.io/api/news?id=2bd07b2656f367348966beda230ee70abb4f37493cbcf21d778de3f774f31ae7
company,1768918528,Microsoft (MSFT) Traded Lower as Its Reported Azure Cloud Growth and Forward Guidance Fell Short of Expectations,138187375,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"Fred Alger Management, an investment management company, released its “Alger Spectra Fund” fourth-quarter 2025 investor letter. A copy of the letter can be downloaded here. The US equity market ended the fourth quarter on a strong note, with the S&P surging 2.7%, maintaining its steady upward momentum. Investors’ optimism was supported by better-than-expected corporate earnings, […]",https://finnhub.io/api/news?id=43d24c47e4ce1a082e3bcdcb92f761d5befc9ef32ba7331e68011b324bd91a45
company,1768917900,"97% of Wall Street Analysts Say This ""Magnificent Seven"" Stock Is a Buy: Double Down in 2026?",138187376,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,There is no other stock within the S&P 500 that Wall Street is more bullish on.,https://finnhub.io/api/news?id=4e90d922496383ef119c81d35b3e92bcfe939db8d35b2dbfb383d915b43f742f
company,1768917600,I'm Watching These 2 SaaS Stocks While Everyone Else Panics About AI,138186693,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,Bargains could emerge as AI causes panic.,https://finnhub.io/api/news?id=243770ea1d852a0ed342b4133cb674b8223be60ebd1707e1f75bb1bf0d4a320d
company,1768917600,Virtru Appoints Angel Smith and John Dancy to Executive Leadership Team,138187377,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MSFT,Yahoo,"New hires from Microsoft and AWS position Virtru to scale delivery of data-centric security solutions in 2026 Angel Smith Headshot Angel Smith John Dancy Headshot John Dancy WASHINGTON, D.C., Jan. 20, 2026 (GLOBE NEWSWIRE) -- Virtru, the leader in data-centric security, today announced the appointments of two senior leaders to its executive team: Angel Smith as President of Global Public Sector and John Dancy as Executive Vice President of Customer Solutions and Engineering. Together, they will",https://finnhub.io/api/news?id=8cb7e75b4d183743dc071b4b805477c7fc8b34b8616c39d914a013e4d5f85686
