category,datetime,headline,id,image,related,source,summary,url
company,1768946459,"Wall Street Logs Worst Day Since October, Gold Shines Amid Trump's Tariff Threat",138190920,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTAP,Yahoo,Wall Street's equity benchmarks posted their biggest one-day losses in more than three months on Tue,https://finnhub.io/api/news?id=f004769cbabe02dc88c072cf725eccefddd84382f3f929e6ca9571be0000d454
company,1768943944,US Equity Markets Fall as US-Europe Trade Tensions Escalate,138190455,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTAP,Yahoo,Major US equity indexes ended lower Tuesday as trade tensions escalated between the US and Europe.,https://finnhub.io/api/news?id=7bbb4932f940627cd50299025d05b1f96af6a611932c288f21117e82e082b257
company,1768926350,Why NetApp (NTAP) Stock Is Down Today,138188679,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTAP,Yahoo,Shares of data storage company NetApp (NASDAQ:NTAP) fell 7.9% in the morning session after Morgan Stanley downgraded the stock's rating to 'Underweight' from 'Equal-weight' and significantly cut its price target.,https://finnhub.io/api/news?id=f304fb0a15be2fb741ccfe6a3461b367afa339118be76c1099582e22324eaf33
company,1768925969,"Enterprise Hardware Growth Slows as Rising Costs Outweigh AI Tailwinds, Morgan Stanley Says",138188659,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTAP,Yahoo,The enterprise hardware industry is showing cautionary signs as slowing budgets and rising price sen,https://finnhub.io/api/news?id=7abbbff7cb9a92d2c15209855f1b732ede664e8876b6ffc7188dfd6e0a89ee89
company,1768923486,"Intel, Brinker International, IT stocks: Top Analyst Calls",138187501,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTAP,Yahoo,"Yahoo Finance Senior Reporter Brooke DiPalma keeps track of several Wall Street analyst calls on top trending stocks, including calls around shares of IT hardware companies Logitech International (LOGI), NetApp (NTAP), and Dell Technologies (DELL); Intel (INTC); and Chili's parent company Brinker International (EAT). To watch more expert insights and analysis on the latest market action, check out more Market Catalysts.",https://finnhub.io/api/news?id=46157e6b6ab4b8e1cd9686c80169bfbbbb2bec39cd7ebd23d0576361543b5b4a
company,1768919763,"Intel upgraded, Domino's downgraded: Wall Street's top analyst calls",138187477,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTAP,Yahoo,"Intel upgraded, Domino's downgraded: Wall Street's top analyst calls",https://finnhub.io/api/news?id=178c409ced7a9088f3e1591fe433829faa9b543ed97f20acd8dc8e686f7af8ed
company,1768913707,"Here Are Tuesday’s Top Wall Street Analyst Research Calls: Chevron, Domino’s Pizza, Doximity, Exact Sciences, Intel, NetApp, StubHub, Toast, and More",138186659,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTAP,Yahoo,"Pre-Market Stock Futures: Futures are trading dramatically lower as we start the holiday-shortened trading week, following yesterday’s MLK remembrance day. The futures downdraft this morning is being attributed to President Trump’s threat to raise tariffs significantly over Greenland. Last Friday, the market closed unchanged primarily after a sizable options expiration that boosted trading volume throughout ... Here Are Tuesday’s Top Wall Street Analyst Research Calls: Chevron, Domino’s Pizza, D",https://finnhub.io/api/news?id=70ce834b3ffb6e351fab7859604d3096c8a7cfe44fe0a6c6c1bef19be1414d2c
company,1768912188,"Stocks making the biggest moves midday: NetApp, Nvidia, Expand Energy, Intel and more ",138188213,https://image.cnbcfm.com/api/v1/image/107035861-1648123489958-gettyimages-1043885926-A9300018.jpeg?v=1768926199&w=1920&h=1080,NTAP,CNBC,These are the stocks posting the largest moves in midday trading. ,https://finnhub.io/api/news?id=00341d3211fe5027dc8d400a805ab0bef52dfb6de13931abc4c312979f4708e9
company,1768908160,US IT hardware stocks fall as Morgan Stanley turns cautious on sector,138185707,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NTAP,Yahoo,"U.S. IT hardware stocks fell on Tuesday after Morgan Stanley downgraded its view on the ​industry, warning that companies could drastically reduce their spending ‌budgets as enterprise demand slows and component costs rise. U.S.-listed shares of Logitech ‌and NetApp dropped 6.2% and about 3.8% respectively in premarket trading after the Wall Street brokerage slashed its rating on both companies to ""underweight"" from ""equal-weight"". Morgan Stanley reduced its rating on CDW Corporation to ""equal-weight"" ⁠from ""overweight"", sending its shares ‌down 2.1%.",https://finnhub.io/api/news?id=8c08d6f2ce8922f0aa16fb0737f316204cc33bdd045a29d84cf40c74683c98f9
company,1768891965,Wall Street Breakfast Podcast: Futures Slip As Trading Resumes,138185737,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1358927461/image_1358927461.jpg?io=getty-c-w1536,NTAP,SeekingAlpha,"Biggest stock movers Tuesday: NVDA, RAPT, and more. NYSE develops platform for 24/7 trading of tokenized securities. Tesla set to be early winner of Canada-China EV tariff deal - report.",https://finnhub.io/api/news?id=3e0f9686acab1e65a905bdf9d40a3db6ca58fa99969e1e7b52097997d707cbcc
