category,datetime,headline,id,image,related,source,summary,url
company,1768948041,"Update: Netflix Fourth-Quarter Results Top Views, First-Quarter Outlook Falls Short",138190972,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,(Updates to add comments about engagement growth starting in the 12th paragraph.) Netflix (NFLX),https://finnhub.io/api/news?id=994efb95c8176123e112c38d45d330915412d316422f50243d71d7084883e5de
company,1768947480,Netflix Stock Is Falling. This Is Overshadowing the Streamer’s Earnings Beat.,138190975,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,"Netflix  issued softer-than-expected margin guidance late Tuesday, overshadowing higher fourth-quarter earnings than expected.  The video streamer reported a fourth-quarter profit of 56 cents a share, as revenue climbed almost 18% from a year ago to $12.05 billion.  Analysts were looking for earnings of 55 cents a share on revenue of $11.97 billion, according to FactSet.",https://finnhub.io/api/news?id=34f4ab948014e5cdedfbcc06c9f3aba23d81f4e812259bee0318572b2a9ef331
company,1768946459,"Wall Street Logs Worst Day Since October, Gold Shines Amid Trump's Tariff Threat",138190920,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,Wall Street's equity benchmarks posted their biggest one-day losses in more than three months on Tue,https://finnhub.io/api/news?id=f004769cbabe02dc88c072cf725eccefddd84382f3f929e6ca9571be0000d454
company,1768946065,"Netflix earnings: Key takeaways, what to watch in 2026",138190441,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,"Netflix (NFLX) shares slipped in after-hours trading after posting fourth quarter results and first quarter guidance that wasn't quite what Wall Street was hoping for. Bloomberg Intelligence senior media analyst Geetha Ranganathan shares her instant reaction to the report and what she will be watching for the stock in 2026. To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime.",https://finnhub.io/api/news?id=e755e5d6fc622f9eb7901abf8091e07db2cb9fdf4bea4543f6d3a0257898c49c
company,1768945366,"Netflix Fourth-Quarter Results Top Views, First-Quarter Outlook Falls Short",138190328,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,"Netflix (NFLX) reported stronger-than-expected fourth-quarter results, though the streaming giant's",https://finnhub.io/api/news?id=9d6d98e41eb53985edbf2b11bbe32e47276253552d597d7d24ba239e0e631b0c
company,1768943948,"Netflix stock falls after fourth quarter results top forecasts, Warner Bros. deal hangs in the balance",138190330,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,Netflix posted fourth quarter results as it hopes to close the acquisition of WBD.,https://finnhub.io/api/news?id=5e5839270d580c5d4d59d77aa852c001ff20f4a2bdad70acf3f5351a0f35a14d
company,1768943700,Netflix Revenue and Profit Rise as Subscriptions Top 325 Million,138190332,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,"The streaming service attributes its growth to increases in subscribers, pricing and advertising revenue.",https://finnhub.io/api/news?id=8e972cb8be585fec6fedb66197674c5cf6f0dec4964a363774304f4f5c73041f
company,1768942691,Sector Update: Consumer Stocks Mixed Late Afternoon,138190336,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,"Consumer stocks were mixed late Tuesday afternoon, with the State Street Consumer Staples Select Sec",https://finnhub.io/api/news?id=79dd7094a6cf202657123e75a06f79e27a106a2e9a4b3a298e95bdeff9aed6ca
company,1768937533,Netflix set to report fourth quarter earnings with Warner Bros. Discovery deal hanging in the balance,138189477,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,Netflix is expected to beat lowly expectations as it hopes to close the acquisition of WBD.,https://finnhub.io/api/news?id=00852757c4741a8f14b5478d4b442c40e54ed36d86786953da8ab849ae1d386e
company,1768936733,"Equities Slump, Gold Surges Intraday After Trump's Latest Tariff Threat",138189395,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,"US benchmark equity indexes tumbled intraday, while gold and silver prices hit new record highs afte",https://finnhub.io/api/news?id=d13ce274a72b507d3c941417b40ee13959dc735d68da06bb05e057d89703758b
company,1768933998,Paramount needs a cash spoiler to clinch Warner Bros,138190340,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,A disheartening phenomenon in the age of streaming TV is “second screening”. This involves scripting programmes for viewers who are only watching...,https://finnhub.io/api/news?id=b1a7f0359d3eb6d9a8b72eb6f9cfb07488006970555f28998b4b96226f509ce6
company,1768933229,Netflix Revises Warner Bros. Bid to All-Cash as Paramount Pressure Builds,138189481,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,"Netflix amends its $27.75-a-share offer to all cash, accelerating a shareholder vote amid Paramount's $30-a-share tender offer.",https://finnhub.io/api/news?id=57ad65da9e1556a829580384fab5bf6c94de6f5e8a8647d85f26029aac95b48d
company,1768931228,LightShed's Greenfield: Paramount not likely to beat Netflix for WBD at this point,138196800,https://image.cnbcfm.com/api/v1/image/108254644-17689489351768948932-43598593298-1080pnbcnews.jpg?v=1768948934&w=1920&h=1080,PSKY,CNBC,"Rich Greenfield, LightShed partners, joins 'Fast Money' to talk Netflix's acquisition of Warner Bros., its quarterly results, and more.",https://finnhub.io/api/news?id=eed037c1951a2503e4b5e449c1dcf04473966b0c61eefd67c736f3cb69f01306
company,1768930615,Netflix Amends Warner Bros. Deal to All-Cash Transaction,138188484,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,Netflix (NFLX) revised the structure of its proposed Warner Bros. Discovery (WBD) acquisition to an,https://finnhub.io/api/news?id=a9f12bf08a1a6fc45f97861c061ee7fed238e51ab5bc831a16eb7b1e82fc7cd0
company,1768922634,Netflix sweetens £62bn offer for Warner Bros in Hollywood bid battle,138188490,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,Netflix has sweetened its $83bn (£62bn) takeover bid for Warner Bros after tabling a new cash-only offer to fend off rival Hollywood bidder Paramount.,https://finnhub.io/api/news?id=072789ccf26563678132168c2084aae5823ed5b61283a0b1b6d782a21f1348d9
company,1768922107,Netflix amends Warner Bros. deal to all cash in bidding war,138188491,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,Netflix amends Warner Bros. deal to all cash in bidding war,https://finnhub.io/api/news?id=acae1b53f0179ea717b4d515b491b908bfe667428b306e8547fe3894592225bd
company,1768916040,Netflix Just Made Warner Bid All-Cash. Its Stock Is Rising—and Paramount Is Falling.,138187468,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,The two companies said the amended offer would give Warner investors more certainty and accelerate a shareholder vote.,https://finnhub.io/api/news?id=d4e44bfb9246db6c07c81c293adb5d9353b5b160b4e4bd5429915c070048cac5
company,1768919582,"Netflix amends WBD bid, ServiceNow's OpenAI deal, 3M earnings",138187462,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,"Julie Hyman and Yahoo Finance Markets and Data Editor Jared Blikre examine some of Tuesday's trending stocks, including deal updates from Netflix (NFLX) and Warner Bros. Discovery (WBD), and OpenAI (OPAI.PVT) and ServiceNow (NOW). They also look at 3M (MMM), which reported earnings. Watch the video above to learn why investors are focused on the three tickers. To watch more expert insights and analysis on the latest market action, check out more Morning Brief.",https://finnhub.io/api/news?id=80083563e7ba3de59b4437284377fa04a5af5d6ef40b056a9966f3d1f8b8bf65
company,1768918680,Netflix faces a murky outlook as it continues to pursue Warner Bros. Discovery,138187463,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,The giant black cloud hanging over Netflix shares is obvious.,https://finnhub.io/api/news?id=20bbc00f72a20d3ea7218a7c2ddefd1940900fa7ad03b55ddd6b5b2a55f29bd6
company,1768918200,Citi Hires Former Paramount Executive to Head Media Banking,138187500,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PSKY,Yahoo,Alex Berkett oversaw Paramount’s sale of Simon & Schuster and was involved in its recent merger with Skydance.,https://finnhub.io/api/news?id=0211230cf088c31be043c476cfb9e0d8aadc2a4e72fea5f84a6ca7d4e5629249
