category,datetime,headline,id,image,related,source,summary,url
company,1768945583,This Stock Has Had the Best 2026 In the S&P 500. It Just Got Another Boost.,138191045,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,The bank's research analyst boosted their price targets and earnings estimates on Sandisk as well as other data storage stocks.,https://finnhub.io/api/news?id=8d9955c66e97354e293586d09ca0f938293cb9605d20c47a3071ab18081fd29f
company,1768943944,US Equity Markets Fall as US-Europe Trade Tensions Escalate,138190455,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,Major US equity indexes ended lower Tuesday as trade tensions escalated between the US and Europe.,https://finnhub.io/api/news?id=7bbb4932f940627cd50299025d05b1f96af6a611932c288f21117e82e082b257
company,1768938900,Review & Preview: Sell America?,138207550,,SNDK,MarketWatch,Review & Preview: Sell America?,https://finnhub.io/api/news?id=b4538b30b2e5f3c59e339a55290a602c17581fd45e9a518982dd8bbec146550d
company,1768938240,Sandisk Continues Its Meteoric Rise. It’s the Top Stock in the S&P 500 Today.,138190436,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,"The stock has now climbed—yes, these numbers are real—88% already in 2026 and more than 1,100% since it spun off from  Western Digital  last February.  Sell-side analysts have struggled to keep up with  Sandisk’s  rapid ascent, but Citi played catch-up on Monday.  Demand for memory and data storage remains strong, Citi said, and the long-term transition from training artificial-intelligence models to inferencing—applying those models to data—will only help.",https://finnhub.io/api/news?id=85cc28318a32336ed6912f27ea57616cdda420b85d12117af8e7020c464d7db0
company,1768928160,"If You'd Invested $100 in Sandisk 11 Months Ago, Here's How Much You'd Have Today",138188603,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,"The stock for this memory storage specialist is up over 1,000% in that span.",https://finnhub.io/api/news?id=c762b5f00ba154d7c296c6872d614d7e694005202dfa30ca16ef4d52d02cd9f9
company,1768927740,"These Stocks Are Today’s Movers: Nvidia, Netflix, Intel, Sandisk, 3M, Coinbase, Newmont, RAPT, Fastenal, and More",138213019,,SNDK,MarketWatch,"These Stocks Are Today’s Movers: Nvidia, Netflix, Intel, Sandisk, 3M, Coinbase, Newmont, RAPT, Fastenal, and More",https://finnhub.io/api/news?id=eb20662c74b9b77bdc8fc9c1dc5e46bb75573d45a5794d63b75c2b763ea3a54f
company,1768926307,Stock Market Today: Dow Craters On Greenland Tariff News; Nvidia Sees Big Loss (Live Coverage),138207296,,SNDK,DowJones,Stock Market Today: Dow Craters On Greenland Tariff News; Nvidia Sees Big Loss (Live Coverage),https://finnhub.io/api/news?id=e6fde7de6909e16b407cd8fc52158606e14513f39b0947c6a013f6592c6b398e
company,1768924017,SanDisk leads storage stock surge; Shares jump 8% on data center grow,138187570,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,"Investing.com -- Storage and memory stocks rallied sharply on Tuesday, with SanDisk leading the charge as data center spending continues to drive demand for storage solutions.",https://finnhub.io/api/news?id=4fd452acfce27a305eb3b707682de8c7e301c966f7fb4361a067e23c41caa066
company,1768909500,"These Stocks Are Today’s Movers: Nvidia, Apple, AppLovin, 3M, Coinbase, Newmont, RAPT, and More",138186334,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,Each of the Magnificent Seven mega-cap stocks tumble as investors fret over President Donald Trump’s tariff threats.,https://finnhub.io/api/news?id=29138e454cc3db8323398f24494983837f7d5ca36e8ea04480a66bf90c9d0bd6
company,1768914840,Can Data Center SSD Demand Reignite Micron's NAND Revenue Growth?,138187451,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,MU's NAND rebound takes shape as AI-driven data center SSD demand lifts the segment's Q1 FY26 revenues by 22%.,https://finnhub.io/api/news?id=36adf6e28da1388e983c85743a7daf5d19599a36f688609c053cca2e4efbc437
company,1768907030,Assessing Sandisk (SNDK) Valuation After A Sharp Multi‑Month Share Price Surge,138185762,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,"Why Sandisk stock is on investors’ radar Sandisk (SNDK) has caught investor attention after a sharp recent move, with the shares showing double digit gains over the past month and past 3 months, prompting closer scrutiny of the flash storage specialist. See our latest analysis for Sandisk. That momentum sits against a much longer backdrop, with Sandisk’s 1 day share price return of 1.07%, 7 day return of 6.11%, 30 day return of 74.08%, 90 day return of 181.47% and year to date share price...",https://finnhub.io/api/news?id=f5d42485795caed835a7a47576a7fed6f5c5cee8dd1eee6640f61803ea2d8c5b
company,1768896180,Zacks Investment Ideas feature highlights: Sandisk and Western Digital,138185063,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SNDK,Yahoo,SNDK has surged in early 2026 as NAND scarcity and AI storage demand fuel massive earnings growth and keep its valuation in check.,https://finnhub.io/api/news?id=f82eba4bb7726e30fd0527f89c7bff2a392fbfa33427dc7276a581b31f5f6b87
