category,datetime,headline,id,image,related,source,summary,url
company,1768951802,U.S. Bancorp (USB) Q4 Earnings: Taking a Look at Key Metrics Versus Estimates,138191584,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,USB,Yahoo,"The headline numbers for U.S. Bancorp (USB) give insight into how the company performed in the quarter ended December 2025, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=a4ad5797dfbcd20bf96708f8cebf4382f079032583a44a63ed853ed006a054cd
company,1768945936,US Bancorp (USB) Q4 2025 Earnings Call Transcript,138191028,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,USB,Yahoo,"Gunjan Kedia: Thank you, George, and good morning, everyone.  Net interest income this quarter increased 3.3% year over year, supported by strong consumer deposit growth.  Fee revenue grew 7.6% year over year with broad-based strength across most of our fee businesses.",https://finnhub.io/api/news?id=e5f2103aedfcbd0326da6a0851a40b45a5498a746e714f3e5ef34c6873efe1ea
company,1768942845,U.S. Bancorp (USB) Q4 2025 Earnings Call Highlights: Record Revenues and Strong EPS Growth,138190430,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,USB,Yahoo,"U.S. Bancorp (USB) reports an 18% increase in EPS and record net revenues, while navigating potential regulatory challenges.",https://finnhub.io/api/news?id=f9da6f76da611633a8c6a4f0897f5bb636015715818592c9ad95ce30a51020e4
company,1768942690,Sector Update: Financial Stocks Lower in Late Afternoon Trading,138190305,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,USB,Yahoo,"Financial stocks were lower in late Tuesday afternoon trading, with the NYSE Financial Index droppin",https://finnhub.io/api/news?id=1827af4214e85c06f3386088186f33aaac0d9dab5f38958e0e39352bc291db36
company,1768935503,Sector Update: Financial Stocks Decline Tuesday Afternoon,138189466,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,USB,Yahoo,"Financial stocks were lower in Tuesday afternoon trading, with the NYSE Financial Index dropping 1.7",https://finnhub.io/api/news?id=d3c8e7483e565b3bba00000481335831ec7480dd4cc48af03c1493780ab6c6c8
company,1768933226,"U.S. Bancorp Reports Earnings Beat, Lifts Revenue Outlook",138189588,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,USB,Yahoo,"U.S. Bancorp posts $1.26 EPS, tops estimates, and forecasts 4%--6% revenue growth as deposit costs ease.",https://finnhub.io/api/news?id=81382e752bc77d76b5fbf18149bd09da0456dcdb92d65dfcc2b8f87e00331c43
company,1768931520,U.S. Bancorp Q4 Earnings Beat Estimates as NII & Fee Income Rise Y/Y,138189589,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,USB,Yahoo,"USB tops Q4 earnings estimates as net interest income and fee income rise year over year, aided by lower expenses and improved operating efficiency.",https://finnhub.io/api/news?id=8d1694857aad225d4399ad4f2f07dfb3bf51497bbb70d477b96fd01476daf700
company,1768929692,US Bancorp CEO warns of big hit to clients from Trump's credit card cap,138188595,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,USB,Yahoo,By Arasu Kannagi Basil Jan 20 (Reuters) - U.S.,https://finnhub.io/api/news?id=2b835ec33a9037c00eabf5ffcf9d8c200d1981eb5d2baaf9c2ee0770669d12ea
company,1768926040,Why Bank Stocks Could Surprise Investors in 2026—3 Dividend Plays to Consider,138188493,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,USB,Yahoo,"Bank stocks haven’t exactly been the darlings of income investors over the past few years, for understandable reasons. Between regional banking stress, interest rate uncertainty, and regular overhang, the sector has traded at a discount compared to the broader market while many investors were also looking elsewhere for better yields. However, it’s very possible that ... Why Bank Stocks Could Surprise Investors in 2026—3 Dividend Plays to Consider",https://finnhub.io/api/news?id=ba00be498fa625b29c483ab1d590ea47da8211e0a3cb75c8fbe3cd984c8ce086
company,1768925853,U.S. Bancorp Q4 Earnings Call Highlights,138188597,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,USB,Yahoo,"U.S. Bancorp (NYSE:USB) executives used the company’s fourth-quarter 2025 earnings call to highlight stronger earnings, improving revenue trends across both net interest income and fees, and what management described as steady progress on expense discipline and strategic priorities heading into 2026",https://finnhub.io/api/news?id=0ae9a6e156a4c38c99422fb3e445e0b6b649f6680d61390ea43b82ed02dc3095
