category,datetime,headline,id,image,related,source,summary,url
company,1769031286,Alvotech: Why FDA Delays Don't Break The Bull Case,138200440,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2159194981/image_2159194981.jpg?io=getty-c-w1536,AMGN,SeekingAlpha,"Alvotech has five approved drugs, including biosimilars of AbbVie's Humira, Johnson & Johnson's Stelara/Simponi, and Eylea. See why ALVO stock is a Strong Buy.",https://finnhub.io/api/news?id=37cb85cba880bde7dbd1e2759d21fcf2c7efcf23e1ff29fe3d128d489296803e
company,1769024174,Stock Market Today: S&P 500 Higher After Trump Davos News; Johnson & Johnson Slides (Live Coverage),138198040,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMGN,Yahoo,"The Dow Jones Industrial Average and other major stock indexes rose Wednesday after sinking a day earlier, with some recovery arriving after President Donald Trump's rule-out of U.S. military force to pursue Greenland.",https://finnhub.io/api/news?id=d3267156d6ca502483b3c367e9c707a982b0a72ef58c70c0d52dca104af94354
company,1769018669,UPS to build massive $6.1M cooler in Louisville. Here's what we know,138198188,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMGN,Yahoo,UPS is adding a $6.1 million cooler to one of its warehouses to expand its healthcare capabilities in Louisville. Here's what we know.,https://finnhub.io/api/news?id=e6f699152c0e2063d9a8a700247b6875355ed03c7dc3f091127d5f68c10d8853
company,1769010720,"Amgen, NVIDIA Corp. share gains lead Dow's 566-point rally",138207837,,AMGN,MarketWatch,"Amgen, NVIDIA Corp. share gains lead Dow's 566-point rally",https://finnhub.io/api/news?id=7c2008043a841f5e2224dd09c251e9e49c239ae52293460677a3886a86cad441
company,1769007060,"Dow's nearly 725-point rally highlighted by gains in NVIDIA Corp., Amgen stocks",138211805,,AMGN,MarketWatch,"Dow's nearly 725-point rally highlighted by gains in NVIDIA Corp., Amgen stocks",https://finnhub.io/api/news?id=fd8e110367ec8ba12c08fa010f3fb84d49d606971265e68fcb350f95cbdfdbdd
company,1769004120,"Biocom Announces Powerhouse Keynote Panel Featuring Heads of Discovery and Research & Development from AbbVie, Amgen and Eli Lilly at 2026 Global Partnering & Investor Conference",138196024,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMGN,Yahoo,"SAN DIEGO, January 21, 2026--Biocom today announced a distinguished keynote session for its 2026 Global Partnering & Investor Conference, taking place February 24 to 26 at The Lodge at Torrey Pines in La Jolla, California.",https://finnhub.io/api/news?id=7ded13c7bffe9a1eb7f0ee157151db09457910563196ab72f67489c6c0cd22d7
company,1769003400,"Amgen, Nike share gains contribute to Dow's 350-point jump",138208038,,AMGN,MarketWatch,"Amgen, Nike share gains contribute to Dow's 350-point jump",https://finnhub.io/api/news?id=d8ca2c777f2495335851b7931c052b85fc2e1976d2c91d358c3239b4cc061c96
company,1769000400,Ember LifeSciences appoints Ann Hyllengren as Chief Financial Officer,138195157,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMGN,Yahoo,"Following its recent $16.5 million Series A financing in December, Ember LifeSciences, Inc., a leading provider of revolutionary cold chain technology, announced the appointment of Ann Hyllengren as Chief Financial Officer to support the company's next phase of growth.",https://finnhub.io/api/news?id=861ea17bd4e7557ad7503043d0e3addefec0a86bc10cc7fa967b1f9bff6d1bd5
company,1768999680,"Dow's 212-point rally highlighted by gains in shares of Amgen, UnitedHealth",138207838,,AMGN,MarketWatch,"Dow's 212-point rally highlighted by gains in shares of Amgen, UnitedHealth",https://finnhub.io/api/news?id=5976d4d6fefe8c059a6b97552fb6f8e6da6c861f6b358caf41c7e3e18b7f094c
company,1768997461,Amgen (AMGN) Expands Obesity Strategy With Ro Collaboration on GLP-1 Therapies,138195094,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMGN,Yahoo,"Amgen Inc. (NASDAQ:AMGN) is one of the best undervalued wide moat stocks. On January 13, 2026, an announcement came regarding the Ro and Amgen Inc. (NASDAQ:AMGN) collaboration. Ro, a U.S. telehealth firm, alongside Amgen, aims to investigate barriers patients face in accessing obesity treatments, including GLP-1 drugs such as Novo Nordisk’s Ozempic and Eli Lilly’s […]",https://finnhub.io/api/news?id=6c4cb24bffaf5702e4fd781cfd2029e7e6770f9b9cc5d7853b95424bee219f8d
company,1768996020,"Dow rallies 350 points on gains in UnitedHealth, Amgen stocks",138208039,,AMGN,MarketWatch,"Dow rallies 350 points on gains in UnitedHealth, Amgen stocks",https://finnhub.io/api/news?id=83b9d4dec3f54e738a3283bdd2f221bb23310150eba30cd8e36f42874f0dca2b
company,1768992360,"UnitedHealth, Honeywell share gains lead Dow's 519-point rally",138233213,,AMGN,MarketWatch,"UnitedHealth, Honeywell share gains lead Dow's 519-point rally",https://finnhub.io/api/news?id=fd6561ed39c98f87b11699c74c1cb551516d0d6aad79d7b0614c918f74400006
company,1768989846,Amgen (NASDAQ:AMGN) Has Announced That It Will Be Increasing Its Dividend To $2.52,138194404,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,AMGN,Yahoo,The board of Amgen Inc. ( NASDAQ:AMGN ) has announced that it will be paying its dividend of $2.52 on the 6th of March...,https://finnhub.io/api/news?id=d7cf72c29af37004e58127292230082ecfee5f347576d005b9b292270f5aa0f1
