category,datetime,headline,id,image,related,source,summary,url
company,1769029200,Private-Credit Investors Are Cashing Out in Droves,138210354,,BX,DowJones,Private-Credit Investors Are Cashing Out in Droves,https://finnhub.io/api/news?id=67042584c729dcb77ac495436b9a2714acd445674948f1f7483ea758533e16c5
company,1769026889,Blackstone Weighs $500 Million IPO for Indian Glass Maker,138198953,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BX,Yahoo,Private equity firm explores Mumbai listing of PGP Glass at up to a $4 billion valuation.,https://finnhub.io/api/news?id=f7c139f022369a2debb0ed5cabc94077fc4d1a1dbcc7656a9b299c410ef236e9
company,1769022636,How President Trump and Nvidia CEO Jensen Huang's Davos moves helped dip-buying investors,138198044,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BX,Yahoo,"Welcome back, ""buy the dip"" fans.",https://finnhub.io/api/news?id=8c2872561592abd0bde708e4bf06def0999a636b2271e7da8673d5fcda8e41d2
company,1769013240,"Blackstone Inc. stock rises Wednesday, outperforms market",138210374,,BX,MarketWatch,"Blackstone Inc. stock rises Wednesday, outperforms market",https://finnhub.io/api/news?id=181b6a9dbf01c9c33ea8fbe1852e10e38c397949782ea4b07b693051fcf00cc0
company,1768988816,"Stocks to Watch Wednesday: Netflix, United Airlines, Kraft Heinz",138194358,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BX,Yahoo,"↘️ Netflix (NFLX): The streaming company posted better-than-expected quarterly results, with series such as “Stranger Things” boosting viewership. However, shares dropped 6.5% in premarket trading. Netflix posted its results shortly after sweetening its $72 billion bid for Warner Bros.",https://finnhub.io/api/news?id=67c905fe80c497504181c5ea40a9f6a81a318d3137a6231b0f3fdb2f613e5b90
company,1768998420,Brookfield vs. Blackstone: Which Stock Will Make You Richer?,138195189,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BX,Yahoo,These companies know how to enrich investors.,https://finnhub.io/api/news?id=825d3035c60bacedd184f24e50993540f4df6b7390e532b9dd8460622a9bbd15
company,1768997296,I was in the room when Trump addressed leaders in Davos. Here are my top takeaways,138205536,https://image.cnbcfm.com/api/v1/image/108255084-1769019750208-108255084-1769015120769-spriha.jpg?v=1769019795&w=1920&h=1080,BX,CNBC,"Donald Trump told a packed room at Davos he demanded ""immediate"" negotiations over Greenland. CNBC was there, where the tension was palpable.",https://finnhub.io/api/news?id=5ec4b0b5c4873cecc669223254de3d0542b0ea1dfc967ffb015b3ec4f89580a6
company,1768992894,Blackstone considers sale of Beacon Offshore Energy for $5bn,138194380,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BX,Yahoo,"Beacon Offshore Energy operates some of the US’ most productive wells, using advanced technology to tap hard-to-reach crude reserves.",https://finnhub.io/api/news?id=0b7bc1f3fa06f3bb3efa1608d3197714dbdc63b956addc605932dd222a8aa7f4
company,1768979515,Assessing Blackstone (BX) Valuation After Mixed Recent Share Performance And A Premium 44.5x P/E,138193149,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BX,Yahoo,"Understanding Blackstone’s recent share performance Blackstone (BX) has seen mixed share performance recently, with a 1 day return of about a 6% decline, a flat week, a small gain over the past month and a roughly 5% decline over the past 3 months. Over longer holding periods, total returns are more dispersed, with a roughly 3% decline year to date, about a 13% decline over the past year, and very large gains over the past 3 and 5 years. These figures provide a snapshot of how the stock has...",https://finnhub.io/api/news?id=adde60436a5ab784d7776466ba5ae8e97c0e73d536be35745adfd0f3c9248d18
company,1768958823,Trump signs order blocking Wall St from buying single-family homes,138191573,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BX,Yahoo,Investing.com-- U.S. President Donald Trump on Tuesday evening signed an executive order aimed at blocking Wall Street investors from buying and speculating on single-family homes.,https://finnhub.io/api/news?id=8f826fa5482d12cb84209ed1c4214d2e6c22594a9994f68e6c1b8280d45ac26c
