category,datetime,headline,id,image,related,source,summary,url
company,1769031004,"Compared to Estimates, Citizens Financial Group (CFG) Q4 Earnings: A Look at Key Metrics",138199708,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CFG,Yahoo,"The headline numbers for Citizens Financial Group (CFG) give insight into how the company performed in the quarter ended December 2025, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=3cf0d366b0adb494a899b357a2b3177ec3b4cba9a8be3030b518c9ba68bc576d
company,1769030402,Citizens Financial Group (CFG) Tops Q4 Earnings and Revenue Estimates,138199709,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CFG,Yahoo,"Citizens Financial Group (CFG) delivered earnings and revenue surprises of +2.03% and +0.39%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=0b9e8f500180015cc72286b6653e3e7c12b1e8357ef3261d6fd4607d0f1dacde
company,1769029268,Citizens Financial Group Inc (CFG) Q4 2025 Earnings Call Highlights: Strong EPS Growth and ...,138199110,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CFG,Yahoo,"Citizens Financial Group Inc (CFG) reports robust financial performance with significant EPS growth, strategic asset management, and successful capital return to shareholders.",https://finnhub.io/api/news?id=370cda68f07520ca0fe1e9164c3873ba4aed17ac72338c11ea06f6440c0e0681
company,1769019660,Citizens Financial Group to Participate at the UBS Financial Services Conference,138198342,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CFG,Yahoo,"PROVIDENCE, R.I., January 21, 2026--Citizens Financial Group, Inc. (NYSE: CFG) announced today that Chair of Commercial Banking Don McCree and Head of Commercial Banking Ted Swimmer will participate at the UBS Financial Services Conference 2026 on Tuesday, February 10, 2026 at 10:30 am ET.",https://finnhub.io/api/news?id=c4cdd7699775da3ec408f17a766d934d0e5942477610a249d18f2798adf81086
company,1769018340,"CFG Q4 Earnings Beat Estimates on NII & Fee Income Growth, Stock Up",138198343,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CFG,Yahoo,Citizens Financial's results gain on the back of net interest income and fee growth. The stock gains nearly 2.8% in early trading.,https://finnhub.io/api/news?id=d7f3615688be80493e241fb3742312de34a7ad5126810ae5a0a95cc878f5947c
company,1769016101,"Citizens Financial Group (CFG) Shares Skyrocket, What You Need To Know",138197398,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CFG,Yahoo,Shares of regional banking company Citizens Financial Group (NYSE:CFG) jumped 5.7% in the afternoon session after the company reported fourth-quarter 2025 financial results that surpassed analyst expectations for both profit and revenue.,https://finnhub.io/api/news?id=ba14ccecd670846758ce5533ba999f2a79d43d12c3f7b0842c15cf05acd0731c
company,1769013000,Citizens Financial Group Inc. stock outperforms competitors on strong trading day,138218068,,CFG,MarketWatch,Citizens Financial Group Inc. stock outperforms competitors on strong trading day,https://finnhub.io/api/news?id=c531c212bb2628d874f75998406130155649b2e0bbc6a69669d6c4d5332a7bc7
company,1769012848,Citizens Financial Group Q4 Earnings Call Highlights,138197399,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CFG,Yahoo,"Citizens Financial Group (NYSE:CFG) executives used the company’s fourth-quarter earnings call to highlight year-end momentum, progress on strategic initiatives, and an upbeat outlook for 2026 driven by continued net interest margin expansion, fee growth in capital markets and wealth, and improving",https://finnhub.io/api/news?id=f745d64ee740023295de4389108d0d16ddc320ce9e30d8f4aaa685c50f851e4b
company,1769004908,Citizens Financial Group (CFG) Q4 Earnings on the Horizon: Analysts' Insights on Key Performance Measures,138196219,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CFG,Yahoo,"Evaluate the expected performance of Citizens Financial Group (CFG) for the quarter ended December 2025, looking beyond the conventional Wall Street top-and-bottom-line estimates and examining some of its key metrics for better insight.",https://finnhub.io/api/news?id=b3d53cbd5f274710a01ae81d2a98b84ad0b0edea5736a34261c23a649890f516
company,1769003761,"Citizens Financial Group, Inc. (CFG) Q4 2025 Earnings Call Transcript",138197832,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,CFG,SeekingAlpha,"Citizens Financial Group, Inc. (CFG) Q4 2025 Earnings Call January 21, 2026 9:00 AM ESTCompany ParticipantsKristin Silberberg - Head of Investor...",https://finnhub.io/api/news?id=dd750f5aa3e30f636f67ff8482e88ef922847cd317512a4c5791ec6bfbb25660
