category,datetime,headline,id,image,related,source,summary,url
company,1769037900,The One Metric Bulls Watch in Palantir Before Earnings,138219631,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,"Institutional buying, analyst upgrades, and earnings momentum suggest Palantir’s valuation concerns may be overblown heading into earnings",https://finnhub.io/api/news?id=d443409031fd0a7c4cf3e497a87806c301d63f7c7bc7fe5bc7337a7b4593285c
company,1769026871,Citigroup Posts Record Taiwan Revenue as Tech Fundraising Accelerates,138198979,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,US bank benefits from surging overseas demand for Taiwanese tech deals amid intensifying competition and geopolitical tension.,https://finnhub.io/api/news?id=c57152cb2e35ea777076f10e2e1d223bb65067c35dd052524cb6634b6d3f2a1e
company,1769013660,ETFs Caught in the Crossfire Amid US-Greenland Trade Gambit,138198148,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,"CARU and other ETFs slid as Trump's Greenland-linked tariff threat and the EU's retaliation jolted autos, aerospace, tech and banks.",https://finnhub.io/api/news?id=f195b11b74ca294792c99c6c7eefa20689357e58c5b9b0fac0962b807a0aede6
company,1769013300,D.R. Horton Stock Tests Support Following Earnings Report,138205832,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,DHI stock is down after earnings as investors weighed headline beats against declining year-over-year results and ongoing affordability challenges in housing,https://finnhub.io/api/news?id=0092c15cccc13de2e7f1499cf38e63329c8d848394e9ddcf68d8fa5b584567b5
company,1768999492,JPMorgan and Citigroup consider fixed pay cuts for senior UK executives,138195090,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,This follows the recent modifications to local remuneration regulations.,https://finnhub.io/api/news?id=9774cea2f108c63bf3a0760b8d8295535f1cd8e5dbf3fb8006ebe5fae7c5751f
company,1768994444,Citigroup (C) Signals Stabilizing Core Businesses and Progress on Strategic Streamlining,138195149,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,"Citigroup Inc. (NYSE:C) is one of the 10 Goldman Sachs undervalued stocks to invest in. On January 14, 2026, Citigroup Inc. (NYSE:C) reported Q4 2025 results, delivering an earnings beat primarily driven by a sharp recovery in dealmaking and stronger corporate client activity. On an adjusted basis, Citigroup Inc. (NYSE:C) posted earnings of $1.81 per […]",https://finnhub.io/api/news?id=49fe0f46b14b666f0603be4971aa422de7fbac956377b3cadeb787425f62be44
company,1768986335,S&P 500 Profit Beats Draw Worst Stock Price Reaction on Record,138193719,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,"While it’s still early days, data compiled by Bloomberg Intelligence show about 81% of S&P 500 firms have beaten fourth-quarter profit expectations so far.  Among the stocks that underwhelmed, 3M Co.’s shares fell 7% on Tuesday even as the company topped profit estimates, with investors focusing instead on a glum forecast.  State Street Corp. dropped 6.1% as a dimmer net interest income outlook overshadowed better-than-expected quarterly results.",https://finnhub.io/api/news?id=547f91b3130b78a698594f0848bd7ff295b941bb76cec4b78dfa669524e4c566
company,1768983169,"The 'sell America' trade, Trump arrives in Davos, Netflix earnings and more in Morning Squawk",138196682,https://image.cnbcfm.com/api/v1/image/104138240-GettyImages-626432400.jpg?v=1768960337&w=1920&h=1080,C,CNBC,Here are five key things investors need to know to start the trading day.,https://finnhub.io/api/news?id=4f83f7679d1b2395f9009867dc454559a5ea8361a405f5afe8953fa017903e97
company,1768973507,Citigroup’s Q4 Earnings Call: Our Top 5 Analyst Questions,138193723,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,"Citigroup’s fourth quarter results were met with a significant negative market reaction as the company’s revenue and non-GAAP profit both fell short of Wall Street expectations. Management attributed the shortfall to a combination of tough year-over-year comparisons in the markets segment, higher compensation and technology expenses, and the impact of a notable item related to its Russia operations. CEO Jane Fraser acknowledged ongoing challenges but emphasized the bank’s progress in transformin",https://finnhub.io/api/news?id=353843a797438698846151fc72b86253b87e86a38289762d600db71a8a782eab
company,1768961700,Did The Banks Just Set The Stage For Another Quarter Of Double-Digit S&P 500 EPS Growth?,138192968,,C,SeekingAlpha,,https://finnhub.io/api/news?id=ecac0ffe3834ea56b1ed7c334a6aa8f4182f4c45a74605a586efa2dcc52fb857
