category,datetime,headline,id,image,related,source,summary,url
company,1769032818,"Stocks to Watch Wednesday Recap: Netflix, Schwab, J&J, United Airlines",138199575,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,"↘️ Netflix (NFLX): The streaming company posted better-than-expected quarterly results, but its cash flow and outlook disappointed, as did the news that it would pause buybacks. The stock dropped 2.2%.",https://finnhub.io/api/news?id=57f7fb58e6f5b7e2b7f2c0962e5f621b9538e01237367a4e890ca7c4ff583bbd
company,1769028586,GE Aerospace Stock Retakes Buy Point Ahead Of Earnings,138198958,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,GE Aerospace reports Q4 earnings results early Thursday. GE stock on Wednesday made a bullish surge into a buy zone.,https://finnhub.io/api/news?id=d0d56f81f7d7ac0aa9d0bcd5a1731dc5f3dbb5477427b4e74766758b7d0797b8
company,1769018160,Does J.B. Hunt's Q4 Earnings Beat Justify a Buy Decision Today?,138198310,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,We assess the investment worthiness of JBHT stock post its fourth-quarter 2025 earnings release.,https://finnhub.io/api/news?id=90e798a76737d7a653d966414209e7733339fea4b8a38f2ad2bb4e1d4a36eb5b
company,1769017920,United Airlines Q4 Earnings & Revenues Surpass Estimates,138198311,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,"UAL beats Q4 earnings and revenue estimates as passenger and premium demand lifted results, marking the highest-revenue quarter in its history.",https://finnhub.io/api/news?id=fbb1aa5022c9d940c35124686a4bd11d5f039225097c10843c6b4c6b8a85425f
company,1768988816,"Stocks to Watch Wednesday: Netflix, United Airlines, Kraft Heinz",138194358,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,"↘️ Netflix (NFLX): The streaming company posted better-than-expected quarterly results, with series such as “Stranger Things” boosting viewership. However, shares dropped 6.5% in premarket trading. Netflix posted its results shortly after sweetening its $72 billion bid for Warner Bros.",https://finnhub.io/api/news?id=67c905fe80c497504181c5ea40a9f6a81a318d3137a6231b0f3fdb2f613e5b90
company,1769002715,"United Airlines Beat Fueled By Premium, Loyalty Revenue. Shares Surge To Buy Zone.",138195256,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,"United Airlines cleared Q4 views on record revenue, driven by premium sales, loyalty wins. UAL stock to rebound into buy zone.",https://finnhub.io/api/news?id=2daad0ae9221ebe010b927bb0afa096db1394ea4c4fbd95d0ffce27488bd30fa
company,1769002200,Wheels Up Announces Ben Griffin as Brand Ambassador,138195257,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,"Wheels Up Experience Inc. (NYSE: UP), one of the world's leading providers of on-demand private aviation, today announced that athlete Ben Griffin is a new addition to the Wheels Up Ambassador community. As a rising standout in professional golf, Griffin represents the next generation of elite athletes whose lives and careers demand flexibility, efficiency, and connectivity across every mode of travel.",https://finnhub.io/api/news?id=a62a6953a7c785a4043942356f5309b33a626abdb27f09b7a98404e3a7de55b2
company,1768995554,United Airlines Fourth-Quarter Results Top Street Views; CEO Says 'Strong Revenue Momentum' Continues Into 2026,138194398,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,United Airlines (UAL) shares rose early Wednesday as the air carrier delivered better-than-expected,https://finnhub.io/api/news?id=f65b880b566f5557694704e8059b4b32a926ecdb8414fa03df2560c40d2171b4
company,1768991520,Delta Recognized Among Clarivate's Global Top 100 Innovators for the Fifth Consecutive Year,138194499,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,"Delta, a global leader in power management and provider of smart green solutions, today announced its fifth consecutive inclusion in the Top 100 Global Innovators™ by Clarivate as recognition for its significant contribution to innovation. For decades, Delta's business growth has been cemented by its strategic commitment to innovation and intellectual property development. As of the end of 2025, Delta's worldwide granted patents surged to a cumulatively total of over 20,000, a 15% YoY increase,",https://finnhub.io/api/news?id=112d6c54de90659d77b0e1abd7439a172cbaafb986233bf198bcf7df75148af6
company,1768990920,United Airlines Stock Soars as Earnings Smash Expectations. How It Hit a Revenue Record.,138194399,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,DAL,Yahoo,"United Airlines’ fourth-quarter and full-year 2025 results soared past Wall Street’s expectations.  The carrier reported fourth-quarter adjusted earnings of $3.10 a share on revenue of $15.4 billion, up 4.8% and the highest quarterly revenue in United history, beating expectations.  Revenue of $59.07 billion, up 3.5% and the highest in United’s history, was slightly above the $59.05 billion expected.",https://finnhub.io/api/news?id=2a6d746385a62d306decbfe6c3ae8595ca61b1f9ee53557a7b0c3044de3e8105
company,1768983169,"The 'sell America' trade, Trump arrives in Davos, Netflix earnings and more in Morning Squawk",138196682,https://image.cnbcfm.com/api/v1/image/104138240-GettyImages-626432400.jpg?v=1768960337&w=1920&h=1080,DAL,CNBC,Here are five key things investors need to know to start the trading day.,https://finnhub.io/api/news?id=4f83f7679d1b2395f9009867dc454559a5ea8361a405f5afe8953fa017903e97
