category,datetime,headline,id,image,related,source,summary,url
company,1769030791,"Earnings live: Netflix stock tumbles, Johnson & Johnson falls, Charles Schwab climbs",138198922,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FITB,Yahoo,"A broader set of sectors will be represented when 35 more S&P 500 companies report earnings this week, including Netflix, Procter & Gamble, and Intel.",https://finnhub.io/api/news?id=6df3e32284971202a832374159a3b63a44ef67b42b5162ec9bb98d466bc7d64f
company,1769019360,Fifth Third Bancorp: An Inflection With Double-Digit Upside Ahead,138207066,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FITB,Yahoo,"Fifth Third Bancorp is on track to hit multi-decade highs driven by quality, capital returns, and acquisition growth: Analysts and institutions are accumulating",https://finnhub.io/api/news?id=47f47281bc33330d0f70c655820df35b06685f3c2de3075265c2b4fdda97b2ea
company,1769016111,"Fifth Third Bancorp (FITB) Stock Trades Up, Here Is Why",138197375,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FITB,Yahoo,Shares of regional banking company Fifth Third Bancorp (NASDAQ:FITB) jumped 3.1% in the afternoon session after the company reported strong fourth-quarter earnings that beat analyst expectations and provided a positive outlook for the upcoming year.,https://finnhub.io/api/news?id=88ee6c9f4c5152b37f02c6f761881a7c8cb77a00329cd5602ffc6d001173aa45
company,1769016081,"Comerica (CMA) Stock Is Up, What You Need To Know",138197535,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FITB,Yahoo,Shares of financial services company Comerica (NYSE:CMA) jumped 3% in the afternoon session after the company reported fourth-quarter earnings that surpassed analyst expectations.,https://finnhub.io/api/news?id=653a1d09b4636d1679f418cf63f29acc20528f433c5fbfbb46ca0bf9fdd18363
company,1769014680,Fifth Third Bancorp stock outperforms competitors on strong trading day,138243292,,FITB,MarketWatch,Fifth Third Bancorp stock outperforms competitors on strong trading day,https://finnhub.io/api/news?id=220755db99fdcb1df73abfd7fa4260fea762922d712a43e53973e676cd006477
company,1769013901,Why Fifth Third Bancorp (FITB) is a Top Dividend Stock for Your Portfolio,138198330,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FITB,Yahoo,"Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does Fifth Third Bancorp (FITB) have what it takes? Let's find out.",https://finnhub.io/api/news?id=8587132f072e9927f579f83534ca6de80c6ecec2ce321aee69fba784f04ad665
company,1769005800,"Company News for Jan 21, 2026",138197095,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FITB,Yahoo,"Companies in The News Are: FITB,FOR,LULU,MSFT",https://finnhub.io/api/news?id=bab488449189aa98ec957f324b724280d699953c3a810d6fa88ace5455889d11
company,1769000913,Fifth Third (FITB) Valuation Check After Strong Q4 Profitability And Record Net Interest Income,138195281,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FITB,Yahoo,"Fifth Third Bancorp (FITB) is back in focus after reporting fourth quarter 2025 results, including higher net income, record net interest income and improved credit quality, giving investors fresh data to reassess the stock. See our latest analysis for Fifth Third Bancorp. Those fourth quarter results, improved credit metrics and progress on the Comerica acquisition have come alongside a 19.13% 90 day share price return and a 1 year total shareholder return of 18.25%. This suggests momentum...",https://finnhub.io/api/news?id=c50612b5b459922bee12e241e4e5ba299a93ad72ae519c36bdec0a94fba45cb1
company,1769000293,"Earnings live: Netflix stock tumbles, Johnson & Johnson falls, Halliburton and United Airlines climb",138195099,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FITB,Yahoo,"A broader set of sectors will be represented when 35 more S&P 500 companies report earnings this week, including Netflix, Procter & Gamble, and Intel.",https://finnhub.io/api/news?id=25f585ed10c77f4919edf9209baa0454cc5677b2f591b5e606fa77dcef37ee78
company,1768998060,Fifth Third Named Among World’s Most Admired Companies™ by Fortune Magazine,138195283,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FITB,Yahoo,"CINCINNATI, January 21, 2026--Fifth Third (Nasdaq: FITB) has been recognized among the World’s Most Admired Companies™ by Fortune Magazine for the third consecutive year.",https://finnhub.io/api/news?id=faf599bb5a08c8cfecfd994ce15e3168de491c0db6e9ae2db73ef118dc359d5c
company,1768995960,Comerica Q4 Earnings Top Estimates on Higher NII & Fee Income,138195284,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FITB,Yahoo,"CMA tops Q4 EPS estimates as higher NII and fee income lift results, though loan declines and rising expenses weighed.",https://finnhub.io/api/news?id=b9937b13e54a947a4ea9c910d5d56a65404c4bcdc83657f711d3839644e52610
company,1768973504,FITB Q4 Deep Dive: Growth Momentum and Comerica Integration Take Center Stage,138193758,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,FITB,Yahoo,"Regional banking company Fifth Third Bancorp (NASDAQ:FITB) met Wall Streets revenue expectations in Q4 CY2025, with sales up 5% year on year to $2.35 billion. Its non-GAAP profit of $1.08 per share was 7% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=8cfb276a3a07639d082930583ab8da03f7410a3569671e6ec1582f3f62a74ead
