category,datetime,headline,id,image,related,source,summary,url
company,1769037060,"2 Intriguing Stocks to Watch After Earnings: HAL,TEL",138200251,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HAL,Yahoo,"Exceeding their quarterly expectations, Halliburton (HAL) and TE Connectivity (TEL) have enticed investors with stock buybacks and generous dividends.",https://finnhub.io/api/news?id=1af18015762d284409dd810bd3f22ed46d44bdd41486bf3c0380d36016d3568b
company,1769030403,Halliburton (HAL) Q4 Earnings and Revenues Surpass Estimates,138199703,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HAL,Yahoo,"Halliburton (HAL) delivered earnings and revenue surprises of +27.78% and +4.64%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=2e7e71e8809019964d9b2451e8904a97446b865cf4e78d4c74d299bcc7feadb0
company,1769029280,Halliburton Co (HAL) Q4 2025 Earnings Call Highlights: Navigating Challenges with Strategic Optimism,138199100,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HAL,Yahoo,"Despite revenue declines in North America, Halliburton Co (HAL) remains focused on international growth and strategic initiatives for future opportunities.",https://finnhub.io/api/news?id=7bc4df180a49aab0cd9bede274607d62e6c2514e5ad6852a7cb2608346b91131
company,1769028393,Sector Update: Energy Stocks Gain Late Afternoon,138198962,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HAL,Yahoo,"Energy stocks rose late Wednesday afternoon, with the NYSE Energy Sector Index adding 2% and the Sta",https://finnhub.io/api/news?id=fd0492d9bc213ede4c89189e7cb0eb51e78f890585dd0e26cd869eafb3703957
company,1769023669,Why Halliburton Rallied Today,138198333,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HAL,Yahoo,"Earnings came in stronger-than-expected, topped with Venezuela buzz.",https://finnhub.io/api/news?id=4c12e7e74809bb6b5e7badd09356cc68b86fb068c8c9375665c5280eea347cec
company,1769023006,"Halliburton Shares Rise After Q4 Beat, Venezuela Restart Plans Highlighted",138198334,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HAL,Yahoo,Halliburton tops Q4 expectations as management says it could restart Venezuela operations pending U.S. approval and payment certainty.,https://finnhub.io/api/news?id=c43c6f06903725631179dbb58ac00871fee4f31103f11e85c86c346f3ec60239
company,1769016516,S&P 500 Oilfield Services Titan Halliburton Tops Earnings But Everyone Is Focused On Venezuela,138207898,,HAL,DowJones,S&P 500 Oilfield Services Titan Halliburton Tops Earnings But Everyone Is Focused On Venezuela,https://finnhub.io/api/news?id=ef07fe04ec7023b6b210358f2f349200c8e8cfb3897c1e57920ada696936a1d5
company,1769015670,Halliburton Q4 Earnings Call Highlights,138197389,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HAL,Yahoo,"Halliburton (NYSE:HAL) executives told investors the company finished 2025 with stronger-than-expected fourth-quarter performance, driven by higher-than-anticipated activity and execution in both North America and international completion and production. Management also framed 2026 as a “rebalancing",https://finnhub.io/api/news?id=59567e6747f625c9dfaa5d56687801cfed9a8ac2c85f42e7aae29394ccb457c6
company,1769014838,Halliburton Prepares to Quickly Reenter Venezuelan Market,138197390,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HAL,Yahoo,"Much of that money could be spent with oilfield-service companies such as Halliburton.  The company's chief executive, Jeff Miller, expressed confidence Wednesday that Halliburton could quickly ramp up its business in Venezuela.  ""My phone is ringing off the hook in terms of interest in Halliburton being there,"" Miller said on a call with analysts following the company's earnings report.",https://finnhub.io/api/news?id=4d9efa86ace7f255a3ca49b01c886ce4aea52da8db7b051c5c36f50a77b25599
company,1769009400,Halliburton Beats Q4 Estimates as International Revenue  Soars,138197391,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HAL,Yahoo,"Halliburton reported fourth-quarter earnings and revenue that exceeded expectations as international activity drove growth, compensating for flat conditions in North America, despite a year-on-year slip in profit due to charges.",https://finnhub.io/api/news?id=d6d55122964a41a250ec873cff4d4329d22282d62502e8874d4a2e2362cfe5d9
