category,datetime,headline,id,image,related,source,summary,url
company,1769036637,Berkshire to offload Kraft Heinz: What it means in post-Buffett era,138199712,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KHC,Yahoo,"Berkshire Hathaway (BRK-B, BRK-A) is reportedly taking steps to offload its Kraft Heinz (KHC) investment. FBB Capital Partners senior portfolio manager Mel Casey joins Market Domination Overtime with Josh Lipton to discuss what it means for Kraft Heinz and signals about CEO Greg Abel's tenure. To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime.",https://finnhub.io/api/news?id=8e2b3be323627575d9d1ec57817d7ee6fc67a55e83c54e461cf04ec2fefa45d2
company,1769032818,"Stocks to Watch Wednesday Recap: Netflix, Schwab, J&J, United Airlines",138199575,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KHC,Yahoo,"↘️ Netflix (NFLX): The streaming company posted better-than-expected quarterly results, but its cash flow and outlook disappointed, as did the news that it would pause buybacks. The stock dropped 2.2%.",https://finnhub.io/api/news?id=57f7fb58e6f5b7e2b7f2c0962e5f621b9538e01237367a4e890ca7c4ff583bbd
company,1769032312,Wall Street Rebounds as Trump Calls Off Greenland-Related Tariffs,138198946,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KHC,Yahoo,US equities bounced back Wednesday as President Donald Trump withdrew his tariff threats against key,https://finnhub.io/api/news?id=f7e5717e7d3080900edf5b25a346fc0713141c74f57aea541a5309f1b8ad6481
company,1769030108,US Equity Markets Rise After Trump Rules Out Using Force in Greenland Bid,138198970,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KHC,Yahoo,Major US equity indexes rebounded Wednesday after President Donald Trump ruled out using force or ta,https://finnhub.io/api/news?id=0973eb2d3fd1cf70a2c5131f082b63166610dff171ce2a8355edf2c5cf12c163
company,1769029302,Sector Update: Consumer Stocks Rise in Late Afternoon Trading,138198947,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KHC,Yahoo,"Consumer stocks were higher late Wednesday afternoon, with the State Street Consumer Staples Select",https://finnhub.io/api/news?id=bb526bd66b5079304b1497a50194140f6740589b313f8cd691705c81397a0191
company,1769022567,Equities Rise Intraday as Trump Rules Out Military Action in Greenland,138198140,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KHC,Yahoo,US benchmark equity indexes were higher intraday after President Donald Trump ruled out using force,https://finnhub.io/api/news?id=c02bc6a39279ccccc22f5686e89874a8e339f357ea6249cc1902d72244bca9cf
company,1769022245,"US Equity Indexes Rebound, Long-Dated Treasury Yields Drop After Trump Eases Tone Over Greenland",138198141,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KHC,Yahoo,US equity indexes rose in midday trading on Wednesday after President Donald Trump ruled out using f,https://finnhub.io/api/news?id=bb8a7565f4a5a5cedd0affcd60cdc6b37653871541d6e391b50f39f04101f9d0
company,1769021650,"Dow, S&P 500, Nasdaq Climb as Trump Seeks Negotiations on Greenland",138198086,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KHC,Yahoo,Trump's Greenland Remarks Ease Tariff Fears; Stocks Surge Across Sectors,https://finnhub.io/api/news?id=ea1623adef1d7a13960cdd76325804e1a8195a6cd52396340207df86bb48465e
company,1769021311,Kraft Heinz Shares Slide on Berkshire's Possible Stake Sale,138198354,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KHC,Yahoo,Filing enables potential sale of nearly entire Berkshire holding ahead of planned split.,https://finnhub.io/api/news?id=83257dcd320bd2316bd0c758f22a20201caad1c799a0a3b1f65859b38d1210c8
company,1769020636,Sector Update: Consumer Stocks Mixed Wednesday Afternoon,138198144,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KHC,Yahoo,"Consumer stocks were mixed Wednesday afternoon, with the State Street Consumer Staples Select Sector",https://finnhub.io/api/news?id=0f45c67629725cf8ab61ee940d4d1966735f0f767ee55ad0a5f0861fb1a9e18f
company,1769019753,"Warren Buffett’s Successor Weighs Sale of Kraft Heinz Stake, Dealing a Blow to Ketchup Maker’s Stock",138198356,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KHC,Yahoo,"Warren Buffett was ""disappointed"" Kraft Heinz planned to split into two. His successor as Berkshire Hathaway CEO may exit the stock entirely.",https://finnhub.io/api/news?id=c53a36d7832f0956451049d648d1d1c9f2efd7a912408e146ba3759d1892da94
company,1769016320,Berkshire Registers Stake for Possible Sale After Kraft Heinz Breakup Plan,138200826,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KHC,Yahoo,Kraft Heinz disclosed that more than 325 million Berkshire-held shares may be sold following its planned split.,https://finnhub.io/api/news?id=6151441271834d9bf7339c20d11a4cd65934532c952c713c1d5b655abae81d9a
