category,datetime,headline,id,image,related,source,summary,url
company,1769036405,RTX Awarded $380.8 Million Modification to Navy Contract,138199614,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,RTX (RTX) was awarded a $380.8 million firm-fixed-price modification to a contract by the Naval Air,https://finnhub.io/api/news?id=685bbbc9abe60d086f86406123d0e9d14d24c08e7877d869da4b8c7d09ba6e4a
company,1769019360,"Should You Buy, Hold or Sell RTX Stock Ahead of Q4 Earnings?",138198969,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"RTX heads into Q4 earnings with revenue growth expected, tariff pressures on margins and shares up sharply over the past year.",https://finnhub.io/api/news?id=aea4191e6bc5518f7d455bab465610bb7a2e0d751783fe787c2972f2688d09b2
company,1769013720,"PLTR's Valuation is High: Not a Red Flag, if Execution Stays",138198130,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"PLTR's lofty valuation reflects confidence in execution, AI-driven software adoption and durable customers, if consistency continues.",https://finnhub.io/api/news?id=0e53db11dcc5d27ea4f538fa9265f3973752a1d82602f652915cc70f4b6f2553
company,1769013660,ETFs Caught in the Crossfire Amid US-Greenland Trade Gambit,138198148,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"CARU and other ETFs slid as Trump's Greenland-linked tariff threat and the EU's retaliation jolted autos, aerospace, tech and banks.",https://finnhub.io/api/news?id=f195b11b74ca294792c99c6c7eefa20689357e58c5b9b0fac0962b807a0aede6
company,1769004000,RTX's Collins Aerospace signs three-year parts distribution agreements for C-130 wheels and brakes,138196065,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"Collins Aerospace, an RTX (NYSE: RTX) business, has entered into three-year parts distribution agreements with Integrated Procurement Technologies, S3 AeroDefense and Derco, a Lockheed Martin company, to enhance hardware and logistics support for wheels and brakes on the C-130 Hercules.",https://finnhub.io/api/news?id=297d9bd18d52a3854af2052e88ad390a916a4a6ce5ab74c483861b5d2916161d
company,1769001780,Defense Spending Is Rising—Here Are 3 Stocks Built for Turbulent Times,138203848,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"With geopolitcal tensions rising and world governments increasing defense spending, aerospace stocks are poised to benefit. We like these 3 large caps best.",https://finnhub.io/api/news?id=44f0e0cced6fbed89381770db770f667549f51de9cd6bd220b8ad9f9ad114bd4
company,1768999321,Lockheed Martin - Overbought After A Strong Run,138197037,,RTX,SeekingAlpha,,https://finnhub.io/api/news?id=a41aad3f58ba410937870f4afea435744592452fca81555901da7a655be55022
company,1768999023,Is RTX Corporation (RTX) the Best Defense Stock to Buy in the S&P 500?,138195137,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"RTX Corporation (NYSE:RTX) is among the 10 Best Defense Stocks to Buy in the S&P 500. On January 14, RTX Corporation (NYSE:RTX) announced that its small satellite manufacturing subsidiary, Blue Canyon Technologies, had launched a satellite to support NASA’s Pandora mission. The Saturn-200 minisatellite will conduct studies on exoplanets’ atmospheres and when they transit, especially […]",https://finnhub.io/api/news?id=2cbc279c8747cc1b1878bd9eae10ccfc6171b3e59f088fa32d558b1f61562bc5
company,1768998319,NATO ETF Surges 65% in 3 Months as Defense Contractors Ride New European Budget Boom,138195125,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"The Themes Transatlantic Defense ETF is riding a surge in defense spending that hasn’t been seen for years, maybe decades. The fund holds a concentrated portfolio of U.S. and European defense contractors, with RTX, GE Aerospace, and Boeing making up nearly a quarter of assets. The ETF is already up 17.5% over the past month ... NATO ETF Surges 65% in 3 Months as Defense Contractors Ride New European Budget Boom",https://finnhub.io/api/news?id=55ea3359615c6f5a7cf58c2b573b22485a75401eab5b31ec4be8ebbd4172c36b
company,1768965423,Assessing RTX (RTX) Valuation After Strong 1 Year Gains And A Recent Pullback,138192094,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,RTX,Yahoo,"Key recent performance markers for RTX (RTX) RTX (RTX) has been drawing fresh attention after a recent daily share move of about a 2.8% decline, prompting investors to reassess how its current price compares with recent gains over the month and past 3 months. See our latest analysis for RTX. That 2.8% daily share price decline comes after a 7.9% 30 day share price return and a 10.3% 90 day share price return. The 1 year total shareholder return of 59.1% signals stronger longer term momentum...",https://finnhub.io/api/news?id=30fb0c217c7bcd5703bef3e183e3ec2e1e70cf74dbdc0c528501f3392d074372
