category,datetime,headline,id,image,related,source,summary,url
company,1769036453,Teledyne Technologies Inc (TDY) Q4 2026 Earnings Call Highlights: Strong Growth in Digital ...,138199704,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TDY,Yahoo,"Teledyne Technologies Inc (TDY) reports robust sales increases in key segments, despite challenges in engineered systems and X-ray detectors.",https://finnhub.io/api/news?id=f98637a632bae725f951022434fcd42592fbfe833cf7b527036195954669fa5d
company,1769032436,"Stock Market Today: Dow, S&P Surge As Trump Sees Framework For Greenland Deal; Nvidia Rises (Live Coverage)",138198949,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TDY,Yahoo,The Dow Jones Industrial Average and other indexes finished on a high note Wednesday after President Donald Trump said tariffs on goods from European countries will be halted as the framework for a deal on Greenland had been worked out.,https://finnhub.io/api/news?id=e6de04781412280a87e1b67e6e756f82b47c078bc06805005d21391e57ad200c
company,1769032312,Wall Street Rebounds as Trump Calls Off Greenland-Related Tariffs,138198946,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TDY,Yahoo,US equities bounced back Wednesday as President Donald Trump withdrew his tariff threats against key,https://finnhub.io/api/news?id=f7e5717e7d3080900edf5b25a346fc0713141c74f57aea541a5309f1b8ad6481
company,1769031004,Teledyne (TDY) Reports Q4 Earnings: What Key Metrics Have to Say,138199705,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TDY,Yahoo,"While the top- and bottom-line numbers for Teledyne (TDY) give a sense of how the business performed in the quarter ended December 2025, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=c047fa181d37d8fbf53e2902588c7a3fb4ba33513e51af6a49e3e6bf562e6a67
company,1769030405,Teledyne Technologies (TDY) Tops Q4 Earnings and Revenue Estimates,138199706,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TDY,Yahoo,"Teledyne (TDY) delivered earnings and revenue surprises of +8.06% and +2.69%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=b56a5942f0e90ed75c40827f058bad52d5be6f2c420bd99d3e811efa740000c9
company,1769028774,Sector Update: Tech Stocks Climb Late Afternoon,138198906,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TDY,Yahoo,"Tech stocks rose late Wednesday afternoon, with the State Street Technology Select Sector SPDR ETF (",https://finnhub.io/api/news?id=71b1e55b365176782f5ab609f2db36cedf07d1756b165601501ed3c9b41cd428
company,1769024174,Stock Market Today: S&P 500 Higher After Trump Davos News; Johnson & Johnson Slides (Live Coverage),138198040,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TDY,Yahoo,"The Dow Jones Industrial Average and other major stock indexes rose Wednesday after sinking a day earlier, with some recovery arriving after President Donald Trump's rule-out of U.S. military force to pursue Greenland.",https://finnhub.io/api/news?id=d3267156d6ca502483b3c367e9c707a982b0a72ef58c70c0d52dca104af94354
company,1769023920,This Electronics Maker Is One of the S&P 500’s Top Stocks Today. It Crushed Earnings.,138199105,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TDY,Yahoo,"Teledyne posted record quarterly metrics and lifted its earnings outlook for 2026, pushing the stock among the S&P 500’s top gainers.",https://finnhub.io/api/news?id=28a4773717e552654be797654c6ab942e17cbeace76cece9662bf2bd53aec10a
company,1769022828,This S&P 500 Stock Tops Buy Point As Defense Business Booms,138198337,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TDY,Yahoo,"Teledyne's defense and aerospace electronics business was the strongest among its segments, as sales surged 40.4%.",https://finnhub.io/api/news?id=e9313a3b3ce92498c8a26584646566a007d7740d2c7b0292e848e693c7d9d2d4
company,1769022567,Equities Rise Intraday as Trump Rules Out Military Action in Greenland,138198140,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TDY,Yahoo,US benchmark equity indexes were higher intraday after President Donald Trump ruled out using force,https://finnhub.io/api/news?id=c02bc6a39279ccccc22f5686e89874a8e339f357ea6249cc1902d72244bca9cf
