category,datetime,headline,id,image,related,source,summary,url
company,1769037319,Predictions Are Hard: A Realistic Look At U.S. P&C Insurers In 2026,138200886,,TRV,SeekingAlpha,,https://finnhub.io/api/news?id=3a88e85a58429cb026cbc3c78e9857d591f6c5d0dd7ec9e82a9c05de03080efc
company,1769031003,Travelers (TRV) Q4 Earnings: Taking a Look at Key Metrics Versus Estimates,138199683,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TRV,Yahoo,"The headline numbers for Travelers (TRV) give insight into how the company performed in the quarter ended December 2025, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",https://finnhub.io/api/news?id=356a8d80ae4907eff59656d245641a075c657fa9e2a1a9b14b6b23c07d70ace6
company,1769030405,Travelers (TRV) Beats Q4 Earnings and Revenue Estimates,138199684,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TRV,Yahoo,"Travelers (TRV) delivered earnings and revenue surprises of +31.72% and +0.30%, respectively, for the quarter ended December 2025. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=d70308f5f682fdb9494cb85564b199350a03f0b95c53b20405d13421391450c0
company,1769029260,The Travelers Companies Inc (TRV) Q4 2025 Earnings Call Highlights: Strong Underwriting and ...,138199057,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TRV,Yahoo,"The Travelers Companies Inc (TRV) reports robust Q4 2025 results with significant gains in core income and shareholder returns, despite challenges in the personal insurance sector.",https://finnhub.io/api/news?id=45c63238ef530e14417aa61bfe4fc17f8586e4939bc2657efaa42b2795766b5f
company,1769029038,"Moderna and Merck pop on cancer vaccine, Lucid-Rockwell partnership",138198971,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TRV,Yahoo,"Market Domination Host Josh Lipton and Yahoo Finance Senior Reporter Brooke DiPalma track several of the day's top trending stock tickers, including Travelers Companies' (TRV) fourth quarter earnings results, Moderna (MRNA) and Merck (MRK) shares popping on skin cancer vaccine trial results, and Lucid (LCID) surging on its partnership with Rockwell Automation powering its EV facility in Saudi Arabia. To watch more expert insights and analysis on the latest market action, check out more Market Domination.",https://finnhub.io/api/news?id=7cda94ed4f8ac5ed6ee041d3255cd449f740946178d75fb25958e9277419e890
company,1769018814,Travelers Companies Q4 Earnings Call Highlights,138198291,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TRV,Yahoo,"Travelers Companies (NYSE:TRV) reported what management described as “excellent” fourth-quarter and full-year 2025 results, driven by strong underlying underwriting income across all three operating segments and higher net investment income. Executives also highlighted expanded use of artificial int",https://finnhub.io/api/news?id=ee4f8e5d721f2d5ff86693fff0661951ddfa570c881e769f15752cce35160c98
company,1769014020,"Travelers Cos. Inc. stock rises Wednesday, still underperforms market",138239552,,TRV,MarketWatch,"Travelers Cos. Inc. stock rises Wednesday, still underperforms market",https://finnhub.io/api/news?id=0a30f7113db8ab967c32e9d5c154b439352ee3bc650d08a8a9d4cfbb29f2a309
company,1769012760,Travelers Q4 Earnings Beat on Strong Net Investment Income,138197580,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TRV,Yahoo,"TRV's Q4 results reflect higher underlying underwriting gain, improved net investment income, and higher net favorable prior year reserve development.",https://finnhub.io/api/news?id=0fc2ac004e55d1c4b0ef0c126eadc3f7603fb9f0fbde32c0b8f78f00c6a2475e
company,1769009572,Travelers (TRV) Q4 2025 Earnings Call Transcript,138196173,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TRV,Yahoo,"At this time, I would like to turn the conference over to Ms. Abbe Goldstein, Senior Vice President of Investor Relations.  Abbe Goldstein: Thank you.  Speaking today will be Alan Schnitzer, Chairman and CEO; Dan Frey, CFO; and our three segment presidents, Greg Toczydlowski of Business Insurance, Jeffrey Klenk of Bond and Specialty Insurance, and Michael Klein of Personal Insurance.",https://finnhub.io/api/news?id=553bbc29e740c02b939d5840ccf74fae189fe9552665a6ec806b155451e25171
company,1768999307,Stocks Down Pre-Bell After Recording Biggest Drop Since October,138195100,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TRV,Yahoo,US equity futures were lower on Wednesday as Wall Street digested its steepest one-day drop since Oc,https://finnhub.io/api/news?id=266fcd1fe05d37d84e7e712d4212137580027f8fb49241717ea3673f744fe99f
company,1768998651,"The Travelers Companies, Inc. 2025 Q4 - Results - Earnings Call Presentation",138196980,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,TRV,SeekingAlpha,"2026-01-21. The following slide deck was published by The Travelers Companies, Inc.",https://finnhub.io/api/news?id=68003f32780ca62d1ca21b5404073c782b4f2a1049b6c0614a4166d950f51ad7
company,1768998420,Travelers Stock Rises on Earnings. It Set Aside Another $5 Billion for Stock Buybacks.,138195247,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TRV,Yahoo,"The property and casualty insurer posts adjusted earnings of $11.13 a share for the fourth quarter, surpassing analysts’ consensus estimates of $8.80.",https://finnhub.io/api/news?id=0653313541ba10ad7760c0725042d990e4fb5a95b77f24fc2196294a946c9a33
company,1768997818,Travelers’s (NYSE:TRV) Q4 CY2025 Earnings Results: Revenue In Line With Expectations,138195248,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TRV,Yahoo,"Property and casualty insurer Travelers (NYSE:TRV) met Wall Streets revenue expectations in Q4 CY2025, with sales up 3.1% year on year to $12.43 billion. Its non-GAAP profit of $11.13 per share was 26.8% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=e56138b3802d82aec67fcd645d2712530d0496a9d91afe6cd454f9ef195187ef
company,1768997222,Travelers: Q4 Earnings Snapshot,138195249,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TRV,Yahoo,"The New York-based company said it had profit of $11.06 per share. Earnings, adjusted for investment costs, were $11.13 per share. The results exceeded Wall Street expectations.",https://finnhub.io/api/news?id=af14147c3d1331f5f5c82caba601157bac38a9c8426d81a697b4633393dad5b5
company,1768997157,"The Travelers Companies, Inc. (TRV) Q4 2025 Earnings Call Transcript",138196671,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,TRV,SeekingAlpha,"The Travelers Companies, Inc. (TRV) Q4 2025 Earnings Call January 21, 2026 9:00 AM ESTCompany ParticipantsAbbe Goldstein - Senior Vice President of Investor...",https://finnhub.io/api/news?id=6d858954a99217f45198797e407132e760e97401e78ce35d4366c85e21a15a0a
company,1768996620,Travelers Reports Excellent Fourth Quarter and Full Year Results,138194481,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TRV,Yahoo,"NEW YORK, January 21, 2026--The Travelers Companies, Inc. today reported net income of $2.496 billion, or $11.06 per diluted share, for the quarter ended December 31, 2025, compared to $2.082 billion, or $8.96 per diluted share, in the prior year quarter. Core income in the current quarter was $2.511 billion, or $11.13 per diluted share, compared to $2.126 billion, or $9.15 per diluted share, in the prior year quarter. Core income increased primarily due to a higher underlying underwriting gain",https://finnhub.io/api/news?id=78134167010bf95d67f4c0c5b70a2c0cbd028d30e5c327934ff3a17cb9ef0c24
company,1768991206,Travelers: Cheap Enough To Buy After A Strong Q4,138195710,,TRV,SeekingAlpha,,https://finnhub.io/api/news?id=02646559c696e4105e9193c9138b36ee52ead619d5e1d8b6fec977332e5f0f08
company,1768973124,Johnson & Johnson headlines earnings slate,138207549,,TRV,MarketWatch,Johnson & Johnson headlines earnings slate,https://finnhub.io/api/news?id=85a2136de2778262b1609218bb7bdf078a1f8700abff82cf39a1fd8840d25082
company,1768953625,"Trump in Davos, SCOTUS hearing, J&J earnings: What to Watch",138191044,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TRV,Yahoo,"Market Domination Overtime Host Josh Lipton previews several of the biggest stories to come tomorrow, Wednesday, January 21, including President Trump's speech at the World Economic Forum (WEF) in Davos, Switzerland, the US Supreme Court (SCOTUS) hearing on whether the administration has the ability to fire Federal Reserve governor Lisa Cook, US pending homes sales, and quarterly earnings reports from companies like Johnson & Johnson (JNJ), Charles Schwab (SCHW), and Haliburton (HAL). To watch more expert insights and analysis on the latest market action, check out more Market Domination Overtime.",https://finnhub.io/api/news?id=9ab7676e2bc8bb908f2a66fe0592dea083b4dcd17815e0b1f31e45b0d70000a5
