category,datetime,headline,id,image,related,source,summary,url
company,1769035804,UnitedHealth Group (UNH) Outperforms Broader Market: What You Need to Know,138200199,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,"In the closing of the recent trading day, UnitedHealth Group (UNH) stood at $347.75, denoting a +2.75% move from the preceding trading day.",https://finnhub.io/api/news?id=e1cb789f132e293756bdbd94a1f88605ad9f55ec590a49d192c75a1738ae4694
company,1769024174,Stock Market Today: S&P 500 Higher After Trump Davos News; Johnson & Johnson Slides (Live Coverage),138198040,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,"The Dow Jones Industrial Average and other major stock indexes rose Wednesday after sinking a day earlier, with some recovery arriving after President Donald Trump's rule-out of U.S. military force to pursue Greenland.",https://finnhub.io/api/news?id=d3267156d6ca502483b3c367e9c707a982b0a72ef58c70c0d52dca104af94354
company,1769023945,UnitedHealth CEO vows to rebate Obamacare profits to customers,138198160,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,"UnitedHealth Group, which provides insurance to about 1 million Affordable Care Act customers, will rebate 2026 profits to these customers.",https://finnhub.io/api/news?id=d078f27bdf75dbe36e0d54a2ba9d32545887a0a6a56d4346ec7c56008f20ed8d
company,1769022004,"Dear UnitedHealth Stock Fans, Mark Your Calendars for January 27",138199604,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,"UnitedHealth investors can look forward to Jan. 27, when the company will report its Q4 results.",https://finnhub.io/api/news?id=ff97a7fdbff55c6a9f2813f21067fce9f37075d3e29216f070265666f4543196
company,1769019740,Thursday's big stock stories: What’s likely to move the market in the next trading session,138205374,https://image.cnbcfm.com/api/v1/image/108214641-1761048654627-gettyimages-2236871119-ECP_fc1294572.jpeg?v=1761048752&w=1920&h=1080,UNH,CNBC,The Dow Industrials jumped nearly 590 points Wednesday after President Trump called off new tariffs on Europe.,https://finnhub.io/api/news?id=c1603404ecf2343b5bbcc46937fc313cdf73ca3fc40e2b65ade4f1f494519567
company,1769012501,UnitedHealth pledges to return ACA profits to customers,138199605,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,The announcement comes one day before CEO Stephen Hemsley is set to testify on healthcare affordability in front of two congressional committees.,https://finnhub.io/api/news?id=d663d91dc02fe8714899b3e1368c8be4f3f9b6e426ad0cdb44a42c90885c5973
company,1769012477,UnitedHealth to offer rebates to its Obamacare customers,138197188,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,"NEW YORK, Jan 21 (Reuters) - UnitedHealth Group Inc. will provide rebates to its Obamacare plan members in 2026, ​company CEO Stephen Hemsley said in a prepared testimony released ‌Wednesday.",https://finnhub.io/api/news?id=020964bacdfad6fbe9587e7faf9c5ae49dc149dc7aa0602ac16527a53e97ee8e
company,1769010844,"UnitedHealth Group to Rebate ACA Plan Profits, CEO Says",138197189,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNH,Yahoo,UnitedHealth Group (UNH) will rebate its profits from its Affordable Care Act plans to customers thi,https://finnhub.io/api/news?id=b9653fd070c0573651de52452bf4aa22856f3fca251bfcc3980c5a913436617a
company,1769010720,"Amgen, NVIDIA Corp. share gains lead Dow's 566-point rally",138207837,,UNH,MarketWatch,"Amgen, NVIDIA Corp. share gains lead Dow's 566-point rally",https://finnhub.io/api/news?id=7c2008043a841f5e2224dd09c251e9e49c239ae52293460677a3886a86cad441
company,1769007060,"Dow's nearly 725-point rally highlighted by gains in NVIDIA Corp., Amgen stocks",138211805,,UNH,MarketWatch,"Dow's nearly 725-point rally highlighted by gains in NVIDIA Corp., Amgen stocks",https://finnhub.io/api/news?id=fd8e110367ec8ba12c08fa010f3fb84d49d606971265e68fcb350f95cbdfdbdd
company,1769003400,"Amgen, Nike share gains contribute to Dow's 350-point jump",138208038,,UNH,MarketWatch,"Amgen, Nike share gains contribute to Dow's 350-point jump",https://finnhub.io/api/news?id=d8ca2c777f2495335851b7931c052b85fc2e1976d2c91d358c3239b4cc061c96
