category,datetime,headline,id,image,related,source,summary,url
company,1769035324,"Stock Market Today, Jan. 21: Netflix Falls After Fourth-Quarter Earnings and New All-Cash WBD Deal",138199596,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WBD,Yahoo,"On Jan. 21, 2026, investors assess how Q4 earnings and a massive studio bid reshape this streaming giant’s growth, cash flow, and risk profile.",https://finnhub.io/api/news?id=6b2794c4e087661de1a307672da183f5b42fab875600cff50cd3b840c6efbdb0
company,1769033634,Assessing Warner Bros. Discovery (WBD) Valuation After A Strong Yearly Run And High P/E Multiple,138199676,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WBD,Yahoo,"What Warner Bros. Discovery’s recent performance could mean for investors Warner Bros. Discovery (WBD) has drawn investor attention after a mixed stretch in its share performance, with a small 1 day decline and a modest drop over the past week contrasting with stronger recent longer term returns. The stock shows a gain over the past month and a larger positive move in the past 3 months, while year to date performance is slightly negative. Over the past year and past 3 years, total returns are...",https://finnhub.io/api/news?id=437f17f93880c86447428d5504bfa02a9a036b454eb9084d7fba03d1699010e4
company,1769024700,Why Netflix Stock May Be a Buy Right Now,138198950,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WBD,Yahoo,"Netflix shares are selling off following its quarterly earnings report, but the stock is beginning to look increasingly attractive at these levels",https://finnhub.io/api/news?id=2633e50cb7fb8eba6bd130d90e180564a7f80ef5d7ed1a2654125094192c640d
company,1769023901,Has Netflix Stock Fallen Far Enough to Be Attractive?,138199599,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WBD,Yahoo,"Netflix stock has dropped significantly, implying that a significant amount of risk is already priced in.",https://finnhub.io/api/news?id=2b552c05832e2e27a160aed756386fd503329f42461996f7a3d70b1c39dd577b
company,1769023620,Netflix Earnings Were a Flop. Why the Warner Bros. Bidding War Is Spooking Wall Street.,138232983,,WBD,MarketWatch,Netflix Earnings Were a Flop. Why the Warner Bros. Bidding War Is Spooking Wall Street.,https://finnhub.io/api/news?id=7d3713eaaeec830093127f1b3ea158a2ac4afd9d1fb047f7600e7f9c13b807bd
company,1769022000,Netflix's Warner Bros bid is 'both' an offensive & defensive move,138198142,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WBD,Yahoo,"Netflix (NFLX) stock fell after the company reported fourth quarter earnings that narrowly beat estimates. Netflix also announced it will suspend stock buybacks to acquire Warner Bros. (WBD) just after amending its offer to an all-cash bid. MoffettNathanson senior analyst Robert Fishman joins Market Catalysts host Julie Hyman to discuss the strategy behind Netflix's Warner Bros. deal and his expectations for the streaming giant. To watch more expert insights and analysis on the latest market action, check out more Market Catalysts.",https://finnhub.io/api/news?id=66d20c041e7f0d27a7538d57b1c852d00d4fa1199cab9abcbecf3c89ce8f7fed
company,1769020202,Netflix Is Below 1-Year Lows With Heavy Call and Put Option Activity - Bullish Signals for NFLX,138198951,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WBD,Yahoo,"Netflix stock is trading below its one-year low prices, along with heavy out-of-the-money call and put option activity. This is a major bullish signal, especially given Netflix's strong free cash flow results released yesterday.",https://finnhub.io/api/news?id=8fc0f98a41617115d5f171f9a1a052b3e5948726f3a40c9ab4c627c36bd2a5e0
company,1769020003,"Netflix: The Buy Window Is Open Again, And I Don't Want To Miss It (Upgrade)",138199451,,WBD,SeekingAlpha,,https://finnhub.io/api/news?id=eb3b88b16c16f536234c391bdeb062766862497e8c09a8352dffa7b64b7b8866
company,1769018355,"Netflix wins long form entertainment and that's where the game is, says Media Mogul Tom Rogers",138205359,https://image.cnbcfm.com/api/v1/image/108255399-17690361471769036144-43616364541-1080pnbcnews.jpg?v=1769036147&w=1920&h=1080,WBD,CNBC,"Tom Rogers, Versant Media Senior Advisor, Fmr. NBC Cable President and CNBC Founder, joins 'Fast Money' to talk Netflix quarterly results, what's ahead for the Netflix's bid for WBD, and more.",https://finnhub.io/api/news?id=90824bd6f754d002180443d717aa204e079887487a5f52b197fb3809073ad9e2
company,1769016336,Why Netflix (NFLX) Stock Is Falling Today,138197170,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WBD,Yahoo,"Shares of streaming video giant Netflix (NASDAQ: NFLX) fell 4.5% in the afternoon session after it posted fourth-quarter earnings that exceeded Wall Street's sales target, as it surpassed 325 million subscribers; however, management acknowledged that increased content spending and integration costs from the pending Warner Bros. acquisition could pressure margins in the coming fiscal year.",https://finnhub.io/api/news?id=974f5c32ddc9d3b232c3d6443fca52894bcbd9898d90204dfd8207e45427f69b
company,1769016055,"Netflix EPS to Come Under Pressure Due to Share Buyback Halt, Oppenheimer Says",138197171,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WBD,Yahoo,"Netflix' (NFLX) decision to suspend share repurchases will likely weigh on its earnings per share, t",https://finnhub.io/api/news?id=fe65431b54f8fe85480100ba09cdfed36401e16cf01fdf1d4e3c8fb49d43f7e1
company,1769015305,Netflix Guidance Disappoints. Executives Defend Warner Bros. Deal.,138197172,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WBD,Yahoo,Netflix growth is slowing but company executives denied that it is the reason behind their $72 billion acquisition of Warner Bros.,https://finnhub.io/api/news?id=010b8319a9b7d525b890206505416f3bfa8d405b956b34b39732340bd9afc48b
company,1769012698,Netflix Stock Hasn't Impressed Investors Lately. Its Deal for Warner Bros. Isn’t Helping.,138197175,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WBD,Yahoo,"Netflix shares slid Wednesday, extending their monthslong decline after the streaming giant failed to impress investors with its latest financial results and efforts to buy Warner Bros. Discovery.",https://finnhub.io/api/news?id=1f4a4afb5ef801b1ebe43345b7f1861136e7fd64fe5e1f7067c828600625fc03
company,1769012340,Netflix’s stock remains under pressure as investors balk at forecast and Warner Bros. acquisition,138232986,,WBD,MarketWatch,Netflix’s stock remains under pressure as investors balk at forecast and Warner Bros. acquisition,https://finnhub.io/api/news?id=cfdca9e3d6d609a5d64a375c2bac1d8aa7b47ee1380ff6c5560332c32633e038
company,1769010924,"Netflix Seen Delivering Double-Digit Growth, Margin Expansion, Morgan Stanley Says",138196158,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WBD,Yahoo,Netflix (NFLX) is well positioned to deliver 20% plus annual adjusted earnings per share growth thro,https://finnhub.io/api/news?id=b3dcd7927b03701ea69e05dc891df23e6bafd742e2f8315a06e4ed5bc1099b42
company,1769010905,Netflix Just Upped Its Bid for Warner Bros. to All Cash. What Does That Mean for NFLX Stock?,138198146,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WBD,Yahoo,Netflix is now offering an all-cash deal to buy Warner Bros.,https://finnhub.io/api/news?id=4bfd016014313ee2bf3b4e5ad86caa95f89e7b8e614c3bad5f1cd532ea979b59
company,1769009567,What You Need to Know Ahead of Warner Bros. Discovery's Earnings Release,138198283,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WBD,Yahoo,"Warner Bros. Discovery is ready to announce its fiscal fourth-quarter earnings soon, and analysts project a strong triple-digit earnings growth.",https://finnhub.io/api/news?id=c0e9233416ced21551c4e90048beb98208777932e7eb15cf79d0b4125560ab9d
company,1769004900,"Market Minute 1-21-26- Stocks Still Unsettled, While Gold Jumps Again",138200804,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WBD,Yahoo,"After the worst day for the S&P 500 Index (^SPX) in three months, equities are trying to find their footing today. Gold is rising (again), while bonds and the US dollar are attempting to stabilize. Bitcoin continued its recent slump from $95,000, recently trading around $89,000.",https://finnhub.io/api/news?id=4fa35f6ef49ba9865341965d3e2190f382dda9bae3fdcac4af1ef50dc021797b
company,1769002772,Netflix's advertising strategy shift is starting to pay off,138205360,https://image.cnbcfm.com/api/v1/image/108254613-17689455512026-01-20t214313z_48598236_rc225jaoujgc_rtrmadp_0_warner-bros-discovery-m-a-netflix.jpeg?v=1768945834&w=1920&h=1080,WBD,CNBC,Netflix reported $1.5 billion in ad revenue last year and expects that to double in 2026. ,https://finnhub.io/api/news?id=9d331d7cd091a64f36ba96c9a3ee9f1e2914be5fa7a2fb9c66859dad975aba61
company,1769002089,Netflix Q4 Earnings: Will It Win the Battle but Lose the War?,138196049,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WBD,Yahoo,"Netflix (NASDAQ:NFLX) reported strong fourth quarter results that beat Wall Street estimates on revenue and earnings per share. As it gears up for the acquisition of Warner Bros Discovery (NASDAQ:WBD) studio and streaming assets, Netflix also attempted to convince investors that its all-cash bid that values the company at $83 billion was good for the ... Netflix Q4 Earnings: Will It Win the Battle but Lose the War?",https://finnhub.io/api/news?id=347343fe56682cd5e538def204490c6ecb888cc95dbc31700414a5949b350e8c
company,1768999307,Stocks Down Pre-Bell After Recording Biggest Drop Since October,138195100,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WBD,Yahoo,US equity futures were lower on Wednesday as Wall Street digested its steepest one-day drop since Oc,https://finnhub.io/api/news?id=266fcd1fe05d37d84e7e712d4212137580027f8fb49241717ea3673f744fe99f
